mes,material,sku,produto,cor,tamanho,ordem_tamanho,construcao,padronagem,marca,decote,detalhe,loja,centro_distribuicao,idade_loja,uf_loja,cidade_loja,regiao_loja,bairro_loja,clima_loja,perfil_loja,porte_loja,estoque_unidades_inicio,estoque_unidades_fim,estoque_unidades,estoque_unidades_mediana,prop_dias_com_estoque,venda_unidades,venda_valor_total,preco_medio_unitario,preco_unitario_min,preco_unitario_max,variabilidade_preco_unitario,prop_dias_com_venda,total_observacoes_vendas
2025-07-01,3a5e87c5f227c2224fc7f24787d40b95,6bdc4f2e3e6d9b2d321faa61e43c21b4,calca,preto,p,2,tecido plano,liso,9,sem decote,longo,00703d74-ba0a-4dbf-81a1-605aff02efd7,CD1,14.0,BA,BAHIA,NORDESTE,GOES CALMON,3,2,1,2.000,2.000,2.0000000,2.000,1.0,0.000,0.00,,,,,0.0,0
2025-07-01,3a5e87c5f227c2224fc7f24787d40b95,6bdc4f2e3e6d9b2d321faa61e43c21b4,calca,preto,p,2,tecido plano,liso,9,sem decote,longo,00703d74-ba0a-4dbf-81a1-605aff02efd7,CD1,14.0,BA,BAHIA,NORDESTE,GOES CALMON,3,2,1,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,0
2025-07-01,3a5e87c5f227c2224fc7f24787d40b95,6bdc4f2e3e6d9b2d321faa61e43c21b4,calca,preto,p,2,tecido plano,liso,9,sem decote,longo,00703d74-ba0a-4dbf-81a1-605aff02efd7,CD1,14.0,BA,BAHIA,NORDESTE,GOES CALMON,3,2,1,0.000,1.000,0.8800000,1.000,0.88,0.000,0.00,,,,,0.0,0
2025-07-01,3a5e87c5f227c2224fc7f24787d40b95,6bdc4f2e3e6d9b2d321faa61e43c21b4,calca,preto,p,2,tecido plano,liso,9,sem decote,longo,00703d74-ba0a-4dbf-81a1-605aff02efd7,CD1,14.0,BA,BAHIA,NORDESTE,GOES CALMON,3,2,1,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,0
2025-07-01,3a5e87c5f227c2224fc7f24787d40b95,6bdc4f2e3e6d9b2d321faa61e43c21b4,calca,preto,p,2,tecido plano,liso,9,sem decote,longo,015fde50-aac3-4a8e-b963-8f7ee85c89f2,CD1,11.0,CE,CEARA,NORDESTE,PAPICU,3,3,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,0
2025-07-01,3a5e87c5f227c2224fc7f24787d40b95,6bdc4f2e3e6d9b2d321faa61e43c21b4,calca,preto,p,2,tecido plano,liso,9,sem decote,longo,015fde50-aac3-4a8e-b963-8f7ee85c89f2,CD1,11.0,CE,CEARA,NORDESTE,PAPICU,3,3,2,4.000,4.000,4.0000000,4.000,1.0,0.000,0.00,,,,,0.0,0
2025-07-01,3a5e87c5f227c2224fc7f24787d40b95,6bdc4f2e3e6d9b2d321faa61e43c21b4,calca,preto,p,2,tecido plano,liso,9,sem decote,longo,015fde50-aac3-4a8e-b963-8f7ee85c89f2,CD1,11.0,CE,CEARA,NORDESTE,PAPICU,3,3,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,0
2025-07-01,3a5e87c5f227c2224fc7f24787d40b95,6bdc4f2e3e6d9b2d321faa61e43c21b4,calca,preto,p,2,tecido plano,liso,9,sem decote,longo,015fde50-aac3-4a8e-b963-8f7ee85c89f2,CD1,11.0,CE,CEARA,NORDESTE,PAPICU,3,3,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,0
2025-07-01,3a5e87c5f227c2224fc7f24787d40b95,6bdc4f2e3e6d9b2d321faa61e43c21b4,calca,preto,p,2,tecido plano,liso,9,sem decote,longo,02568ece-15d4-40d5-b05a-47069ea100e2,CD2,26.0,SP,SAO PAULO,SUDESTE,APARECIDA,2,3,4,1.000,3.000,2.2903226,3.000,1.0,0.000,0.00,,,,,0.0,0
2025-07-01,3a5e87c5f227c2224fc7f24787d40b95,6bdc4f2e3e6d9b2d321faa61e43c21b4,calca,preto,p,2,tecido plano,liso,9,sem decote,longo,02568ece-15d4-40d5-b05a-47069ea100e2,CD2,26.0,SP,SAO PAULO,SUDESTE,APARECIDA,2,3,4,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,0
