mes,material,sku,produto,cor,tamanho,construcao,padronagem,marca,decote,detalhe,loja,centro_distribuicao,idade_loja,uf_loja,cidade_loja,regiao_loja,bairro_loja,clima_loja,perfil_loja,porte_loja,estoque_unidades_inicio,estoque_unidades_fim,estoque_unidades,estoque_unidades_mediana,prop_dias_com_estoque,venda_unidades,venda_valor_total,preco_atual,preco_original,diff_preco,etiqueta,prop_dias_com_venda,total_observacoes_vendas,pedidos,pedidos_m1,pedidos_m2,pedidos_m3,pedidos_m4,pedidos_m5,pedidos_m6,pedidos_m7,pedidos_m8,pedidos_m9,pedidos_m10,pedidos_m11,pedidos_m12
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,126bc1f6-f329-48ba-8b94-40aed7f58c45,CD2,6.0,SP,SAO PAULO,SUDESTE,CENTRO,1,1,1,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,1492be88-5ceb-49c6-98ff-ef90dae05875,CD2,14.0,ES,ESPIRITO SANTO,SUDESTE,EURICO SALLES,3,2,1,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,197a9162-3cc5-4778-befd-4edd421514f3,CD2,26.0,SP,SAO PAULO,SUDESTE,Q. PAINEIRAS,1,1,1,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,20149746-253c-470c-bff8-0c36d1049832,CD2,14.0,MG,MINAS GERAIS,SUDESTE,CIDADE NOVA,3,2,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,28cbd678-b13a-4d55-a99c-6ad8cbb6cd40,CD2,7.0,SP,SAO PAULO,SUDESTE,JARDIM MADALENA,2,3,1,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,47471db1-34d1-430d-9422-92ab048a97cf,CD2,15.0,MG,MINAS GERAIS,SUDESTE,SANTA MONICA,2,3,4,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,549b2910-a091-4c0b-ae5f-da9b6923d7c0,CD2,11.0,SC,SANTA CATARINA,SUL,DOS ESTADOS,1,3,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,57652f6a-e068-46bf-8f7e-f6c89d316e91,CD2,6.0,PR,PARANA,SUL,TARUMA,1,2,4,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,5a27d2bb-f7f7-4b02-8426-bce5aa97d372,CD1,16.0,AL,ALAGOAS,NORDESTE,CIDADE UNIVERSITARIA,3,2,3,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,61cfc4c0-905b-419a-b39e-ad5c5857359d,CD2,7.0,RJ,RIO DE JANEIRO,SUDESTE,SAO GERALDO,2,2,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,8093d652-9853-4b53-b8f3-66ecd7065b3c,CD2,36.0,MG,MINAS GERAIS,SUDESTE,CENTRO,2,2,3,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,5cf422a5550730fb73deb1c1b8b07e4f,90495ec9877514f13f537bbec94c4559,x blusa,branco,m,malha,liso,9,decote u,sem manga,8c86b6a8-87ec-4aa1-beff-e9627a9969bc,CD1,25.0,PE,PERNAMBUCO,NORDESTE,BOA VISTA,3,1,4,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
