mes,material,sku,produto,cor,tamanho,construcao,padronagem,marca,decote,detalhe,loja,centro_distribuicao,idade_loja,uf_loja,cidade_loja,regiao_loja,bairro_loja,clima_loja,perfil_loja,porte_loja,estoque_unidades_inicio,estoque_unidades_fim,estoque_unidades,estoque_unidades_mediana,prop_dias_com_estoque,venda_unidades,venda_valor_total,preco_atual,preco_original,diff_preco,etiqueta,prop_dias_com_venda,total_observacoes_vendas,pedidos,pedidos_m1,pedidos_m2,pedidos_m3,pedidos_m4,pedidos_m5,pedidos_m6,pedidos_m7,pedidos_m8,pedidos_m9,pedidos_m10,pedidos_m11,pedidos_m12
2025-04-01,66346ce740e2c6f25bf55aa5e597c8a2,d5228914b47025ca29d5de7e046db6d6,camiseta,cinza es,gg,malha,liso,9,sem decote,curto,015fde50-aac3-4a8e-b963-8f7ee85c89f2,CD1,11.0,CE,CEARA,NORDESTE,PAPICU,3,3,2,2.000,7.000,2.5000000,2.000,1.0,4.000,279.96,69.99,69.99,0.00,Não demarc,0.1,30,0,21210,0,0,6495,0,0,0,0,0,0,0,0
2025-04-01,66346ce740e2c6f25bf55aa5e597c8a2,d5228914b47025ca29d5de7e046db6d6,camiseta,cinza es,gg,malha,liso,9,sem decote,curto,02568ece-15d4-40d5-b05a-47069ea100e2,CD2,26.0,SP,SAO PAULO,SUDESTE,APARECIDA,2,3,4,3.000,1.000,2.8000000,3.000,1.0,2.000,139.98,69.99,69.99,0.00,Não demarc,0.06666666666666667,30,0,27921,0,0,12394,0,0,0,0,0,0,0,0
2025-04-01,66346ce740e2c6f25bf55aa5e597c8a2,d5228914b47025ca29d5de7e046db6d6,camiseta,cinza es,gg,malha,liso,9,sem decote,curto,08b66e4d-42f1-4171-9bd0-db235ef765b1,CD1,12.0,AL,ALAGOAS,NORDESTE,CRUZ DAS ALMAS,3,3,1,2.000,2.000,2.0333333,2.000,1.0,0.000,0.00,69.99,69.99,0.00,Não demarc,0.0,30,0,21210,0,0,6495,0,0,0,0,0,0,0,0
2025-04-01,66346ce740e2c6f25bf55aa5e597c8a2,d5228914b47025ca29d5de7e046db6d6,camiseta,cinza es,gg,malha,liso,9,sem decote,curto,092e338b-f578-4f78-ad42-3bb59a2e6639,CD2,18.0,SP,SAO PAULO,SUDESTE,PERDIZES,1,3,3,3.000,0.000,0.8000000,1.000,0.6,5.000,349.95,69.99,69.99,0.00,Não demarc,0.13333333333333333,30,0,27921,0,0,12394,0,0,0,0,0,0,0,0
2025-04-01,66346ce740e2c6f25bf55aa5e597c8a2,d5228914b47025ca29d5de7e046db6d6,camiseta,cinza es,gg,malha,liso,9,sem decote,curto,0df49023-133b-4575-9721-7950d27e8ff3,CD2,24.0,SP,SAO PAULO,SUDESTE,JARDIM SANTA GENEBRA,2,3,4,2.000,3.000,3.2333333,3.000,1.0,1.000,69.99,69.99,69.99,0.00,Não demarc,0.03333333333333333,30,0,27921,0,0,12394,0,0,0,0,0,0,0,0
2025-04-01,66346ce740e2c6f25bf55aa5e597c8a2,d5228914b47025ca29d5de7e046db6d6,camiseta,cinza es,gg,malha,liso,9,sem decote,curto,0ebced6a-ed7d-4c08-a4fb-cf64d1e6b00b,CD2,14.0,SP,SAO PAULO,SUDESTE,TAMBORE,1,3,3,2.000,0.000,0.8000000,1.000,0.6,3.000,209.97,69.99,69.99,0.00,Não demarc,0.1,30,0,27921,0,0,12394,0,0,0,0,0,0,0,0
2025-04-01,66346ce740e2c6f25bf55aa5e597c8a2,d5228914b47025ca29d5de7e046db6d6,camiseta,cinza es,gg,malha,liso,9,sem decote,curto,1059b684-ab8f-4613-a102-878017d99f60,CD1,20.0,SE,SERGIPE,NORDESTE,JARDINS,3,3,3,3.000,2.000,2.3333333,2.000,1.0,1.000,69.99,69.99,69.99,0.00,Não demarc,0.03333333333333333,30,0,21210,0,0,6495,0,0,0,0,0,0,0,0
2025-04-01,66346ce740e2c6f25bf55aa5e597c8a2,d5228914b47025ca29d5de7e046db6d6,camiseta,cinza es,gg,malha,liso,9,sem decote,curto,26173dce-30b6-4f16-8a00-9a636ac17cf6,CD2,27.0,MG,MINAS GERAIS,SUDESTE,BELVEDERE,2,3,4,2.000,1.000,0.9000000,1.000,0.8666666666666667,3.000,209.97,69.99,69.99,0.00,Não demarc,0.1,30,0,27921,0,0,12394,0,0,0,0,0,0,0,0
2025-04-01,66346ce740e2c6f25bf55aa5e597c8a2,d5228914b47025ca29d5de7e046db6d6,camiseta,cinza es,gg,malha,liso,9,sem decote,curto,293f1316-741c-43d1-8cce-a5e294a95917,CD1,25.0,PB,PARAIBA,NORDESTE,CATOLE,3,3,3,3.000,2.000,2.3000000,2.000,1.0,2.000,139.98,69.99,69.99,0.00,Não demarc,0.06666666666666667,30,0,21210,0,0,6495,0,0,0,0,0,0,0,0
2025-04-01,66346ce740e2c6f25bf55aa5e597c8a2,d5228914b47025ca29d5de7e046db6d6,camiseta,cinza es,gg,malha,liso,9,sem decote,curto,2be3a0e2-56c7-4dde-bbc6-d3157566b50d,CD2,15.0,MG,MINAS GERAIS,SUDESTE,SANTA EFIGENIA,2,3,3,3.000,2.000,2.0333333,2.000,1.0,1.000,69.99,69.99,69.99,0.00,Não demarc,0.03333333333333333,30,0,27921,0,0,12394,0,0,0,0,0,0,0,0
