mes,material,sku,produto,cor,tamanho,construcao,padronagem,marca,decote,detalhe,loja,centro_distribuicao,idade_loja,uf_loja,cidade_loja,regiao_loja,bairro_loja,clima_loja,perfil_loja,porte_loja,estoque_unidades_inicio,estoque_unidades_fim,estoque_unidades,estoque_unidades_mediana,prop_dias_com_estoque,venda_unidades,venda_valor_total,preco_atual,preco_original,diff_preco,etiqueta,prop_dias_com_venda,total_observacoes_vendas,pedidos,pedidos_m1,pedidos_m2,pedidos_m3,pedidos_m4,pedidos_m5,pedidos_m6,pedidos_m7,pedidos_m8,pedidos_m9,pedidos_m10,pedidos_m11,pedidos_m12
2025-04-01,c538b1b5b2552ba828d3832fc7b9675b,d330804e515ddc688a457b4e6fee2d0a,calca,preto,g,marbella,liso,3,,longo,015fde50-aac3-4a8e-b963-8f7ee85c89f2,CD1,11.0,CE,CEARA,NORDESTE,PAPICU,3,3,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,139.99,139.99,0.00,Não demarc,0.0,1,0,0,0,8160,14687,0,0,0,0,0,0,0,0
2025-04-01,c538b1b5b2552ba828d3832fc7b9675b,d330804e515ddc688a457b4e6fee2d0a,calca,preto,g,marbella,liso,3,,longo,02568ece-15d4-40d5-b05a-47069ea100e2,CD2,26.0,SP,SAO PAULO,SUDESTE,APARECIDA,2,3,4,0.000,3.000,1.6666667,3.000,0.5555555555555556,2.000,277.72,139.99,139.99,0.00,Não demarc,0.1111111111111111,9,0,0,0,50664,31929,0,0,0,0,0,0,0,0
2025-04-01,c538b1b5b2552ba828d3832fc7b9675b,d330804e515ddc688a457b4e6fee2d0a,calca,preto,g,marbella,liso,3,,longo,02fafdd7-14d5-4a99-95c9-30cba7021e71,CD2,28.0,SP,SAO PAULO,SUDESTE,PARAISO,2,2,2,2.000,0.000,1.3666667,2.000,0.7666666666666667,4.000,559.96,139.99,139.99,0.00,Não demarc,0.1,30,0,0,0,50664,31929,0,0,0,0,0,0,0,0
2025-04-01,c538b1b5b2552ba828d3832fc7b9675b,d330804e515ddc688a457b4e6fee2d0a,calca,preto,g,marbella,liso,3,,longo,05667a35-e2d8-45af-bc0a-ecda4ad8508e,CD2,42.0,PR,PARANA,SUL,CENTRO,2,1,1,1.000,2.000,1.6666667,2.000,1.0,1.000,98.00,139.99,139.99,0.00,Não demarc,0.03333333333333333,30,0,0,0,50664,31929,0,0,0,0,0,0,0,0
2025-04-01,c538b1b5b2552ba828d3832fc7b9675b,d330804e515ddc688a457b4e6fee2d0a,calca,preto,g,marbella,liso,3,,longo,092e338b-f578-4f78-ad42-3bb59a2e6639,CD2,18.0,SP,SAO PAULO,SUDESTE,PERDIZES,1,3,3,3.000,1.000,2.7333333,3.000,1.0,9.000,1216.53,139.99,139.99,0.00,Não demarc,0.26666666666666666,30,0,0,0,50664,31929,0,0,0,0,0,0,0,0
2025-04-01,c538b1b5b2552ba828d3832fc7b9675b,d330804e515ddc688a457b4e6fee2d0a,calca,preto,g,marbella,liso,3,,longo,0a831d2a-d950-4493-b763-9f98ef08981f,CD1,12.0,PE,PERNAMBUCO,NORDESTE,PIEDADE,3,1,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,139.99,139.99,0.00,Não demarc,0.0,1,0,0,0,8160,14687,0,0,0,0,0,0,0,0
2025-04-01,c538b1b5b2552ba828d3832fc7b9675b,d330804e515ddc688a457b4e6fee2d0a,calca,preto,g,marbella,liso,3,,longo,0df49023-133b-4575-9721-7950d27e8ff3,CD2,24.0,SP,SAO PAULO,SUDESTE,JARDIM SANTA GENEBRA,2,3,4,1.000,23.000,2.9000000,1.000,0.9333333333333333,6.000,839.94,139.99,139.99,0.00,Não demarc,0.2,30,0,0,0,50664,31929,0,0,0,0,0,0,0,0
2025-04-01,c538b1b5b2552ba828d3832fc7b9675b,d330804e515ddc688a457b4e6fee2d0a,calca,preto,g,marbella,liso,3,,longo,0ebced6a-ed7d-4c08-a4fb-cf64d1e6b00b,CD2,14.0,SP,SAO PAULO,SUDESTE,TAMBORE,1,3,3,3.000,9.000,4.1000000,3.000,1.0,5.000,699.95,139.99,139.99,0.00,Não demarc,0.13333333333333333,30,0,0,0,50664,31929,0,0,0,0,0,0,0,0
2025-04-01,c538b1b5b2552ba828d3832fc7b9675b,d330804e515ddc688a457b4e6fee2d0a,calca,preto,g,marbella,liso,3,,longo,0f407772-9c4f-434d-8094-ed56c99d3600,CD2,19.0,PR,PARANA,SUL,CENTRO,1,2,1,3.000,4.000,2.6000000,3.000,1.0,6.000,825.94,139.99,139.99,0.00,Não demarc,0.2,30,0,0,0,50664,31929,0,0,0,0,0,0,0,0
2025-04-01,c538b1b5b2552ba828d3832fc7b9675b,d330804e515ddc688a457b4e6fee2d0a,calca,preto,g,marbella,liso,3,,longo,0f63d320-13ac-4bb0-bbe1-c894255d7c1a,CD1,43.0,RN,RIO GRANDE DO NORTE,NORDESTE,CENTRO,3,1,1,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,139.99,139.99,0.00,Não demarc,0.0,1,0,0,0,8160,14687,0,0,0,0,0,0,0,0
