mes,material,sku,produto,cor,tamanho,construcao,padronagem,marca,decote,detalhe,loja,centro_distribuicao,idade_loja,uf_loja,cidade_loja,regiao_loja,bairro_loja,clima_loja,perfil_loja,porte_loja,estoque_unidades_inicio,estoque_unidades_fim,estoque_unidades,estoque_unidades_mediana,prop_dias_com_estoque,venda_unidades,venda_valor_total,preco_atual,preco_original,diff_preco,etiqueta,prop_dias_com_venda,total_observacoes_vendas,pedidos,pedidos_m1,pedidos_m2,pedidos_m3,pedidos_m4,pedidos_m5,pedidos_m6,pedidos_m7,pedidos_m8,pedidos_m9,pedidos_m10,pedidos_m11,pedidos_m12
2023-10-01,3769e7023301ece247313036c3fff3c2,c86dfb2a9936dce876de5f5650dce199,blusa,preto,m,viscolycra + microfibra,abstrato,4,,curto,00703d74-ba0a-4dbf-81a1-605aff02efd7,CD1,14.0,BA,BAHIA,NORDESTE,GOES CALMON,3,2,1,4.000,3.000,3.2903226,3.000,1.0,1.000,59.90,59.90,59.90,0.00,Não demarc,0.03225806451612903,31,0,12794,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3769e7023301ece247313036c3fff3c2,c86dfb2a9936dce876de5f5650dce199,blusa,preto,m,viscolycra + microfibra,abstrato,4,,curto,015fde50-aac3-4a8e-b963-8f7ee85c89f2,CD1,11.0,CE,CEARA,NORDESTE,PAPICU,3,3,2,2.000,4.000,1.1935484,1.000,0.9032258064516129,2.000,119.80,59.90,59.90,0.00,Não demarc,0.06451612903225806,31,0,12794,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3769e7023301ece247313036c3fff3c2,c86dfb2a9936dce876de5f5650dce199,blusa,preto,m,viscolycra + microfibra,abstrato,4,,curto,02568ece-15d4-40d5-b05a-47069ea100e2,CD2,26.0,SP,SAO PAULO,SUDESTE,APARECIDA,2,3,4,3.000,1.000,2.6451613,3.000,1.0,13.000,740.31,59.90,59.90,0.00,Não demarc,0.3548387096774194,31,0,26497,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3769e7023301ece247313036c3fff3c2,c86dfb2a9936dce876de5f5650dce199,blusa,preto,m,viscolycra + microfibra,abstrato,4,,curto,02fafdd7-14d5-4a99-95c9-30cba7021e71,CD2,28.0,SP,SAO PAULO,SUDESTE,PARAISO,2,2,2,0.000,1.000,1.5483871,2.000,0.5806451612903226,4.000,239.60,59.90,59.90,0.00,Não demarc,0.12903225806451613,31,0,26497,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3769e7023301ece247313036c3fff3c2,c86dfb2a9936dce876de5f5650dce199,blusa,preto,m,viscolycra + microfibra,abstrato,4,,curto,05667a35-e2d8-45af-bc0a-ecda4ad8508e,CD2,42.0,PR,PARANA,SUL,CENTRO,2,1,1,2.000,0.000,0.7419355,1.000,0.5806451612903226,5.000,299.50,59.90,59.90,0.00,Não demarc,0.16129032258064516,31,0,26497,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3769e7023301ece247313036c3fff3c2,c86dfb2a9936dce876de5f5650dce199,blusa,preto,m,viscolycra + microfibra,abstrato,4,,curto,05bc0f43-3c7b-4d32-81ce-02a036f1d66f,CD1,17.0,CE,CEARA,NORDESTE,SAPIRANGA,3,2,1,2.000,1.000,1.2580645,1.000,1.0,1.000,56.05,59.90,59.90,0.00,Não demarc,0.03225806451612903,31,0,12794,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3769e7023301ece247313036c3fff3c2,c86dfb2a9936dce876de5f5650dce199,blusa,preto,m,viscolycra + microfibra,abstrato,4,,curto,08b66e4d-42f1-4171-9bd0-db235ef765b1,CD1,12.0,AL,ALAGOAS,NORDESTE,CRUZ DAS ALMAS,3,3,1,1.000,0.000,0.6451613,0.000,0.3870967741935484,2.000,119.80,59.90,59.90,0.00,Não demarc,0.06451612903225806,31,0,12794,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3769e7023301ece247313036c3fff3c2,c86dfb2a9936dce876de5f5650dce199,blusa,preto,m,viscolycra + microfibra,abstrato,4,,curto,092e338b-f578-4f78-ad42-3bb59a2e6639,CD2,18.0,SP,SAO PAULO,SUDESTE,PERDIZES,1,3,3,0.000,3.000,1.5806452,2.000,0.6129032258064516,4.000,225.32,59.90,59.90,0.00,Não demarc,0.0967741935483871,31,0,26497,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3769e7023301ece247313036c3fff3c2,c86dfb2a9936dce876de5f5650dce199,blusa,preto,m,viscolycra + microfibra,abstrato,4,,curto,09cbe607-65e9-4e5f-a037-e82139c283fb,CD1,11.0,CE,CEARA,NORDESTE,JEREISSATI II,3,1,1,1.000,2.000,0.7741935,1.000,0.7419354838709677,2.000,119.80,59.90,59.90,0.00,Não demarc,0.06451612903225806,31,0,12794,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3769e7023301ece247313036c3fff3c2,c86dfb2a9936dce876de5f5650dce199,blusa,preto,m,viscolycra + microfibra,abstrato,4,,curto,0a831d2a-d950-4493-b763-9f98ef08981f,CD1,12.0,PE,PERNAMBUCO,NORDESTE,PIEDADE,3,1,2,1.000,1.000,1.1935484,1.000,0.967741935483871,3.000,179.70,59.90,59.90,0.00,Não demarc,0.0967741935483871,31,0,12794,0,0,0,0,0,0,0,0,0,0,0
