date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,ac,acre,dist industrial,-9.9754,-67.8242,25.615543,31.9435,21.7435,30.539656,38.852375,25.75313,223.1,223.1,0.0,16.87398,43.92,615.93
2022-02-01,ac,acre,dist industrial,-9.9754,-67.8242,24.92847,32.2435,21.3435,29.79885,39.742836,25.144972,239.2,239.2,0.0,18.668005,40.32,494.9
2022-03-01,ac,acre,dist industrial,-9.9754,-67.8242,24.890945,31.1935,21.293499,29.806805,38.603493,24.957262,301.1,301.1,0.0,17.298738,37.8,556.86
2022-04-01,ac,acre,dist industrial,-9.9754,-67.8242,25.086487,32.0435,17.4935,29.782072,38.78841,18.04601,120.5,120.5,0.0,16.375053,36.36,550.83
2022-05-01,ac,acre,dist industrial,-9.9754,-67.8242,24.518837,32.2435,15.5435,28.344488,37.78471,16.442982,126.399994,126.399994,0.0,16.766108,36.0,563.91
2022-06-01,ac,acre,dist industrial,-9.9754,-67.8242,23.539541,31.3935,14.0435,26.931414,35.843403,13.996452,96.7,96.7,0.0,18.089775,46.079998,523.99
2022-07-01,ac,acre,dist industrial,-9.9754,-67.8242,25.938257,33.3435,16.7435,29.559473,37.641937,17.450312,6.3,6.3,0.0,14.512064,35.64,583.27
2022-08-01,ac,acre,dist industrial,-9.9754,-67.8242,25.28436,34.6935,16.1935,27.835852,39.150482,13.753605,41.899998,41.899998,0.0,23.47741,50.039997,555.1
2022-09-01,ac,acre,dist industrial,-9.9754,-67.8242,26.739195,35.8935,16.793499,29.376034,39.543854,17.045021,75.4,75.4,0.0,20.037485,44.28,561.82
2022-10-01,ac,acre,dist industrial,-9.9754,-67.8242,26.43913,35.4435,19.6435,30.833248,40.59482,21.40575,147.90001,147.90001,0.0,15.807239,34.92,624.27
2022-11-01,ac,acre,dist industrial,-9.9754,-67.8242,26.121069,35.5435,15.5935,29.67488,40.600765,13.792803,177.0,177.0,0.0,19.721298,43.92,673.76
2022-12-01,ac,acre,dist industrial,-9.9754,-67.8242,25.798271,33.7935,20.9435,30.328512,38.68994,24.37018,177.40001,177.40001,0.0,16.394829,39.96,625.24
2023-01-01,ac,acre,dist industrial,-9.9754,-67.8242,25.045046,31.4935,19.8435,29.21823,38.156918,23.270563,232.79999,232.79999,0.0,17.10284,44.639996,593.18
2023-02-01,ac,acre,dist industrial,-9.9754,-67.8242,24.901834,31.1935,19.6935,29.597944,38.89788,20.866865,273.1,273.1,0.0,15.281989,42.12,491.13998
2023-03-01,ac,acre,dist industrial,-9.9754,-67.8242,25.021322,31.793499,20.793499,29.95511,39.481636,24.052895,329.0,329.0,0.0,13.551501,36.0,562.7
2023-04-01,ac,acre,dist industrial,-9.9754,-67.8242,25.032665,31.1935,20.6935,30.056948,38.330868,24.21594,202.8,202.8,0.0,14.168641,36.719997,527.09
2023-05-01,ac,acre,dist industrial,-9.9754,-67.8242,25.116552,32.0435,19.9935,29.92933,38.61455,22.526897,145.90001,145.90001,0.0,14.618837,33.12,509.16
2023-06-01,ac,acre,dist industrial,-9.9754,-67.8242,23.869959,32.3935,12.5435,27.421934,37.605515,10.344847,44.300003,44.300003,0.0,19.66536,41.399998,526.61
2023-07-01,ac,acre,dist industrial,-9.9754,-67.8242,25.797466,33.9435,16.9935,28.884012,37.886078,17.23959,3.1,3.1,0.0,17.709658,36.719997,598.05
2023-08-01,ac,acre,dist industrial,-9.9754,-67.8242,27.811443,36.5935,18.9435,31.020937,41.093758,20.75516,18.6,18.6,0.0,15.349684,34.92,558.61
2023-09-01,ac,acre,dist industrial,-9.9754,-67.8242,28.460514,36.9935,22.1935,32.32889,41.53545,25.422495,46.6,46.6,0.0,19.353138,42.48,562.6
2023-10-01,ac,acre,dist industrial,-9.9754,-67.8242,29.20627,37.5935,22.2435,33.445194,42.594067,25.962826,50.4,50.4,0.0,16.831684,42.48,664.34
2023-11-01,ac,acre,dist industrial,-9.9754,-67.8242,27.88593,37.2935,20.6935,32.27184,42.674374,22.72657,124.6,124.6,0.0,20.16,48.6,635.28
2023-12-01,ac,acre,dist industrial,-9.9754,-67.8242,26.348337,33.1435,21.3935,31.60378,40.46675,24.990993,158.4,158.4,0.0,14.336861,31.68,612.26
2024-01-01,ac,acre,dist industrial,-9.9754,-67.8242,26.283957,32.6435,22.0935,31.509094,39.353634,25.96361,221.40001,221.40001,0.0,17.208603,40.32,602.66
2024-02-01,ac,acre,dist industrial,-9.9754,-67.8242,26.035238,33.4935,21.793499,31.335592,40.95736,25.68049,156.4,156.4,0.0,14.529915,34.92,543.11
2024-03-01,ac,acre,dist industrial,-9.9754,-67.8242,26.58987,32.9435,21.5935,32.016914,41.26942,25.342356,147.7,147.7,0.0,16.520823,37.44,624.54
