date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,al,alagoas,centro,-9.6667,-35.735,26.757198,30.091,23.091,30.16192,34.841175,25.27152,75.2,75.2,0.0,27.77838,44.639996,712.39
2022-02-01,al,alagoas,centro,-9.6667,-35.735,27.38862,31.191,23.441,30.634205,34.64689,26.207977,32.8,32.8,0.0,29.44307,48.96,709.43
2022-03-01,al,alagoas,centro,-9.6667,-35.735,26.46768,29.640999,23.441,30.424938,35.272865,25.71402,238.50002,238.50002,0.0,23.598541,38.88,655.75
2022-04-01,al,alagoas,centro,-9.6667,-35.735,26.520723,30.541,23.241,30.327553,35.982555,26.092138,111.59999,111.59999,0.0,25.12016,39.6,615.21
2022-05-01,al,alagoas,centro,-9.6667,-35.735,25.755987,31.140999,22.191,28.96694,36.29661,24.634527,337.69998,337.69998,0.0,28.006058,45.719997,468.75
2022-06-01,al,alagoas,centro,-9.6667,-35.735,24.522112,27.491,22.241,27.270403,32.669426,23.593987,394.1,394.1,0.0,28.808998,44.639996,392.6
2022-07-01,al,alagoas,centro,-9.6667,-35.735,24.286766,27.091,21.441,26.13019,29.665058,23.105965,230.8,230.8,0.0,29.03752,45.0,460.83
2022-08-01,al,alagoas,centro,-9.6667,-35.735,23.999332,26.741,21.191,25.691082,30.63469,21.201849,297.6,297.6,0.0,28.820242,45.0,537.79
2022-09-01,al,alagoas,centro,-9.6667,-35.735,24.586,28.091,21.140999,26.653292,31.774345,22.70739,75.200005,75.200005,0.0,27.44749,44.28,654.05
2022-10-01,al,alagoas,centro,-9.6667,-35.735,25.643888,29.091,22.241,28.000689,32.6909,24.299767,81.8,81.8,0.0,29.749592,45.719997,719.82
2022-11-01,al,alagoas,centro,-9.6667,-35.735,25.931696,30.241,23.140999,29.013786,34.245193,25.590921,203.2,203.2,0.0,30.121912,47.519997,671.39
2022-12-01,al,alagoas,centro,-9.6667,-35.735,26.155651,30.491,22.841,29.06957,34.202114,25.418732,74.0,74.0,0.0,31.435646,49.32,750.34
2023-01-01,al,alagoas,centro,-9.6667,-35.735,26.39947,29.890999,22.591,29.533897,34.32438,25.498825,73.8,73.8,0.0,25.919998,41.760002,751.5
2023-02-01,al,alagoas,centro,-9.6667,-35.735,27.062057,30.191,23.241,30.412172,34.551098,26.270596,60.5,60.5,0.0,22.657131,38.519997,671.64
2023-03-01,al,alagoas,centro,-9.6667,-35.735,26.76815,30.591,23.341,30.389746,35.13357,26.146332,150.6,150.6,0.0,24.609364,41.399998,697.83
2023-04-01,al,alagoas,centro,-9.6667,-35.735,26.526974,30.191,23.640999,30.627703,35.850826,26.72372,114.1,114.1,0.0,24.288662,39.239998,608.4
2023-05-01,al,alagoas,centro,-9.6667,-35.735,26.072117,28.890999,23.191,29.823912,33.787025,25.940804,209.40001,209.40001,0.0,26.544964,42.12,516.48
2023-06-01,al,alagoas,centro,-9.6667,-35.735,25.186974,27.991,22.491,28.07223,32.058487,24.16469,223.1,223.1,0.0,26.7565,41.039997,407.71
2023-07-01,al,alagoas,centro,-9.6667,-35.735,24.45908,27.541,21.341,27.17159,32.209545,23.40499,149.1,149.1,0.0,24.29133,48.239998,490.99
2023-08-01,al,alagoas,centro,-9.6667,-35.735,24.741604,28.741,20.541,27.58158,34.20689,23.204187,104.799995,104.799995,0.0,23.042812,42.12,571.08
2023-09-01,al,alagoas,centro,-9.6667,-35.735,25.075932,29.691,21.791,27.679657,33.441494,24.261433,91.7,91.7,0.0,26.807312,48.96,607.79
2023-10-01,al,alagoas,centro,-9.6667,-35.735,25.754642,30.941,21.541,28.541302,34.90122,24.498789,60.899998,60.899998,0.0,30.29566,54.719997,730.24
2023-11-01,al,alagoas,centro,-9.6667,-35.735,26.892876,30.691,22.791,29.707006,34.63377,25.756727,32.2,32.2,0.0,28.802248,52.56,734.88
2023-12-01,al,alagoas,centro,-9.6667,-35.735,26.776957,30.741,22.991,30.22265,35.838367,26.160406,75.50001,75.50001,0.0,25.992397,47.16,694.35
2024-01-01,al,alagoas,centro,-9.6667,-35.735,27.822117,34.141,23.791,31.288479,38.44137,27.882282,39.0,39.0,0.0,29.144438,53.639996,754.62
2024-02-01,al,alagoas,centro,-9.6667,-35.735,27.651993,31.791,24.041,31.904177,37.84974,26.649612,71.4,71.4,0.0,24.933735,45.0,647.31
