date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,al,alagoas,cruz das almas,-9.6869,-35.7556,26.796196,30.13,23.13,30.223093,34.90192,25.33162,75.2,75.2,0.0,27.77838,44.639996,712.39
2022-02-01,al,alagoas,cruz das almas,-9.6869,-35.7556,27.427618,31.23,23.48,30.695208,34.706497,26.268127,32.8,32.8,0.0,29.44307,48.96,709.43
2022-03-01,al,alagoas,cruz das almas,-9.6869,-35.7556,26.506678,29.679998,23.48,30.486774,35.334988,25.773888,238.50002,238.50002,0.0,23.598541,38.88,655.75
2022-04-01,al,alagoas,cruz das almas,-9.6869,-35.7556,26.559721,30.58,23.279999,30.38916,36.045666,26.152456,111.59999,111.59999,0.0,25.12016,39.6,615.21
2022-05-01,al,alagoas,cruz das almas,-9.6869,-35.7556,25.794985,31.179998,22.23,29.028177,36.3577,24.693354,337.69998,337.69998,0.0,28.006058,45.719997,468.75
2022-06-01,al,alagoas,cruz das almas,-9.6869,-35.7556,24.56111,27.529999,22.279999,27.330729,32.730717,23.653196,394.1,394.1,0.0,28.808998,44.639996,392.6
2022-07-01,al,alagoas,cruz das almas,-9.6869,-35.7556,24.325766,27.13,21.48,26.189486,29.72446,23.164268,230.8,230.8,0.0,29.03752,45.0,460.83
2022-08-01,al,alagoas,cruz das almas,-9.6869,-35.7556,24.038332,26.779999,21.23,25.749773,30.694214,21.259789,297.6,297.6,0.0,28.820242,45.0,537.79
2022-09-01,al,alagoas,cruz das almas,-9.6869,-35.7556,24.625,28.13,21.179998,26.712198,31.833801,22.765177,75.200005,75.200005,0.0,27.44749,44.28,654.05
2022-10-01,al,alagoas,cruz das almas,-9.6869,-35.7556,25.682888,29.13,22.279999,28.060513,32.752724,24.358591,81.8,81.8,0.0,29.749592,45.719997,719.82
2022-11-01,al,alagoas,cruz das almas,-9.6869,-35.7556,25.970694,30.279999,23.179998,29.074923,34.307068,25.65085,203.2,203.2,0.0,30.121912,47.519997,671.39
2022-12-01,al,alagoas,cruz das almas,-9.6869,-35.7556,26.19465,30.529999,22.88,29.130573,34.26435,25.47783,74.0,74.0,0.0,31.435646,49.32,750.34
2023-01-01,al,alagoas,cruz das almas,-9.6869,-35.7556,26.438467,29.929998,22.63,29.594744,34.385777,25.55915,73.8,73.8,0.0,25.919998,41.760002,751.5
2023-02-01,al,alagoas,cruz das almas,-9.6869,-35.7556,27.101057,30.23,23.279999,30.473177,34.611843,26.33144,60.5,60.5,0.0,22.657131,38.519997,671.64
2023-03-01,al,alagoas,cruz das almas,-9.6869,-35.7556,26.80715,30.63,23.38,30.45103,35.196568,26.206654,150.6,150.6,0.0,24.609364,41.399998,697.83
2023-04-01,al,alagoas,cruz das almas,-9.6869,-35.7556,26.565971,30.23,23.679998,30.689693,35.914124,26.784855,114.1,114.1,0.0,24.288662,39.239998,608.4
2023-05-01,al,alagoas,cruz das almas,-9.6869,-35.7556,26.111116,28.929998,23.23,29.885563,33.849583,26.001934,209.40001,209.40001,0.0,26.544964,42.12,516.48
2023-06-01,al,alagoas,cruz das almas,-9.6869,-35.7556,25.225973,28.029999,22.529999,28.132805,32.121178,24.2239,223.1,223.1,0.0,26.7565,41.039997,407.71
