date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.770199,30.104,23.104,30.182308,34.86142,25.29155,75.2,75.2,0.0,27.77838,44.639996,712.39
2022-02-01,al,alagoas,santa edwiges,-9.6667,-35.7333,27.40162,31.204,23.454,30.654537,34.666756,26.228027,32.8,32.8,0.0,29.44307,48.96,709.43
2022-03-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.48068,29.654,23.454,30.445547,35.293564,25.73397,238.50002,238.50002,0.0,23.598541,38.88,655.75
2022-04-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.533724,30.554,23.254,30.348085,36.003586,26.112238,111.59999,111.59999,0.0,25.12016,39.6,615.21
2022-05-01,al,alagoas,santa edwiges,-9.6667,-35.7333,25.768988,31.154,22.204,28.987349,36.31697,24.654133,337.69998,337.69998,0.0,28.006058,45.719997,468.75
2022-06-01,al,alagoas,santa edwiges,-9.6667,-35.7333,24.535112,27.504,22.254,27.290506,32.689854,23.613718,394.1,394.1,0.0,28.808998,44.639996,392.6
2022-07-01,al,alagoas,santa edwiges,-9.6667,-35.7333,24.299767,27.104,21.454,26.149952,29.684853,23.125397,230.8,230.8,0.0,29.03752,45.0,460.83
2022-08-01,al,alagoas,santa edwiges,-9.6667,-35.7333,24.012333,26.754,21.204,25.71064,30.654526,21.221159,297.6,297.6,0.0,28.820242,45.0,537.79
2022-09-01,al,alagoas,santa edwiges,-9.6667,-35.7333,24.599,28.104,21.154,26.672922,31.794159,22.726648,75.200005,75.200005,0.0,27.44749,44.28,654.05
2022-10-01,al,alagoas,santa edwiges,-9.6667,-35.7333,25.656889,29.104,22.254,28.020628,32.711502,24.31937,81.8,81.8,0.0,29.749592,45.719997,719.82
2022-11-01,al,alagoas,santa edwiges,-9.6667,-35.7333,25.944696,30.254,23.154,29.03416,34.265816,25.610895,203.2,203.2,0.0,30.121912,47.519997,671.39
2022-12-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.168652,30.504,22.854,29.089901,34.222855,25.438429,74.0,74.0,0.0,31.435646,49.32,750.34
2023-01-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.41247,29.904,22.604,29.554176,34.34484,25.518927,73.8,73.8,0.0,25.919998,41.760002,751.5
2023-02-01,al,alagoas,santa edwiges,-9.6667,-35.7333,27.075058,30.204,23.254,30.432505,34.571342,26.29087,60.5,60.5,0.0,22.657131,38.519997,671.64
2023-03-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.78115,30.604,23.354,30.41017,35.154564,26.166435,150.6,150.6,0.0,24.609364,41.399998,697.83
2023-04-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.539974,30.204,23.654,30.64836,35.87192,26.744091,114.1,114.1,0.0,24.288662,39.239998,608.4
2023-05-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.085117,28.904,23.204,29.84446,33.807873,25.961178,209.40001,209.40001,0.0,26.544964,42.12,516.48
2023-06-01,al,alagoas,santa edwiges,-9.6667,-35.7333,25.199974,28.004,22.504,28.092417,32.07938,24.184422,223.1,223.1,0.0,26.7565,41.039997,407.71
2023-07-01,al,alagoas,santa edwiges,-9.6667,-35.7333,24.47208,27.554,21.354,27.191462,32.230274,23.424349,149.1,149.1,0.0,24.29133,48.239998,490.99
2023-08-01,al,alagoas,santa edwiges,-9.6667,-35.7333,24.754604,28.754,20.554,27.601553,34.22827,23.22326,104.799995,104.799995,0.0,23.042812,42.12,571.08
2023-09-01,al,alagoas,santa edwiges,-9.6667,-35.7333,25.088932,29.704,21.804,27.699633,33.462055,24.280937,91.7,91.7,0.0,26.807312,48.96,607.79
2023-10-01,al,alagoas,santa edwiges,-9.6667,-35.7333,25.767643,30.954,21.554,28.561314,34.92152,24.518343,60.899998,60.899998,0.0,30.29566,54.719997,730.24
2023-11-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.905876,30.704,22.804,29.727154,34.653416,25.77641,32.2,32.2,0.0,28.802248,52.56,734.88
2023-12-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.789957,30.754,23.004,30.243078,35.859253,26.180628,75.50001,75.50001,0.0,25.992397,47.16,694.35
2024-01-01,al,alagoas,santa edwiges,-9.6667,-35.7333,27.835117,34.154,23.804,31.309006,38.46149,27.902637,39.0,39.0,0.0,29.144438,53.639996,754.62
2024-02-01,al,alagoas,santa edwiges,-9.6667,-35.7333,27.664993,31.804,24.054,31.924992,37.870964,26.669983,71.4,71.4,0.0,24.933735,45.0,647.31
2024-03-01,al,alagoas,santa edwiges,-9.6667,-35.7333,28.068584,32.904,24.504,32.750202,39.322887,28.456112,126.399994,126.399994,0.0,23.277834,45.0,694.26
2024-04-01,al,alagoas,santa edwiges,-9.6667,-35.7333,27.165737,30.204,23.954,32.37985,37.08661,28.209507,113.7,113.7,0.0,19.969458,38.16,606.18
2024-05-01,al,alagoas,santa edwiges,-9.6667,-35.7333,26.316704,30.104,22.454,30.462206,35.358288,26.466967,271.19998,271.19998,0.0,27.07669,48.239998,486.96
2024-06-01,al,alagoas,santa edwiges,-9.6667,-35.7333,25.148932,28.654,21.204,28.28802,32.32174,24.08477,194.3,194.3,0.0,25.212852,46.079998,452.61
2024-07-01,al,alagoas,santa edwiges,-9.6667,-35.7333,24.652723,28.104,21.454,26.946642,30.968746,23.483753,168.6,168.6,0.0,25.318008,46.44,506.01
2024-08-01,al,alagoas,santa edwiges,-9.6667,-35.7333,24.607294,28.504,20.154,26.63865,32.756065,22.08068,75.5,75.5,0.0,24.863466,45.719997,623.92
