date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,ap,amapa,centro,-0.0356,-51.0705,25.129908,30.6955,21.8955,29.506033,36.50936,25.736706,331.2,331.2,0.0,19.164717,49.32,496.5
2022-02-01,ap,amapa,centro,-0.0356,-51.0705,25.721912,30.6955,22.5455,30.076115,37.471558,26.508764,226.7,226.7,0.0,20.478907,45.719997,512.13
2022-03-01,ap,amapa,centro,-0.0356,-51.0705,24.8828,29.345499,22.4455,29.517859,35.48057,26.307518,503.0,503.0,0.0,18.514643,44.28,450.23
2022-04-01,ap,amapa,centro,-0.0356,-51.0705,25.41564,30.3955,22.345499,30.07301,36.8252,26.286077,357.7,357.7,0.0,18.875126,37.8,507.13
2022-05-01,ap,amapa,centro,-0.0356,-51.0705,25.41862,30.1455,22.3955,30.149773,37.282127,25.758577,385.50003,385.50003,0.0,17.673029,41.760002,515.47
2022-06-01,ap,amapa,centro,-0.0356,-51.0705,26.008417,30.1955,22.1955,30.77476,36.21544,25.881111,176.6,176.6,0.0,19.09358,42.839996,579.04
2022-07-01,ap,amapa,centro,-0.0356,-51.0705,26.197716,30.7955,22.345499,30.844923,36.884174,25.67794,179.3,179.3,0.0,18.218275,42.48,611.3
2022-08-01,ap,amapa,centro,-0.0356,-51.0705,27.313107,31.845499,23.1955,31.671257,38.30104,26.823015,74.8,74.8,0.0,18.678415,43.92,679.95
2022-09-01,ap,amapa,centro,-0.0356,-51.0705,28.08578,32.6455,23.7455,31.85658,38.17318,27.532248,44.0,44.0,0.0,25.212852,56.88,703.21
2022-10-01,ap,amapa,centro,-0.0356,-51.0705,28.56284,33.5455,24.3955,32.138435,38.172844,28.49179,11.1,11.1,0.0,22.59699,48.96,713.79
2022-11-01,ap,amapa,centro,-0.0356,-51.0705,26.968485,32.495502,22.6955,31.32523,37.10225,26.965527,143.7,143.7,0.0,18.998316,43.92,619.1
2022-12-01,ap,amapa,centro,-0.0356,-51.0705,26.079035,30.7955,22.345499,30.284903,36.510582,25.250269,203.7,203.7,0.0,17.992796,42.12,572.06
2023-01-01,ap,amapa,centro,-0.0356,-51.0705,25.190056,30.9955,22.0455,29.309666,36.186024,25.211422,295.7,295.7,0.0,22.415602,50.039997,537.0
2023-02-01,ap,amapa,centro,-0.0356,-51.0705,25.10346,29.8955,21.9455,29.46738,36.274216,25.6786,373.6,373.6,0.0,19.67195,47.16,483.91998
2023-03-01,ap,amapa,centro,-0.0356,-51.0705,25.451347,30.3955,22.1455,29.676155,35.81205,24.919804,317.6,317.6,0.0,20.140705,50.399998,556.82
