date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,ba,bahia,centro,-12.9709,-38.5121,26.30268,29.925999,22.425999,30.107893,35.526012,25.532494,119.600006,119.600006,0.0,25.683926,46.079998,740.43
2022-02-01,ba,bahia,centro,-12.9709,-38.5121,26.650406,29.425999,22.175999,30.76332,36.034817,24.943203,66.799995,66.799995,0.0,22.366402,40.68,685.0
2022-03-01,ba,bahia,centro,-12.9709,-38.5121,26.124792,29.476,22.776,29.904493,34.748188,26.510113,165.59999,165.59999,0.0,22.961115,42.839996,656.92
2022-04-01,ba,bahia,centro,-12.9709,-38.5121,26.109612,30.376,22.726,29.561716,38.013493,25.34464,270.9,270.9,0.0,31.361351,52.92,571.38
2022-05-01,ba,bahia,centro,-12.9709,-38.5121,25.495018,30.325998,22.075998,28.179537,35.367104,22.99704,115.899994,115.899994,0.0,29.808346,51.12,533.69
2022-06-01,ba,bahia,centro,-12.9709,-38.5121,24.384266,27.325998,21.626,26.085855,31.27232,21.30772,82.799995,82.799995,0.0,38.03413,64.799995,470.23
2022-07-01,ba,bahia,centro,-12.9709,-38.5121,23.880974,26.626,21.175999,25.25557,31.437576,22.629467,98.1,98.1,0.0,28.515089,49.68,499.53
2022-08-01,ba,bahia,centro,-12.9709,-38.5121,23.633795,27.325998,20.575998,24.804617,33.817173,18.968967,83.3,83.3,0.0,37.38457,61.920002,579.34
2022-09-01,ba,bahia,centro,-12.9709,-38.5121,23.927458,27.925999,20.626,25.999918,33.882908,21.29682,73.0,73.0,0.0,28.01531,46.079998,618.81
2022-10-01,ba,bahia,centro,-12.9709,-38.5121,25.390247,28.675999,21.425999,27.804968,32.605698,23.120302,70.0,70.0,0.0,25.325686,44.28,718.51
2022-11-01,ba,bahia,centro,-12.9709,-38.5121,25.360931,30.126,21.876,28.277548,36.519234,21.680777,210.59999,210.59999,0.0,34.488674,60.120003,620.02
2022-12-01,ba,bahia,centro,-12.9709,-38.5121,26.091593,30.126,22.575998,29.334515,37.70072,24.605797,88.5,88.5,0.0,26.019806,46.079998,717.58
