date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,ba,bahia,paralela,-12.9709,-38.4621,26.198679,29.822,22.322,29.944542,35.36129,25.370827,119.600006,119.600006,0.0,25.683926,46.079998,740.43
2022-02-01,ba,bahia,paralela,-12.9709,-38.4621,26.546404,29.322,22.072,30.5987,35.866276,24.783491,66.799995,66.799995,0.0,22.366402,40.68,685.0
2022-03-01,ba,bahia,paralela,-12.9709,-38.4621,26.02079,29.372002,22.672,29.740698,34.57998,26.348606,165.59999,165.59999,0.0,22.961115,42.839996,656.92
2022-04-01,ba,bahia,paralela,-12.9709,-38.4621,26.005611,30.272001,22.622002,29.39872,37.84448,25.181273,270.9,270.9,0.0,31.361351,52.92,571.38
2022-05-01,ba,bahia,paralela,-12.9709,-38.4621,25.391018,30.222,21.972,28.019567,35.201256,22.841951,115.899994,115.899994,0.0,29.808346,51.12,533.69
2022-06-01,ba,bahia,paralela,-12.9709,-38.4621,24.280266,27.222,21.522001,25.929483,31.109772,21.157953,82.799995,82.799995,0.0,38.03413,64.799995,470.23
2022-07-01,ba,bahia,paralela,-12.9709,-38.4621,23.776974,26.522001,21.072,25.1005,31.27792,22.476425,98.1,98.1,0.0,28.515089,49.68,499.53
2022-08-01,ba,bahia,paralela,-12.9709,-38.4621,23.529795,27.222,20.472,24.650965,33.654793,18.821287,83.3,83.3,0.0,37.38457,61.920002,579.34
2022-09-01,ba,bahia,paralela,-12.9709,-38.4621,23.823458,27.822,20.522001,25.843616,33.719124,21.14716,73.0,73.0,0.0,28.01531,46.079998,618.81
2022-10-01,ba,bahia,paralela,-12.9709,-38.4621,25.286247,28.572,21.322,27.645988,32.442688,22.9652,70.0,70.0,0.0,25.325686,44.28,718.51
2022-11-01,ba,bahia,paralela,-12.9709,-38.4621,25.25693,30.022001,21.772001,28.1157,36.357048,21.525127,210.59999,210.59999,0.0,34.488674,60.120003,620.02
2022-12-01,ba,bahia,paralela,-12.9709,-38.4621,25.987593,30.022001,22.472,29.17157,37.53487,24.453575,88.5,88.5,0.0,26.019806,46.079998,717.58
2023-01-01,ba,bahia,paralela,-12.9709,-38.4621,26.33181,30.322,23.022001,29.714148,35.98541,25.791372,53.600002,53.600002,0.0,25.509243,43.92,785.53
2023-02-01,ba,bahia,paralela,-12.9709,-38.4621,26.607565,30.572,22.722,30.142979,36.94747,25.586802,81.3,81.3,0.0,25.241108,45.719997,702.83
2023-03-01,ba,bahia,paralela,-12.9709,-38.4621,26.022808,30.072,22.972,29.524586,34.047783,25.030613,129.3,129.3,0.0,26.787966,46.44,682.95
2023-04-01,ba,bahia,paralela,-12.9709,-38.4621,26.315403,32.022,22.622002,30.174768,38.91951,24.257278,78.3,78.3,0.0,21.99538,40.32,612.74
2023-05-01,ba,bahia,paralela,-12.9709,-38.4621,25.163801,28.022001,22.372002,28.18616,33.73525,23.800505,243.5,243.5,0.0,26.983194,44.639996,459.85
2023-06-01,ba,bahia,paralela,-12.9709,-38.4621,24.543318,27.372002,21.672,26.474464,30.922394,22.635609,196.30002,196.30002,0.0,32.35997,52.92,425.58002
2023-07-01,ba,bahia,paralela,-12.9709,-38.4621,23.982954,27.022001,21.172,25.749756,31.879154,21.573671,93.50001,93.50001,0.0,30.378967,50.76,516.47
2023-08-01,ba,bahia,paralela,-12.9709,-38.4621,24.212187,28.972,21.272001,26.377666,34.95487,22.219086,87.5,87.5,0.0,26.178707,45.0,567.11
