date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,ce,ceara,agua fria,-3.7406,-38.4785,26.689596,30.1525,22.5525,30.196514,35.157745,25.38202,190.29999,190.29999,0.0,26.749235,52.56,643.52
2022-02-01,ce,ceara,agua fria,-3.7406,-38.4785,27.407337,30.3525,23.4525,30.831944,35.217865,26.72907,82.200005,82.200005,0.0,25.455843,50.76,673.83
2022-03-01,ce,ceara,agua fria,-3.7406,-38.4785,26.209692,30.2025,22.9525,30.135527,35.417377,26.572649,430.30002,430.30002,0.0,24.819122,48.6,590.06
2022-04-01,ce,ceara,agua fria,-3.7406,-38.4785,26.302013,30.4025,22.5025,30.365948,36.0911,26.126238,310.0,310.0,0.0,26.081993,50.76,584.81
2022-05-01,ce,ceara,agua fria,-3.7406,-38.4785,26.222258,30.1025,22.4525,29.765844,35.901993,25.00513,275.7,275.7,0.0,24.967497,48.96,566.57
2022-06-01,ce,ceara,agua fria,-3.7406,-38.4785,25.834099,30.6525,22.3525,28.65691,33.085415,23.925694,144.0,144.0,0.0,26.87491,51.48,571.64
2022-07-01,ce,ceara,agua fria,-3.7406,-38.4785,25.897259,30.6525,21.9525,27.945972,33.124844,22.874073,87.700005,87.700005,0.0,31.452133,59.039997,603.78
2022-08-01,ce,ceara,agua fria,-3.7406,-38.4785,26.391008,32.2525,22.6525,27.791056,32.769547,22.130735,17.800001,17.800001,0.0,32.862694,64.079994,734.28
2022-09-01,ce,ceara,agua fria,-3.7406,-38.4785,26.593195,30.9525,23.1525,27.97014,32.80852,23.580528,15.500001,15.500001,0.0,31.820824,62.279995,747.29
2022-10-01,ce,ceara,agua fria,-3.7406,-38.4785,27.11285,31.1025,24.3025,28.770292,33.063335,25.489836,10.400001,10.400001,0.0,33.326748,64.079994,790.52997
2022-11-01,ce,ceara,agua fria,-3.7406,-38.4785,27.335625,30.4525,24.3525,29.847673,34.466164,26.7731,24.2,24.2,0.0,28.745949,56.16,727.41
2022-12-01,ce,ceara,agua fria,-3.7406,-38.4785,27.4523,30.4025,23.0025,29.873785,34.581074,25.866598,37.9,37.9,0.0,27.757378,55.44,738.17
2023-01-01,ce,ceara,agua fria,-3.7406,-38.4785,26.830122,30.3025,22.5025,29.886318,35.373653,25.631603,116.200005,116.200005,0.0,25.959969,53.28,686.79
2023-02-01,ce,ceara,agua fria,-3.7406,-38.4785,26.674301,30.0525,22.2025,30.025776,34.94824,25.27299,240.1,240.1,0.0,29.07989,55.8,596.14
2023-03-01,ce,ceara,agua fria,-3.7406,-38.4785,26.24316,30.5025,22.3525,30.23995,36.859077,25.48009,254.3,254.3,0.0,26.932714,54.0,637.49
2023-04-01,ce,ceara,agua fria,-3.7406,-38.4785,26.333889,30.7025,23.0025,30.47886,36.04625,25.230959,246.1,246.1,0.0,28.091534,54.719997,577.66
2023-05-01,ce,ceara,agua fria,-3.7406,-38.4785,27.269505,31.1525,23.0025,30.910557,35.398388,26.591658,85.2,85.2,0.0,26.87491,55.8,638.3
2023-06-01,ce,ceara,agua fria,-3.7406,-38.4785,26.721598,30.6025,22.7525,29.451841,34.544315,25.356897,57.8,57.8,0.0,30.05515,57.6,596.38
2023-07-01,ce,ceara,agua fria,-3.7406,-38.4785,26.95687,31.6525,22.8525,28.612839,32.975708,23.4035,24.9,24.9,0.0,32.449963,64.439995,672.03
2023-08-01,ce,ceara,agua fria,-3.7406,-38.4785,26.886103,31.7025,23.5525,28.528427,34.019108,23.280132,16.300001,16.300001,0.0,34.22841,66.6,724.81
2023-09-01,ce,ceara,agua fria,-3.7406,-38.4785,27.09257,30.5525,24.5025,28.4981,33.13825,24.491543,10.700001,10.700001,0.0,34.247337,68.76,743.9
2023-10-01,ce,ceara,agua fria,-3.7406,-38.4785,27.320177,30.5025,24.9025,29.070356,33.31974,26.067734,15.7,15.7,0.0,33.2781,66.6,771.02
2023-11-01,ce,ceara,agua fria,-3.7406,-38.4785,27.760487,30.6525,23.4025,29.998674,34.18289,25.437523,19.9,19.9,0.0,32.379993,65.88,732.46
2023-12-01,ce,ceara,agua fria,-3.7406,-38.4785,27.861977,31.1525,24.7525,30.633715,35.883415,27.606709,42.0,42.0,0.0,30.10685,61.920002,714.0
2024-01-01,ce,ceara,agua fria,-3.7406,-38.4785,28.12683,31.4025,23.8525,31.615767,35.920074,27.3552,62.200005,62.200005,0.0,27.210379,55.8,712.31
2024-02-01,ce,ceara,agua fria,-3.7406,-38.4785,27.037846,31.5025,22.9525,31.15226,37.318287,26.100595,319.1,319.1,0.0,28.963785,58.679996,564.26
2024-03-01,ce,ceara,agua fria,-3.7406,-38.4785,26.859154,30.3525,23.1525,31.672073,37.150284,25.927963,329.1,329.1,0.0,23.03156,47.16,610.69
2024-04-01,ce,ceara,agua fria,-3.7406,-38.4785,26.9025,31.2525,23.4525,31.779427,37.211197,26.818703,220.5,220.5,0.0,23.617756,46.44,550.62
2024-05-01,ce,ceara,agua fria,-3.7406,-38.4785,27.136238,31.0525,22.8525,30.796219,35.187218,26.470043,224.0,224.0,0.0,27.598173,54.36,588.22
2024-06-01,ce,ceara,agua fria,-3.7406,-38.4785,26.57021,30.3025,23.0525,29.231012,33.455517,24.471193,71.4,71.4,0.0,28.954834,59.039997,593.26
2024-07-01,ce,ceara,agua fria,-3.7406,-38.4785,26.566612,30.8025,22.3525,28.025864,33.28511,21.996977,24.400002,24.400002,0.0,33.348125,65.520004,668.58
2024-08-01,ce,ceara,agua fria,-3.7406,-38.4785,26.710028,31.4025,23.4025,27.634933,31.905586,22.692444,2.4,2.4,0.0,36.785233,70.56,743.2
2024-09-01,ce,ceara,agua fria,-3.7406,-38.4785,26.62,30.3025,24.3025,27.368069,31.190346,23.582367,3.0,3.0,0.0,34.54687,68.76,750.21
2024-10-01,ce,ceara,agua fria,-3.7406,-38.4785,26.934557,29.9025,24.5025,28.424446,32.706795,25.181679,14.5,14.5,0.0,31.8783,63.72,745.82
2024-11-01,ce,ceara,agua fria,-3.7406,-38.4785,27.489376,30.4525,25.1025,29.445885,34.23476,26.309784,11.8,11.8,0.0,33.492096,67.32,735.06
