date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.479467,30.296,22.296,30.26974,35.417816,24.67069,161.8,161.8,0.0,25.277025,49.32,646.43
2022-02-01,ce,ceara,dom expedito,-3.7879,-38.5381,27.189377,30.896,23.196,30.911211,35.164333,26.791878,55.0,55.0,0.0,24.57511,49.68,673.71
2022-03-01,ce,ceara,dom expedito,-3.7879,-38.5381,25.970594,30.646,22.496,30.078777,35.72507,25.754406,392.30002,392.30002,0.0,23.241617,47.519997,590.32
2022-04-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.026346,30.296,22.746,30.317106,36.45872,26.230335,261.7,261.7,0.0,24.86868,48.239998,585.63
2022-05-01,ce,ceara,dom expedito,-3.7879,-38.5381,25.94405,30.046,22.246,29.684896,36.0195,24.910585,247.40001,247.40001,0.0,25.44566,49.68,568.58997
2022-06-01,ce,ceara,dom expedito,-3.7879,-38.5381,25.555445,30.896,21.796,28.521025,33.599377,23.332926,154.7,154.7,0.0,25.922499,50.039997,571.52
2022-07-01,ce,ceara,dom expedito,-3.7879,-38.5381,25.672544,30.996,21.846,27.91955,33.854908,22.36148,72.6,72.6,0.0,29.810522,56.88,603.95
2022-08-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.474695,33.746,22.296,28.02877,33.890728,21.567284,35.7,35.7,0.0,30.302078,60.479996,734.26
2022-09-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.839819,32.246,22.796,28.352934,33.10062,23.295033,12.500001,12.500001,0.0,32.587456,61.920002,742.31
2022-10-01,ce,ceara,dom expedito,-3.7879,-38.5381,27.37167,32.396,24.146,29.16074,34.034122,25.137243,12.3,12.3,0.0,31.293089,61.920002,789.58
2022-11-01,ce,ceara,dom expedito,-3.7879,-38.5381,27.435581,31.196,23.846,30.080435,34.482887,26.694742,26.6,26.6,0.0,27.276978,53.639996,722.83
2022-12-01,ce,ceara,dom expedito,-3.7879,-38.5381,27.46905,30.996,22.896,30.051754,34.83938,25.679464,36.899998,36.899998,0.0,26.980793,53.639996,738.48
2023-01-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.687532,30.696,22.496,30.007572,35.29368,25.225767,97.9,97.9,0.0,26.415268,53.28,687.54
2023-02-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.439154,30.246,21.996,30.14191,35.332283,25.302063,248.3,248.3,0.0,26.208395,51.12,593.77
2023-03-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.00346,30.696,21.746,30.214472,37.288425,24.921015,275.30002,275.30002,0.0,24.162947,47.519997,635.32
2023-04-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.054054,30.846,22.596,30.392395,36.41334,24.512413,213.6,213.6,0.0,26.865265,51.839996,576.68
2023-05-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.982828,31.446,22.796,30.908058,35.519466,25.93176,75.1,75.1,0.0,26.282465,54.0,639.09
2023-06-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.574055,31.196,22.496,29.512747,34.275867,24.85892,49.2,49.2,0.0,30.378967,57.96,595.38
2023-07-01,ce,ceara,dom expedito,-3.7879,-38.5381,27.007961,33.096,22.496,28.93044,33.798107,23.067875,26.500002,26.500002,0.0,30.173496,61.199997,669.4
2023-08-01,ce,ceara,dom expedito,-3.7879,-38.5381,27.08471,33.546,23.546,28.966862,34.75437,22.81405,15.400001,15.400001,0.0,32.283787,64.799995,720.7
2023-09-01,ce,ceara,dom expedito,-3.7879,-38.5381,27.361137,32.146,24.396,28.972904,34.651203,24.309834,8.0,8.0,0.0,32.527744,64.799995,741.6
2023-10-01,ce,ceara,dom expedito,-3.7879,-38.5381,27.581684,31.746,24.296,29.54196,34.175278,26.383068,12.0,12.0,0.0,30.78368,63.0,767.16
2023-11-01,ce,ceara,dom expedito,-3.7879,-38.5381,27.995373,31.946,23.696,30.3907,34.72257,25.871256,18.0,18.0,0.0,31.404713,63.72,732.43
2023-12-01,ce,ceara,dom expedito,-3.7879,-38.5381,27.974226,32.446,23.646,31.005135,36.196297,27.58785,38.199997,38.199997,0.0,29.257614,60.479996,710.19
2024-01-01,ce,ceara,dom expedito,-3.7879,-38.5381,28.193714,32.496,23.296,31.861752,36.49503,27.404793,55.0,55.0,0.0,25.582806,52.92,708.17
2024-02-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.99212,32.346,22.496,31.30275,37.941406,25.381477,338.5,338.5,0.0,27.532352,56.16,560.95
2024-03-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.707357,30.896,23.046,31.676588,37.866566,26.35254,359.4,359.4,0.0,20.991426,42.839996,604.89
2024-04-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.712944,31.696,23.046,31.770538,38.14347,26.708763,253.40001,253.40001,0.0,20.240198,40.68,546.66
2024-05-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.942303,31.546,22.796,30.891443,35.955635,26.34831,200.3,200.3,0.0,25.759504,50.399998,589.71
2024-06-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.381277,30.846,22.746,29.363573,34.523647,24.086159,98.200005,98.200005,0.0,28.04305,55.44,593.71
2024-07-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.544252,32.346,22.096,28.291374,34.32944,21.84021,15.000001,15.000001,0.0,31.259941,62.639996,662.52997
2024-08-01,ce,ceara,dom expedito,-3.7879,-38.5381,26.91831,32.446,23.046,28.090816,33.02065,22.466604,2.7,2.7,0.0,32.84494,66.96,740.46
