date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,ce,ceara,jereissati ii,-3.8623,-38.4819,26.473394,30.374,22.324001,30.352533,35.820038,25.633638,146.7,146.7,0.0,23.667091,48.239998,643.42
2022-02-01,ce,ceara,jereissati ii,-3.8623,-38.4819,27.183376,31.074001,23.174002,31.001984,35.261948,26.434265,55.6,55.6,0.0,23.400002,47.88,666.71
2022-03-01,ce,ceara,jereissati ii,-3.8623,-38.4819,26.008743,30.874,22.524,30.147297,36.21795,25.929577,430.4,430.4,0.0,23.03156,46.44,588.09
2022-04-01,ce,ceara,jereissati ii,-3.8623,-38.4819,26.065182,30.624,22.524,30.356936,36.528564,26.008738,263.9,263.9,0.0,23.83624,46.8,579.14
2022-05-01,ce,ceara,jereissati ii,-3.8623,-38.4819,25.972185,30.274,22.174002,29.767015,36.288754,24.836582,251.20001,251.20001,0.0,26.654589,50.76,558.84
2022-06-01,ce,ceara,jereissati ii,-3.8623,-38.4819,25.517542,30.924002,21.674002,28.552656,33.9176,23.091578,161.70001,161.70001,0.0,24.850431,48.6,564.0
2022-07-01,ce,ceara,jereissati ii,-3.8623,-38.4819,25.669834,31.224,21.924002,28.028336,34.260033,22.320889,89.200005,89.200005,0.0,29.301876,56.16,594.87
2022-08-01,ce,ceara,jereissati ii,-3.8623,-38.4819,26.554443,34.124,22.074001,28.253296,34.473034,21.467571,17.8,17.8,0.0,28.576382,57.96,731.86
2022-09-01,ce,ceara,jereissati ii,-3.8623,-38.4819,26.94268,32.624,22.974,28.612185,33.65939,23.309916,10.6,10.6,0.0,31.602175,60.839996,737.87
2022-10-01,ce,ceara,jereissati ii,-3.8623,-38.4819,27.442749,32.874,24.374,29.396206,34.68743,25.10682,12.1,12.1,0.0,30.821552,61.920002,785.02
2022-11-01,ce,ceara,jereissati ii,-3.8623,-38.4819,27.419346,31.524,23.774,30.242943,34.861298,26.282219,33.8,33.8,0.0,25.982424,52.56,717.84
2022-12-01,ce,ceara,jereissati ii,-3.8623,-38.4819,27.491272,31.324001,22.924002,30.235023,35.26121,26.097366,43.9,43.9,0.0,26.072052,52.56,734.82
2023-01-01,ce,ceara,jereissati ii,-3.8623,-38.4819,26.680384,30.574001,22.374,30.140577,35.618816,25.123579,96.9,96.9,0.0,25.40743,52.199997,685.84
