date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.017069,28.767,15.816999,22.198093,30.692741,16.037283,178.3,178.3,0.0,23.664352,44.639996,660.91
2022-02-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.007477,27.467001,16.467001,22.806597,31.652824,17.527798,199.9,199.9,0.0,21.188072,42.839996,556.88
2022-03-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.90524,28.717001,15.516999,23.011284,32.00733,16.054092,82.0,82.0,0.0,29.162226,51.839996,719.81
2022-04-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.983736,29.317001,16.167,22.326355,31.529293,14.624205,43.600002,43.600002,0.0,24.633049,46.8,632.48
2022-05-01,df,brasilia,asa sul011,-15.8267,-48.0264,19.710886,28.017,5.367,18.793007,29.991997,1.3864489,19.300001,19.300001,0.0,25.417631,47.16,591.9
2022-06-01,df,brasilia,asa sul011,-15.8267,-48.0264,19.959362,27.967001,12.316999,18.429064,28.020824,10.096668,1.2,1.2,0.0,23.377836,43.92,563.1
2022-07-01,df,brasilia,asa sul011,-15.8267,-48.0264,19.440523,28.267,12.566999,17.217758,26.884201,9.769321,0.0,0.0,0.0,26.220753,49.68,628.98
2022-08-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.454098,30.417,10.566999,18.973917,29.46286,6.937582,0.0,0.0,0.0,30.574575,56.519997,655.32
2022-09-01,df,brasilia,asa sul011,-15.8267,-48.0264,22.899292,32.717,13.467,21.859941,32.678566,9.533627,35.2,35.2,0.0,28.496904,50.039997,645.86
2022-10-01,df,brasilia,asa sul011,-15.8267,-48.0264,23.043882,31.967001,17.217001,22.982668,32.384987,14.836758,91.299995,91.299995,0.0,26.649727,46.44,693.74
2022-11-01,df,brasilia,asa sul011,-15.8267,-48.0264,20.382973,27.267,14.167,21.633348,31.473167,12.120731,186.0,186.0,0.0,23.0653,41.039997,625.28
2022-12-01,df,brasilia,asa sul011,-15.8267,-48.0264,20.377216,27.067001,16.067,21.720596,30.907951,17.203217,278.7,278.7,0.0,27.0024,50.399998,547.05
2023-01-01,df,brasilia,asa sul011,-15.8267,-48.0264,20.63555,27.067001,15.766999,22.264,30.782608,16.658659,205.9,205.9,0.0,21.734581,44.28,643.57
2023-02-01,df,brasilia,asa sul011,-15.8267,-48.0264,22.083668,29.367,16.417,23.658636,32.299862,17.50798,73.4,73.4,0.0,21.707731,42.48,678.99
2023-03-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.14543,28.167,15.566999,22.320234,30.916103,14.332649,120.6,120.6,0.0,20.87379,39.6,606.22003
2023-04-01,df,brasilia,asa sul011,-15.8267,-48.0264,20.540195,27.467001,15.617,21.72766,31.340858,14.450129,109.3,109.3,0.0,29.024128,51.12,541.85
2023-05-01,df,brasilia,asa sul011,-15.8267,-48.0264,20.199327,26.717001,13.367,19.659685,28.878372,11.074137,1.9000001,1.9000001,0.0,24.675106,47.519997,608.17
2023-06-01,df,brasilia,asa sul011,-15.8267,-48.0264,19.568666,27.617,12.917,18.37435,27.496742,10.338481,16.600002,16.600002,0.0,21.924562,42.839996,535.69
2023-07-01,df,brasilia,asa sul011,-15.8267,-48.0264,20.17399,28.317001,12.066999,18.270987,27.569975,9.6002445,0.3,0.3,0.0,30.344814,55.44,562.54
2023-08-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.9877,32.217,14.467,20.605703,31.644413,12.332565,79.9,79.9,0.0,23.933907,46.079998,617.18
2023-09-01,df,brasilia,asa sul011,-15.8267,-48.0264,24.028181,33.317,16.217001,23.700476,34.410263,13.917604,31.0,31.0,0.0,27.534704,51.48,654.7
2023-10-01,df,brasilia,asa sul011,-15.8267,-48.0264,24.522243,33.167,18.767,25.655012,35.25433,17.79949,109.2,109.2,0.0,26.00486,51.12,704.08
2023-11-01,df,brasilia,asa sul011,-15.8267,-48.0264,24.074501,34.267002,17.467001,25.456642,35.61386,15.991476,98.9,98.9,0.0,21.120682,42.12,732.76
2023-12-01,df,brasilia,asa sul011,-15.8267,-48.0264,23.177956,31.517,17.967001,24.756727,34.189476,17.39269,185.7,185.7,0.0,23.068108,43.92,709.58
2024-01-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.681114,29.567001,16.267,23.899858,32.737556,17.78116,221.0,221.0,0.0,23.469128,44.639996,627.06
2024-02-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.575548,29.117,16.667,23.364021,33.319504,16.636925,192.29999,192.29999,0.0,26.121714,44.28,607.71
2024-03-01,df,brasilia,asa sul011,-15.8267,-48.0264,22.382591,28.917,17.567001,24.934618,34.005474,18.650257,128.2,128.2,0.0,20.883104,37.8,619.89
2024-04-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.929293,28.517,16.667,23.204058,32.02711,16.149004,37.9,37.9,0.0,23.110205,43.92,605.79
2024-05-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.189648,29.117,14.467,20.582495,30.64819,13.377331,0.0,0.0,0.0,24.336637,45.0,621.43
2024-06-01,df,brasilia,asa sul011,-15.8267,-48.0264,19.682903,26.817001,13.066999,18.194054,25.52877,11.322795,0.1,0.1,0.0,26.368616,48.239998,549.33
2024-07-01,df,brasilia,asa sul011,-15.8267,-48.0264,19.798855,28.167,12.766999,17.73589,28.01498,10.423893,0.0,0.0,0.0,24.066206,45.719997,617.5
2024-08-01,df,brasilia,asa sul011,-15.8267,-48.0264,21.376005,30.067001,11.967,19.039091,30.670612,9.505491,0.1,0.1,0.0,24.490585,46.079998,684.77
