date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,es,espirito santo,movelar,-20.2976,-40.339,25.21643,34.558502,19.358501,28.30322,39.746414,21.350409,125.50001,125.50001,0.0,27.0,51.48,740.31
2022-02-01,es,espirito santo,movelar,-20.2976,-40.339,24.764677,34.2585,20.4085,28.34311,39.89707,23.477552,249.40001,249.40001,0.0,21.602999,46.8,581.67
2022-03-01,es,espirito santo,movelar,-20.2976,-40.339,25.375772,33.1085,20.108501,28.462477,37.127834,20.019163,47.100002,47.100002,0.0,27.381306,52.199997,727.23
2022-04-01,es,espirito santo,movelar,-20.2976,-40.339,24.272806,34.0085,18.258501,26.773527,36.54247,17.510237,66.0,66.0,0.0,26.27753,50.76,575.68
2022-05-01,es,espirito santo,movelar,-20.2976,-40.339,21.994522,33.2585,12.1585,23.220402,35.159595,10.41515,51.7,51.7,0.0,21.96295,43.199997,469.23
2022-06-01,es,espirito santo,movelar,-20.2976,-40.339,20.76621,31.9085,14.308499,21.242054,32.23301,13.3741665,10.900001,10.900001,0.0,26.111792,50.039997,437.54
2022-07-01,es,espirito santo,movelar,-20.2976,-40.339,21.036995,30.6585,14.6585,22.174116,30.404034,14.951883,18.300001,18.300001,0.0,22.17144,41.760002,458.98
2022-08-01,es,espirito santo,movelar,-20.2976,-40.339,21.149563,32.9085,14.5085,21.167135,33.01907,13.343571,22.4,22.4,0.0,32.335934,61.920002,508.38
2022-09-01,es,espirito santo,movelar,-20.2976,-40.339,21.370375,32.7085,14.1085,21.76034,35.5259,13.644371,54.0,54.0,0.0,28.227306,54.719997,487.84
2022-10-01,es,espirito santo,movelar,-20.2976,-40.339,23.63908,32.6085,16.8085,25.723673,35.926113,17.488277,101.100006,101.100006,0.0,27.0,51.12,638.84
2022-11-01,es,espirito santo,movelar,-20.2976,-40.339,22.32114,31.4585,16.3085,24.160091,35.62152,15.004538,464.5,464.5,0.0,26.987997,51.48,545.63
2022-12-01,es,espirito santo,movelar,-20.2976,-40.339,23.724628,33.8585,18.6585,26.451876,40.158184,20.49219,349.6,349.6,0.0,28.916763,56.16,548.07
2023-01-01,es,espirito santo,movelar,-20.2976,-40.339,24.659039,32.558502,20.2085,27.92861,38.436985,22.100029,239.5,239.5,0.0,24.066206,46.8,630.42
2023-02-01,es,espirito santo,movelar,-20.2976,-40.339,26.426058,35.7585,21.0585,29.400099,40.484272,23.412642,23.8,23.8,0.0,24.567198,50.76,705.15
2023-03-01,es,espirito santo,movelar,-20.2976,-40.339,25.635448,34.9085,20.108501,28.665573,38.181473,22.736103,80.2,80.2,0.0,26.368616,52.199997,701.94
2023-04-01,es,espirito santo,movelar,-20.2976,-40.339,23.909544,35.558502,19.6585,26.417871,38.116825,20.056541,172.59999,172.59999,0.0,25.562534,48.239998,480.15
2023-05-01,es,espirito santo,movelar,-20.2976,-40.339,21.48928,27.8085,16.1585,23.193186,31.808815,15.42762,44.7,44.7,0.0,22.42427,42.48,454.17
2023-06-01,es,espirito santo,movelar,-20.2976,-40.339,21.13482,31.1585,13.558499,22.136173,32.19303,13.667963,26.699999,26.699999,0.0,23.857979,46.079998,445.1
2023-07-01,es,espirito santo,movelar,-20.2976,-40.339,20.549295,32.058502,13.7585,21.329758,33.22851,13.674782,82.2,82.2,0.0,27.219902,52.56,420.83
2023-08-01,es,espirito santo,movelar,-20.2976,-40.339,21.536055,33.7585,14.058499,23.201986,35.479668,14.033831,119.6,119.6,0.0,28.739187,54.0,483.54
2023-09-01,es,espirito santo,movelar,-20.2976,-40.339,22.898987,38.558502,17.008501,24.331348,40.732822,18.04976,30.699999,30.699999,0.0,27.959742,52.199997,544.79
2023-10-01,es,espirito santo,movelar,-20.2976,-40.339,24.270933,34.2085,18.108501,26.471684,38.303757,19.211803,107.29998,107.29998,0.0,29.381382,55.44,573.21
2023-11-01,es,espirito santo,movelar,-20.2976,-40.339,25.682735,39.308502,16.4585,27.659986,42.635384,17.136044,28.800001,28.800001,0.0,28.082308,55.079998,743.09
2023-12-01,es,espirito santo,movelar,-20.2976,-40.339,25.928997,37.0085,19.108501,28.926546,41.735023,21.684534,112.0,112.0,0.0,26.496098,51.12,730.07
2024-01-01,es,espirito santo,movelar,-20.2976,-40.339,25.76764,37.7085,20.258501,29.247238,41.750023,23.034891,287.1,287.1,0.0,28.00837,53.28,640.83
2024-02-01,es,espirito santo,movelar,-20.2976,-40.339,25.543198,36.0085,18.758501,29.660751,40.832733,20.813818,169.4,169.4,0.0,20.674158,39.96,630.09
2024-03-01,es,espirito santo,movelar,-20.2976,-40.339,26.182022,36.058502,20.608501,30.193733,40.716976,22.971388,122.6,122.6,0.0,23.857979,46.8,640.87
2024-04-01,es,espirito santo,movelar,-20.2976,-40.339,24.424404,32.558502,19.1585,27.346891,35.76438,19.128008,66.7,66.7,0.0,25.812277,48.239998,548.71
2024-05-01,es,espirito santo,movelar,-20.2976,-40.339,24.549294,35.5085,18.0585,26.880455,38.176723,16.794468,43.9,43.9,0.0,22.19773,42.839996,511.38
2024-06-01,es,espirito santo,movelar,-20.2976,-40.339,22.841906,33.5085,15.8585005,24.285837,34.02766,16.900005,8.3,8.3,0.0,22.608458,43.92,437.83002
2024-07-01,es,espirito santo,movelar,-20.2976,-40.339,22.317978,33.058502,15.2585,23.371435,32.678085,15.932903,14.999999,14.999999,0.0,26.552288,50.399998,486.88
2024-08-01,es,espirito santo,movelar,-20.2976,-40.339,21.549967,33.7085,14.058499,22.11537,33.734512,12.561554,32.2,32.2,0.0,30.0767,55.8,545.46
2024-09-01,es,espirito santo,movelar,-20.2976,-40.339,23.928846,36.9085,16.9585,24.960876,36.412487,16.969982,19.2,19.2,0.0,31.452133,58.679996,600.29
2024-10-01,es,espirito santo,movelar,-20.2976,-40.339,23.626446,34.4085,16.108501,25.623558,39.463295,16.266033,198.7,198.7,0.0,27.591717,52.199997,583.08997
2024-11-01,es,espirito santo,movelar,-20.2976,-40.339,23.560238,34.8585,16.758501,26.371645,38.830822,18.278124,178.8,178.8,0.0,28.856194,53.639996,594.98
2024-12-01,es,espirito santo,movelar,-20.2976,-40.339,25.232828,34.1085,19.4585,28.823975,41.09325,21.532597,244.3,244.3,0.0,22.90531,48.96,643.62
2025-01-01,es,espirito santo,movelar,-20.2976,-40.339,25.321806,34.808502,19.608501,29.166702,41.65115,22.538343,194.3,194.3,0.0,18.000898,44.28,693.47
2025-02-01,es,espirito santo,movelar,-20.2976,-40.339,26.313559,35.1585,20.7085,29.955887,39.046947,22.452255,49.6,49.6,0.0,19.361507,45.0,715.0
2025-03-01,es,espirito santo,movelar,-20.2976,-40.339,25.215221,34.9585,19.1585,29.020254,39.0074,21.31798,142.20001,142.20001,0.0,17.258425,41.039997,652.56
2025-04-01,es,espirito santo,movelar,-20.2976,-40.339,23.738432,32.558502,17.858501,26.595362,36.348923,19.782803,97.8,97.8,0.0,22.528782,50.039997,500.51
2025-05-01,es,espirito santo,movelar,-20.2976,-40.339,21.675638,31.258501,16.3085,23.860832,33.570526,17.522184,118.40001,118.40001,0.0,19.84005,43.92,444.11002
2025-06-01,es,espirito santo,movelar,-20.2976,-40.339,20.556278,30.9585,13.3585,21.984453,32.181232,12.958282,41.0,41.0,0.0,22.350464,55.44,428.81
2025-07-01,es,espirito santo,movelar,-20.2976,-40.339,19.487265,29.758501,12.7085,20.17347,30.500912,12.508678,29.899998,29.899998,0.0,26.984396,59.399998,460.29
2025-08-01,es,espirito santo,movelar,-20.2976,-40.339,20.29963,30.9085,12.5085,21.167759,31.898533,12.652346,23.5,23.5,0.0,20.924952,46.8,489.08
2025-09-01,es,espirito santo,movelar,-20.2976,-40.339,20.736002,32.6585,12.1585,21.958641,33.572628,11.844997,117.4,117.4,0.0,25.970573,58.679996,514.01
