date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,go,goias,aeroviario,-16.6869,-49.2648,22.81537,31.956501,16.456501,24.996408,35.358227,16.316551,162.8,162.8,0.0,21.046917,45.0,644.91
2022-02-01,go,goias,aeroviario,-16.6869,-49.2648,22.9908,30.7565,17.6065,25.807098,36.252937,19.168045,130.1,130.1,0.0,17.373497,36.719997,592.25
2022-03-01,go,goias,aeroviario,-16.6869,-49.2648,24.120344,31.5565,17.0565,26.437555,35.693474,17.709011,92.8,92.8,0.0,20.969805,43.56,706.22003
2022-04-01,go,goias,aeroviario,-16.6869,-49.2648,24.217472,32.5065,15.2065,25.214497,35.307255,13.667919,10.0,10.0,0.0,23.03156,46.44,642.08997
2022-05-01,go,goias,aeroviario,-16.6869,-49.2648,21.28533,30.956501,6.8065,20.975605,32.93193,4.348795,4.6000004,4.6000004,0.0,21.129885,42.839996,578.49
2022-06-01,go,goias,aeroviario,-16.6869,-49.2648,21.73782,30.8565,13.1565,20.92828,31.179802,11.782751,0.0,0.0,0.0,18.289274,36.719997,537.05
2022-07-01,go,goias,aeroviario,-16.6869,-49.2648,21.997429,31.8065,12.5065,20.19673,30.812801,10.543395,0.0,0.0,0.0,20.63023,41.760002,611.21
2022-08-01,go,goias,aeroviario,-16.6869,-49.2648,23.960197,33.7565,11.1565,21.87375,33.2756,7.8661003,0.0,0.0,0.0,26.6327,47.519997,657.06
2022-09-01,go,goias,aeroviario,-16.6869,-49.2648,25.84011,37.0565,15.6565,25.081038,36.564724,13.152657,24.7,24.7,0.0,25.699057,50.039997,598.15
2022-10-01,go,goias,aeroviario,-16.6869,-49.2648,25.376326,36.0565,17.7565,26.086554,36.07886,16.408745,111.2,111.2,0.0,22.319998,47.519997,651.71
2022-11-01,go,goias,aeroviario,-16.6869,-49.2648,23.57386,32.7065,15.7065,25.060211,36.00413,15.397467,81.9,81.9,0.0,25.045238,49.32,675.74
2022-12-01,go,goias,aeroviario,-16.6869,-49.2648,22.444336,29.206501,17.0065,24.987862,34.745373,18.698364,330.1,330.1,0.0,21.407139,41.760002,569.99
2023-01-01,go,goias,aeroviario,-16.6869,-49.2648,22.444605,28.8065,17.4065,25.055367,34.364582,19.047783,208.70001,208.70001,0.0,20.291357,41.039997,632.7
2023-02-01,go,goias,aeroviario,-16.6869,-49.2648,23.720785,31.7565,17.956501,26.728842,36.151737,19.95507,73.3,73.3,0.0,15.463244,35.64,660.49
2023-03-01,go,goias,aeroviario,-16.6869,-49.2648,22.750854,30.706501,16.456501,25.26774,35.05767,16.087303,158.2,158.2,0.0,16.199999,36.36,601.84
2023-04-01,go,goias,aeroviario,-16.6869,-49.2648,22.42025,29.0565,15.1565,24.714064,33.66358,14.171244,80.9,80.9,0.0,22.545315,42.48,584.33
