date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.074009,30.1605,22.560501,30.494646,36.077328,26.053804,415.6,415.6,0.0,20.523157,40.68,534.7
2022-02-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.469875,30.2105,23.060501,30.783844,36.40768,26.635838,303.30002,303.30002,0.0,24.033876,44.639996,543.8
2022-03-01,ma,maranhao,jaracaty,-2.5307,-44.3068,25.577503,29.9605,22.810501,30.270893,37.846565,26.151325,726.6,726.6,0.0,18.075441,37.44,506.42
2022-04-01,ma,maranhao,jaracaty,-2.5307,-44.3068,25.897028,29.810501,22.6105,30.60877,36.971737,26.386621,484.90002,484.90002,0.0,20.150354,38.88,534.39
2022-05-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.110569,30.9605,22.2105,30.882877,37.333145,25.406034,483.6,483.6,0.0,23.0653,42.839996,543.88
2022-06-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.453278,30.7105,22.4605,31.00088,36.115166,25.399834,148.4,148.4,0.0,19.09358,38.519997,586.65
2022-07-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.731604,31.4605,23.310501,31.216553,36.80328,26.683886,100.100006,100.100006,0.0,20.037485,38.16,609.26
2022-08-01,ma,maranhao,jaracaty,-2.5307,-44.3068,27.08409,31.9605,24.0105,31.15637,36.906322,26.479511,106.2,106.2,0.0,23.584808,43.199997,672.14
2022-09-01,ma,maranhao,jaracaty,-2.5307,-44.3068,27.216057,32.2605,24.9605,30.56706,36.63722,27.64407,93.0,93.0,0.0,27.609911,49.32,689.32
2022-10-01,ma,maranhao,jaracaty,-2.5307,-44.3068,27.507812,31.7605,23.1605,30.73995,36.94862,26.389412,91.0,91.0,0.0,29.59235,52.56,697.92
2022-11-01,ma,maranhao,jaracaty,-2.5307,-44.3068,27.09418,30.6105,23.3605,31.041986,37.118553,26.014076,149.5,149.5,0.0,26.674032,47.519997,646.27
2022-12-01,ma,maranhao,jaracaty,-2.5307,-44.3068,27.216951,30.9605,23.0105,30.809338,35.58022,26.745886,191.7,191.7,0.0,28.079998,50.76,632.41
2023-01-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.170916,30.6605,22.4605,30.148024,34.846188,25.608656,302.3,302.3,0.0,23.664352,42.48,593.32
2023-02-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.097702,30.0105,23.2605,30.329456,36.128986,26.323793,346.5,346.5,0.0,25.43802,46.079998,529.04
2023-03-01,ma,maranhao,jaracaty,-2.5307,-44.3068,25.69921,30.2605,22.6105,30.142195,36.156086,25.792763,524.8,524.8,0.0,23.143827,41.760002,539.25
2023-04-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.195082,30.7605,22.6105,31.12089,36.453503,26.178738,385.2,385.2,0.0,17.917007,34.92,556.69
2023-05-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.94706,31.7605,23.2105,32.024956,37.79112,27.586536,222.0,222.0,0.0,21.273533,43.92,588.72
2023-06-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.699041,31.0105,23.2105,31.551147,37.445465,25.853476,187.7,187.7,0.0,20.140705,38.519997,575.15
2023-07-01,ma,maranhao,jaracaty,-2.5307,-44.3068,27.72199,33.1605,23.8605,31.619234,37.05367,26.616188,37.5,37.5,0.0,23.441502,45.0,640.85
2023-08-01,ma,maranhao,jaracaty,-2.5307,-44.3068,27.752369,32.9605,25.0105,31.319052,37.476902,27.891537,37.7,37.7,0.0,28.71437,53.639996,688.92
2023-09-01,ma,maranhao,jaracaty,-2.5307,-44.3068,28.147097,33.8105,25.4605,31.130657,38.152683,27.650146,21.4,21.4,0.0,28.639803,55.079998,699.42
2023-10-01,ma,maranhao,jaracaty,-2.5307,-44.3068,28.260231,32.7605,25.560501,31.110184,36.449688,28.105953,19.2,19.2,0.0,29.354902,55.079998,718.85
2023-11-01,ma,maranhao,jaracaty,-2.5307,-44.3068,28.582375,33.1105,25.810501,31.582754,37.605217,28.387676,19.4,19.4,0.0,29.598919,55.8,682.65
2023-12-01,ma,maranhao,jaracaty,-2.5307,-44.3068,28.310904,32.6105,24.560501,32.021637,36.705196,28.941998,94.3,94.3,0.0,27.567635,54.0,621.78
2024-01-01,ma,maranhao,jaracaty,-2.5307,-44.3068,27.522934,31.1605,23.2605,31.810444,36.76877,26.644455,185.90001,185.90001,0.0,23.441502,47.519997,600.12
2024-02-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.673573,32.010498,23.1605,31.311928,38.105824,26.889486,403.2,403.2,0.0,25.671307,51.48,490.06
2024-03-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.431534,31.060501,23.560501,31.622107,38.51349,27.543852,609.4,609.4,0.0,18.864824,38.519997,542.14
2024-04-01,ma,maranhao,jaracaty,-2.5307,-44.3068,26.580986,30.9605,23.7105,31.970713,38.45809,28.197666,459.90002,459.90002,0.0,18.584509,37.8,512.67
