date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,mg,minas gerais,belvedere,-19.9239,-43.9386,22.039366,28.677,17.827002,23.91199,32.166573,17.906088,441.4,441.4,0.0,23.441502,44.639996,633.86
2022-02-01,mg,minas gerais,belvedere,-19.9239,-43.9386,21.555944,28.177,17.427,23.823626,33.071762,17.604519,352.9,352.9,0.0,18.014393,35.28,529.29
2022-03-01,mg,minas gerais,belvedere,-19.9239,-43.9386,23.343197,30.327002,15.977,24.099525,32.19222,13.932116,6.8,6.8,0.0,26.758923,48.239998,745.42
2022-04-01,mg,minas gerais,belvedere,-19.9239,-43.9386,22.254917,29.777,13.927,22.819973,32.142467,12.103724,38.3,38.3,0.0,24.48,45.0,591.31
2022-05-01,mg,minas gerais,belvedere,-19.9239,-43.9386,18.613024,28.227001,6.027,17.814861,28.161861,1.6304798,18.5,18.5,0.0,27.086262,48.6,531.84
2022-06-01,mg,minas gerais,belvedere,-19.9239,-43.9386,18.459988,27.627,10.227,17.260868,27.312975,7.709564,0.6,0.6,0.0,22.45315,38.519997,501.17
2022-07-01,mg,minas gerais,belvedere,-19.9239,-43.9386,18.528414,27.477001,12.327,17.06088,27.44978,10.66044,0.5,0.5,0.0,22.881958,43.199997,548.12
2022-08-01,mg,minas gerais,belvedere,-19.9239,-43.9386,19.310871,29.377,8.776999,17.4144,28.794357,5.5763836,0.8,0.8,0.0,31.319998,57.239998,602.96
2022-09-01,mg,minas gerais,belvedere,-19.9239,-43.9386,20.90471,34.677,9.927,19.937674,32.59802,7.8990097,48.000004,48.000004,0.0,23.557316,43.56,584.75
2022-10-01,mg,minas gerais,belvedere,-19.9239,-43.9386,22.340776,30.377,15.127,22.825743,32.77212,13.505051,111.700005,111.700005,0.0,25.959969,46.079998,680.41
2022-11-01,mg,minas gerais,belvedere,-19.9239,-43.9386,20.263042,28.827002,11.477,21.077934,32.988346,9.26029,239.8,239.8,0.0,29.363731,51.12,655.51
2022-12-01,mg,minas gerais,belvedere,-19.9239,-43.9386,21.020348,29.027,15.327,22.459543,32.60512,15.113169,316.0,316.0,0.0,22.553936,45.36,557.05
2023-01-01,mg,minas gerais,belvedere,-19.9239,-43.9386,21.35254,28.277,17.127,23.346874,32.182133,17.292011,395.6,395.6,0.0,25.460934,45.719997,605.08
2023-02-01,mg,minas gerais,belvedere,-19.9239,-43.9386,23.056688,30.627,17.627,25.004831,34.11881,18.083416,68.1,68.1,0.0,22.734219,40.68,681.11
2023-03-01,mg,minas gerais,belvedere,-19.9239,-43.9386,23.427135,30.877,17.127,24.291643,32.472298,16.643122,31.0,31.0,0.0,20.523157,42.12,689.94
2023-04-01,mg,minas gerais,belvedere,-19.9239,-43.9386,21.249708,29.877,14.227,21.958424,31.236305,12.267532,69.9,69.9,0.0,27.105392,55.079998,523.22
