date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,22.631844,30.868,17.618,24.85168,35.01709,19.034098,285.6,285.6,0.0,26.124195,54.719997,612.77
2022-02-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,22.01376,29.668001,16.918001,24.70662,34.07717,17.020256,385.5,385.5,0.0,19.839235,46.079998,508.81
2022-03-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,23.116993,30.868,14.618,24.900343,34.10224,15.070528,43.5,43.5,0.0,22.238562,50.039997,696.44
2022-04-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,20.75043,29.668001,11.518001,22.162123,34.08813,10.35957,65.1,65.1,0.0,25.49908,53.639996,510.32
2022-05-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,17.983524,28.518,8.218,17.63977,29.360958,3.4415884,29.300001,29.300001,0.0,25.772078,56.519997,481.52
2022-06-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,16.92682,27.868,8.818001,16.52506,28.275806,7.4734945,10.5,10.5,0.0,18.057508,39.6,392.4
2022-07-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,17.743336,28.418001,10.168,17.15016,29.807507,8.708185,5.2999997,5.2999997,0.0,23.675303,52.56,477.3
2022-08-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,17.46538,28.818,8.368,16.474972,29.2448,7.507804,11.200001,11.200001,0.0,29.17777,62.279995,492.54
2022-09-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,18.173487,32.918,9.118,17.865635,33.124126,8.113914,100.3,100.3,0.0,23.977188,52.199997,481.47
2022-10-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,21.22929,30.018,13.868,22.624315,34.99179,13.347157,128.3,128.3,0.0,22.691425,50.399998,589.33
2022-11-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,19.503695,29.668001,11.418,20.621424,33.421684,10.704042,217.5,217.5,0.0,30.009838,64.799995,588.39
2022-12-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,21.144545,30.718,13.018001,22.713453,35.33916,13.177082,257.0,257.0,0.0,24.627787,54.719997,555.5
2023-01-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,22.03601,30.068,15.118,24.341599,34.786606,15.101494,306.7,306.7,0.0,21.611998,47.88,619.53
2023-02-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,23.152151,32.118,18.118,25.867643,35.575424,19.42406,202.5,202.5,0.0,19.829433,45.719997,599.68
2023-03-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,22.728819,30.468,16.168,25.195093,33.93534,17.544981,63.800003,63.800003,0.0,17.294992,40.68,654.47
2023-04-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,20.260431,28.368,13.268001,21.568403,32.832214,12.936365,88.9,88.9,0.0,22.450264,47.519997,461.29
2023-05-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,18.056978,26.718,8.568001,18.480783,29.067238,7.4149446,15.200001,15.200001,0.0,19.255793,43.199997,444.25
2023-06-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,17.174042,26.318,9.418,16.771252,26.81479,8.282778,19.6,19.6,0.0,18.837322,41.760002,449.06
2023-07-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,16.96437,28.468,7.518,16.522947,28.073425,6.0096893,12.599999,12.599999,0.0,28.165257,60.479996,414.88
2023-08-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,18.939507,31.718,10.818001,18.923481,32.617306,9.805938,50.9,50.9,0.0,22.805367,49.68,480.78
2023-09-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,21.338556,34.618,13.118,21.60071,37.432545,12.627615,24.099998,24.099998,0.0,31.170673,66.24,571.71
2023-10-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,22.155298,33.067997,15.618,24.004206,37.151775,15.951145,187.2,187.2,0.0,23.0653,48.239998,514.56
2023-11-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,23.36953,36.418,12.768001,25.257143,39.90312,12.29431,108.1,108.1,0.0,24.288662,50.039997,680.25
2023-12-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,23.202074,33.618,16.168,25.551596,36.385426,17.611656,97.6,97.6,0.0,23.863409,50.039997,699.57
2024-01-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,22.98769,32.267998,15.168,25.706083,38.203365,14.82502,225.70001,225.70001,0.0,23.241617,47.519997,616.16
2024-02-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,22.96886,32.318,16.818,25.8169,37.05275,18.33105,241.40001,241.40001,0.0,20.969805,45.0,596.23
2024-03-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,22.893806,32.318,15.868,25.656452,37.177326,17.095612,188.3,188.3,0.0,28.202042,57.6,564.11
2024-04-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,21.533485,29.418001,12.968,23.358412,32.430557,13.117926,14.400001,14.400001,0.0,23.377836,47.16,548.51
2024-05-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,20.665983,30.168001,11.468,21.49855,32.60181,10.603004,10.800001,10.800001,0.0,21.986542,47.519997,506.15
2024-06-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,18.40932,26.918001,11.368,18.268446,27.80027,10.264808,2.0,2.0,0.0,18.775301,41.760002,453.51
2024-07-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,17.841858,27.418001,8.918,17.7197,27.873463,7.8263054,6.0,6.0,0.0,18.888851,41.760002,458.88
2024-08-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,18.04058,30.118,7.868,17.257324,29.890072,5.183117,22.6,22.6,0.0,23.990698,51.48,565.61
2024-09-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,21.590292,32.218,13.368,21.631632,34.162464,11.651527,19.800003,19.800003,0.0,25.223772,50.399998,609.81
2024-10-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,21.054426,33.067997,12.718,22.15875,36.98073,12.494915,114.8,114.8,0.0,25.206427,53.639996,557.75
2024-11-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,21.285917,31.968,14.318001,22.788774,34.301712,14.536205,222.90001,222.90001,0.0,27.059933,55.079998,582.94
2024-12-01,mg,minas gerais,mariano procopio,-21.7633,-43.35,22.496696,32.668,16.918001,24.719479,35.89157,17.25227,205.20001,205.20001,0.0,23.940676,55.079998,633.19
