date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.163496,33.81,19.060001,27.804796,39.626274,20.720894,131.1,131.1,0.0,24.535526,46.8,711.91
2022-02-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.411041,33.260002,17.710001,27.80531,38.809723,15.764063,79.4,79.4,0.0,22.657131,47.16,654.14
2022-03-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,24.424181,31.96,16.810001,26.943956,36.228775,17.057108,149.2,149.2,0.0,27.36947,53.639996,607.51
2022-04-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,24.102222,31.71,14.66,25.178455,35.60534,12.54504,35.199997,35.199997,0.0,23.507751,50.76,581.72003
2022-05-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,19.41148,29.710001,5.36,18.778713,31.664692,3.0508504,40.3,40.3,0.0,29.522196,57.239998,521.68
2022-06-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,19.711597,28.91,7.36,19.415442,29.280167,2.703847,50.900005,50.900005,0.0,21.9718,45.36,454.66
2022-07-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,22.83211,31.01,12.759999,21.13702,30.793842,8.374863,5.3,5.3,0.0,29.784426,59.039997,521.13
2022-08-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,21.285069,33.16,8.16,19.71415,32.883247,3.2118502,116.0,116.0,0.0,30.500309,60.479996,515.86
2022-09-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,22.76993,33.31,11.759999,22.521324,34.828712,8.625442,130.0,130.0,0.0,29.574827,58.679996,505.82
2022-10-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,23.780294,33.010002,14.91,24.869118,36.763275,12.094172,68.6,68.6,0.0,31.303444,62.279995,635.24
2022-11-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,24.200138,34.81,11.61,23.821768,35.95728,7.3783216,33.5,33.5,0.0,26.727423,57.96,758.36
2022-12-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.148844,32.510002,19.460001,27.606968,37.528133,19.254854,128.9,128.9,0.0,26.729847,51.48,718.83
2023-01-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,23.739435,31.26,17.66,26.262875,36.70749,17.504179,203.8,203.8,0.0,23.185787,47.88,637.65
2023-02-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,23.399584,30.460001,17.26,26.098265,36.38184,14.819696,219.8,219.8,0.0,26.493652,59.76,557.23
2023-03-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,23.953615,31.760002,19.460001,26.720951,36.32808,20.907455,162.0,162.0,0.0,21.129885,43.92,617.45
2023-04-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,22.48979,30.76,14.11,24.308472,34.173195,12.15169,156.8,156.8,0.0,25.959969,58.32,539.06
2023-05-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,21.565578,29.61,13.41,21.853786,32.267303,10.739595,73.1,73.1,0.0,21.897945,41.039997,496.48
2023-06-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,18.676945,28.710001,6.86,17.866009,28.106274,4.4806576,72.4,72.4,0.0,21.077686,40.32,466.91
2023-07-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,21.537756,29.960001,7.81,20.498976,30.464973,4.173255,7.7000003,7.7000003,0.0,31.991425,63.72,496.83
2023-08-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,24.188631,33.11,15.71,23.764708,32.542435,13.177931,34.199997,34.199997,0.0,29.09103,58.679996,521.95
2023-09-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.958889,35.36,13.46,26.635519,37.491383,10.956102,81.0,81.0,0.0,30.145567,63.36,545.49
2023-10-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,27.455498,37.260002,18.01,29.16989,39.79079,18.449461,90.4,90.4,0.0,32.417995,66.96,660.44
2023-11-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,27.51632,36.86,13.46,28.84593,39.846466,12.063484,60.4,60.4,0.0,31.035257,68.4,731.36
2023-12-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,27.110403,35.760002,20.01,30.212229,39.420677,22.07297,108.8,108.8,0.0,22.314192,49.68,751.47
2024-01-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.84293,33.41,19.310001,28.85321,38.432327,18.670027,102.8,102.8,0.0,20.056877,43.56,739.67
2024-02-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.594122,33.56,20.560001,28.78534,39.791267,22.80428,123.3,123.3,0.0,24.57511,48.96,650.57
2024-03-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,26.251802,33.91,19.66,29.384575,38.927673,19.8279,121.50001,121.50001,0.0,24.569832,50.399998,638.7
2024-04-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,24.614027,31.96,15.509999,27.152994,36.57051,13.113104,120.2,120.2,0.0,21.897945,45.36,550.08
2024-05-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,22.0266,31.61,9.059999,22.301973,33.184917,5.588648,18.6,18.6,0.0,23.277834,48.6,481.71
2024-06-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,23.079376,29.810001,13.309999,22.051659,30.350597,9.486337,0.2,0.2,0.0,26.368616,54.0,480.88
2024-07-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,21.012487,31.71,10.009999,19.483025,31.238682,7.3128996,7.7,7.7,0.0,27.381308,52.56,487.41
2024-08-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,22.935673,36.36,5.26,20.288198,34.840977,1.8386369,35.300003,35.300003,0.0,28.835976,56.16,535.36
2024-09-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,27.46486,38.21,16.91,26.185787,38.960953,15.130308,28.7,28.7,0.0,27.551172,58.32,590.66
2024-10-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,26.780632,38.260002,18.26,27.97748,39.260967,19.715616,128.6,128.6,0.0,30.674555,69.479996,651.66
2024-11-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.73625,35.510002,15.309999,27.97985,37.560688,12.875353,130.5,130.5,0.0,28.915081,64.439995,660.29
2024-12-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.290108,33.96,18.91,27.798498,36.7407,18.245323,163.5,163.5,0.0,25.212852,56.16,700.44
2025-01-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.949112,34.56,20.060001,29.00367,38.600155,22.065311,212.0,212.0,0.0,19.95485,45.0,730.48
2025-02-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.387455,34.96,20.36,28.14098,39.656296,22.207754,150.3,150.3,0.0,20.497883,46.44,607.23
2025-03-01,ms,mato grosso do sul,coronel antonio,-20.4422,-54.6461,25.217728,33.11,20.16,27.972366,38.44138,20.94932,125.7,125.7,0.0,22.013786,43.92,636.82
