date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,mt,mato grosso,centro,-15.5989,-56.0949,26.480753,33.895,22.145,30.838537,41.480762,24.452555,219.70001,219.70001,0.0,23.087763,42.48,673.55
2022-02-01,mt,mato grosso,centro,-15.5989,-56.0949,26.30363,33.445,22.395,31.053165,41.760674,25.054752,210.5,210.5,0.0,24.344624,44.639996,611.45
2022-03-01,mt,mato grosso,centro,-15.5989,-56.0949,26.005886,32.295,18.545,30.636448,39.496113,18.425701,186.20001,186.20001,0.0,22.415602,43.92,605.21
2022-04-01,mt,mato grosso,centro,-15.5989,-56.0949,26.307081,34.395,16.345,29.659748,39.71495,15.755377,33.199997,33.199997,0.0,17.698677,43.56,609.26
2022-05-01,mt,mato grosso,centro,-15.5989,-56.0949,23.412205,33.695,9.745,24.409037,36.81087,7.859026,1.2,1.2,0.0,25.932495,47.16,579.66
2022-06-01,mt,mato grosso,centro,-15.5989,-56.0949,23.439583,33.845,11.8949995,25.017048,35.655125,10.4073925,40.0,40.0,0.0,23.084955,42.12,480.52
2022-07-01,mt,mato grosso,centro,-15.5989,-56.0949,25.712606,35.195,16.045,25.876942,35.92555,14.866844,0.0,0.0,0.0,24.795612,46.44,578.27
2022-08-01,mt,mato grosso,centro,-15.5989,-56.0949,25.606087,37.895,11.195,25.25547,37.92962,9.037769,17.199999,17.199999,0.0,30.141266,56.16,560.99
2022-09-01,mt,mato grosso,centro,-15.5989,-56.0949,28.262291,39.195,18.845,29.285889,40.14701,19.429499,47.4,47.4,0.0,30.018473,51.12,506.71
2022-10-01,mt,mato grosso,centro,-15.5989,-56.0949,27.430147,35.995,17.494999,31.00214,40.44929,15.471508,113.50001,113.50001,0.0,25.323128,50.399998,600.44
2022-11-01,mt,mato grosso,centro,-15.5989,-56.0949,27.45743,38.595,15.545,29.100992,41.381485,12.809908,56.100002,56.100002,0.0,26.903828,49.68,717.14
2022-12-01,mt,mato grosso,centro,-15.5989,-56.0949,26.403131,34.745,22.045,30.54381,39.90839,25.035885,241.3,241.3,0.0,20.721119,47.88,605.55
2023-01-01,mt,mato grosso,centro,-15.5989,-56.0949,25.881289,31.795,20.845,29.951942,38.927002,22.636053,229.40001,229.40001,0.0,25.582806,45.719997,648.0
2023-02-01,mt,mato grosso,centro,-15.5989,-56.0949,26.225952,32.345,22.395,31.00793,40.91102,23.542585,187.5,187.5,0.0,17.462784,37.079998,567.11
2023-03-01,mt,mato grosso,centro,-15.5989,-56.0949,25.991304,33.295,21.945,30.560678,40.41336,25.389074,325.7,325.7,0.0,25.922499,48.6,603.28
2023-04-01,mt,mato grosso,centro,-15.5989,-56.0949,25.585693,32.195,16.595,30.246225,38.653618,17.35701,156.1,156.1,0.0,17.643673,38.16,546.92
2023-05-01,mt,mato grosso,centro,-15.5989,-56.0949,25.203602,33.145,16.695,28.01821,37.676895,18.151247,9.7,9.7,0.0,20.150354,36.36,535.79
2023-06-01,mt,mato grosso,centro,-15.5989,-56.0949,22.79757,33.045,10.6449995,23.726786,36.21773,7.334263,26.399998,26.399998,0.0,20.345573,37.079998,493.88
2023-07-01,mt,mato grosso,centro,-15.5989,-56.0949,25.516033,35.745,14.594999,25.774254,36.55962,13.362343,0.8,0.8,0.0,26.661882,48.239998,569.12
2023-08-01,mt,mato grosso,centro,-15.5989,-56.0949,29.343655,39.795,19.545,29.618183,39.476097,19.489494,6.7999997,6.7999997,0.0,26.564486,56.16,564.44
2023-09-01,mt,mato grosso,centro,-15.5989,-56.0949,30.583403,39.945,18.395,32.330654,42.20726,19.07802,65.6,65.6,0.0,27.475807,51.839996,510.73
2023-10-01,mt,mato grosso,centro,-15.5989,-56.0949,31.738144,41.095,24.645,34.466755,44.06276,26.41561,40.899998,40.899998,0.0,32.110706,55.079998,660.47
2023-11-01,mt,mato grosso,centro,-15.5989,-56.0949,31.194027,41.295,22.795,34.18905,43.657192,23.754179,90.1,90.1,0.0,27.567635,51.12,705.87
2023-12-01,mt,mato grosso,centro,-15.5989,-56.0949,29.800913,39.345,23.744999,33.885773,43.19262,27.073416,89.8,89.8,0.0,21.120682,43.199997,721.55
