date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pa,para,coqueiros,-5.3639,-49.1103,25.427181,30.913,21.913,30.052105,37.64689,26.07778,177.2,177.2,0.0,12.738099,30.239998,530.18
2022-02-01,pa,para,coqueiros,-5.3639,-49.1103,25.783016,31.113,22.313,30.648607,38.542416,25.707598,201.8,201.8,0.0,16.520823,33.839996,535.9
2022-03-01,pa,para,coqueiros,-5.3639,-49.1103,25.689344,30.613,22.463001,30.581367,38.094795,26.438013,329.1,329.1,0.0,13.397612,28.8,549.02
2022-04-01,pa,para,coqueiros,-5.3639,-49.1103,25.999666,30.763,22.513,30.910719,37.46749,26.37705,176.9,176.9,0.0,16.279802,33.12,567.89
2022-05-01,pa,para,coqueiros,-5.3639,-49.1103,26.179668,31.463001,20.463001,30.645071,37.78149,23.308125,48.0,48.0,0.0,20.858265,39.96,590.23
2022-06-01,pa,para,coqueiros,-5.3639,-49.1103,25.875431,31.763,18.663,29.976482,37.052017,19.38509,66.7,66.7,0.0,18.64369,36.0,587.42
2022-07-01,pa,para,coqueiros,-5.3639,-49.1103,27.025835,33.163002,20.663,29.915493,37.01228,22.261929,4.7,4.7,0.0,22.553936,44.28,649.91
2022-08-01,pa,para,coqueiros,-5.3639,-49.1103,27.211319,34.213,19.963001,30.18443,38.043953,19.550161,2.9,2.9,0.0,18.584509,39.239998,694.97
2022-09-01,pa,para,coqueiros,-5.3639,-49.1103,28.32432,34.613,22.213001,31.620209,39.76488,23.948214,8.9,8.9,0.0,18.359999,38.88,670.54
2022-10-01,pa,para,coqueiros,-5.3639,-49.1103,28.325905,34.613,23.363,32.476467,39.858547,26.810507,53.700005,53.700005,0.0,15.7908325,36.36,648.58997
2022-11-01,pa,para,coqueiros,-5.3639,-49.1103,26.167933,32.663002,21.713001,30.717424,39.157383,25.593962,189.0,189.0,0.0,16.854767,35.64,515.72
2022-12-01,pa,para,coqueiros,-5.3639,-49.1103,25.623888,31.413,22.063,30.336355,37.322308,25.298397,244.0,244.0,0.0,17.193533,36.36,558.62
2023-01-01,pa,para,coqueiros,-5.3639,-49.1103,25.419184,30.213001,22.013,30.09654,37.35099,25.470163,195.40001,195.40001,0.0,14.759999,32.760002,590.34
2023-02-01,pa,para,coqueiros,-5.3639,-49.1103,25.706898,31.863,22.113,30.471998,39.61876,25.568422,263.5,263.5,0.0,19.559633,46.079998,535.96
