date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,24.562078,30.206501,19.8065,28.892157,37.26962,23.028101,225.79999,225.79999,0.0,13.684735,32.399998,522.08
2022-02-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,24.949282,30.8065,20.5065,29.484083,37.10107,23.944551,181.6,181.6,0.0,14.764389,36.719997,526.74
2022-03-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,24.872494,30.206501,21.0565,29.535452,36.48546,24.706253,219.90001,219.90001,0.0,15.1884165,30.239998,547.1
2022-04-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.142195,30.456501,20.5565,29.687922,36.350143,24.193586,175.90001,175.90001,0.0,16.1198,33.12,568.04
2022-05-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.533716,31.3065,18.8065,29.425598,36.870647,20.561085,20.699999,20.699999,0.0,20.65848,44.639996,603.9
2022-06-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.07525,31.7565,17.206501,28.507925,36.075626,17.7018,50.8,50.8,0.0,17.87718,36.0,586.67
2022-07-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.451796,33.5565,18.956501,28.273684,37.40032,19.813904,1.7,1.7,0.0,19.839235,41.399998,643.18
2022-08-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,27.36033,35.0065,19.706501,29.357344,37.314377,19.923994,12.4,12.4,0.0,18.079027,38.88,679.96
2022-09-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,28.18407,35.6565,19.956501,30.651106,39.077473,20.464212,3.3,3.3,0.0,21.485697,45.719997,661.08
2022-10-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,27.742926,35.8065,21.706501,31.439466,39.29921,25.311077,47.4,47.4,0.0,20.991426,42.839996,625.51
2022-11-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.342958,31.456501,20.5565,29.636156,37.62219,23.95838,152.1,152.1,0.0,18.228943,39.96,523.95
2022-12-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,24.685263,30.8565,20.456501,29.076103,37.220444,24.07926,175.70001,175.70001,0.0,15.124284,30.599998,543.94
2023-01-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,24.584255,29.8065,20.1565,28.970491,37.267708,23.467283,167.8,167.8,0.0,14.205182,30.960001,577.69
2023-02-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,24.967438,31.3065,20.7565,29.416265,37.68863,23.79339,181.90001,181.90001,0.0,17.727943,37.44,533.24
2023-03-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,24.551863,30.706501,19.6065,29.003563,37.841564,22.804338,322.7,322.7,0.0,14.386494,30.960001,534.26
2023-04-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.104486,30.6565,20.456501,29.696321,38.181374,23.812206,143.8,143.8,0.0,12.72283,30.239998,581.49
2023-05-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.646957,31.1065,21.1065,30.244892,36.834408,24.574047,102.5,102.5,0.0,18.057508,37.079998,574.18
2023-06-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.235806,32.9065,19.0065,29.39438,36.251472,20.639576,4.7000003,4.7000003,0.0,18.11841,36.36,614.42
2023-07-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,27.02216,34.8065,17.6065,29.065136,37.37953,17.77805,1.3,1.3,0.0,19.855558,41.039997,664.4
2023-08-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,28.028679,35.4565,20.0565,30.663439,38.551003,20.284754,2.7,2.7,0.0,16.516901,34.56,677.78
2023-09-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,27.734001,34.8565,20.5565,31.331945,39.59281,23.115414,10.0,10.0,0.0,18.782204,43.199997,645.52997
2023-10-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,27.38708,33.9565,21.706501,31.951302,39.244656,24.872023,6.6,6.6,0.0,15.463244,32.399998,665.24
2023-11-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.720736,34.0065,20.9065,31.359978,38.83734,24.499357,65.5,65.5,0.0,17.771753,36.36,610.42
2023-12-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.780155,32.9065,21.7565,31.656359,39.03188,25.599073,92.3,92.3,0.0,15.827721,34.92,622.26
2024-01-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.875183,31.4065,20.9065,30.80396,38.246582,24.692816,164.9,164.9,0.0,15.192682,32.399998,589.27
2024-02-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.578484,31.3065,20.8065,30.390863,38.195694,24.17366,192.0,192.0,0.0,16.904673,33.12,532.3
2024-03-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.942656,32.0065,20.706501,31.160294,38.775513,24.23109,177.0,177.0,0.0,14.8257065,28.8,582.24
2024-04-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.949,31.4065,21.9065,31.190983,37.842514,26.224451,174.3,174.3,0.0,13.684735,28.44,566.22003
2024-05-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.895815,32.7065,21.2565,31.22762,37.981697,24.753796,18.3,18.3,0.0,16.610792,33.839996,641.73
2024-06-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.959694,33.3065,19.8065,29.472998,36.89003,21.08128,1.9000001,1.9000001,0.0,21.261345,41.399998,605.82
2024-07-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,27.340101,34.8565,18.956501,28.896042,37.820393,18.918682,0.70000005,0.70000005,0.0,19.878391,40.68,670.42
2024-08-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,27.863289,35.4065,19.5565,29.638056,39.06358,19.726381,9.3,9.3,0.0,19.559633,41.399998,693.61
2024-09-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,29.523375,37.1065,20.706501,31.617002,41.747036,21.30162,4.4,4.4,0.0,20.780453,41.760002,664.2
2024-10-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,28.664768,36.5565,22.4065,32.417255,40.536743,26.087334,35.399998,35.399998,0.0,18.504139,50.399998,637.46
2024-11-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.752054,34.8065,21.706501,31.654055,39.41892,24.86566,98.6,98.6,0.0,19.553833,37.079998,589.47003
2024-12-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.35771,31.7565,20.8065,30.417076,38.101974,24.812643,191.8,191.8,0.0,16.055353,29.16,565.79
2025-01-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,24.755291,30.8065,20.8065,29.579914,38.028805,24.412779,201.1,201.1,0.0,14.628807,31.319998,561.8
2025-02-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,24.979044,31.5565,21.0065,29.987555,38.636288,25.176748,308.80002,308.80002,0.0,13.627795,30.599998,517.47
2025-03-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.146553,31.5565,21.5065,30.128334,38.60859,25.293804,300.6,300.6,0.0,13.976394,34.56,582.05
2025-04-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.774694,32.0565,21.0565,30.966858,39.180367,25.194021,122.5,122.5,0.0,11.989946,29.519999,626.4
2025-05-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.456232,31.7565,19.0565,29.954138,37.159496,22.400373,46.5,46.5,0.0,18.57143,40.32,621.73
2025-06-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.279348,32.4565,19.1065,29.109442,37.19421,21.841242,27.7,27.7,0.0,17.762634,42.12,597.11
2025-07-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,25.647495,34.5065,16.956501,27.983347,36.89101,18.961168,11.900001,11.900001,0.0,18.287504,40.32,658.02
2025-08-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.271486,35.0565,18.4065,29.552498,38.66734,20.608671,17.6,17.6,0.0,19.134262,43.92,664.97003
2025-09-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.605528,34.9065,19.8065,30.408092,39.620113,22.706944,20.7,20.7,0.0,16.575644,45.0,634.14
2025-10-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.437279,34.3065,20.5065,30.574635,39.661655,23.781755,56.600002,56.600002,0.0,20.285769,52.199997,642.75
2025-11-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,26.144348,34.1065,20.9065,30.850536,39.278576,24.803528,125.6,125.6,0.0,18.59845,41.399998,584.99
2025-12-01,pa,para,nucleo res e servicos carajas,-6.0681,-49.8689,24.675255,30.706501,22.0065,29.670973,37.08745,25.269577,12.199999,12.199999,0.0,14.264361,32.399998,16.08
