date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pa,para,reduto,-1.4558,-48.4902,25.317257,31.585,22.484999,30.044086,37.94112,26.373886,419.6,419.6,0.0,17.057314,38.16,521.41003
2022-02-01,pa,para,reduto,-1.4558,-48.4902,25.805906,32.235,22.585,30.701323,37.749546,26.468016,231.8,231.8,0.0,21.313093,43.92,514.77
2022-03-01,pa,para,reduto,-1.4558,-48.4902,25.307177,30.885,22.785,30.131937,37.612423,27.12537,528.2,528.2,0.0,15.7908325,35.28,448.82
2022-04-01,pa,para,reduto,-1.4558,-48.4902,25.27236,31.135,23.035,30.130932,37.99247,27.278797,454.7,454.7,0.0,15.408671,34.92,462.12
2022-05-01,pa,para,reduto,-1.4558,-48.4902,25.489233,31.734999,22.484999,30.378918,36.666046,26.182096,438.5,438.5,0.0,17.298738,37.079998,513.65
2022-06-01,pa,para,reduto,-1.4558,-48.4902,25.91729,31.435,22.385,30.662199,37.422424,26.238516,155.5,155.5,0.0,19.914217,39.239998,586.58
2022-07-01,pa,para,reduto,-1.4558,-48.4902,26.260672,32.585003,22.484999,30.989916,39.16232,26.179834,140.0,140.0,0.0,24.387177,44.639996,616.89
2022-08-01,pa,para,reduto,-1.4558,-48.4902,26.995012,33.685,22.734999,31.530807,40.767536,26.71537,43.3,43.3,0.0,18.35647,41.039997,681.29
2022-09-01,pa,para,reduto,-1.4558,-48.4902,27.21889,33.535,22.935,31.55862,39.69365,25.881441,33.7,33.7,0.0,22.039528,42.839996,666.11
2022-10-01,pa,para,reduto,-1.4558,-48.4902,27.243668,34.335003,22.484999,31.618412,39.87241,26.512844,81.7,81.7,0.0,22.180206,50.76,650.21
2022-11-01,pa,para,reduto,-1.4558,-48.4902,26.71118,32.635002,21.785,31.39796,38.517338,25.367981,133.5,133.5,0.0,17.418196,34.92,591.06
2022-12-01,pa,para,reduto,-1.4558,-48.4902,26.120348,32.035,22.785,30.894493,37.476112,26.806639,215.5,215.5,0.0,19.878391,37.8,574.24
2023-01-01,pa,para,reduto,-1.4558,-48.4902,25.431908,32.435,22.435,29.985657,37.884945,26.009256,355.6,355.6,0.0,17.873556,37.8,563.87
2023-02-01,pa,para,reduto,-1.4558,-48.4902,25.236784,31.535,22.585,29.930418,38.03119,26.10477,424.9,424.9,0.0,17.654688,37.8,449.49
2023-03-01,pa,para,reduto,-1.4558,-48.4902,25.166449,31.385,22.535,29.819803,37.875523,26.242052,570.80005,570.80005,0.0,17.283749,39.6,482.86
2023-04-01,pa,para,reduto,-1.4558,-48.4902,25.772776,32.035,22.885,30.814308,38.146114,26.28566,386.40002,386.40002,0.0,18.888851,42.839996,529.93
2023-05-01,pa,para,reduto,-1.4558,-48.4902,26.349112,32.085003,23.085,31.571424,38.673103,27.462666,282.30002,282.30002,0.0,19.513195,43.199997,561.84
2023-06-01,pa,para,reduto,-1.4558,-48.4902,26.552568,32.185,22.935,31.532255,38.026726,27.13324,168.59999,168.59999,0.0,19.483284,36.719997,603.76
2023-07-01,pa,para,reduto,-1.4558,-48.4902,26.797163,33.385002,21.635,31.26211,38.93744,24.572693,65.7,65.7,0.0,19.469976,46.8,638.23
2023-08-01,pa,para,reduto,-1.4558,-48.4902,27.396828,34.335003,21.935,31.748375,39.563572,25.316282,35.7,35.7,0.0,19.06301,39.96,687.19
2023-09-01,pa,para,reduto,-1.4558,-48.4902,27.65722,35.785,22.085,31.740786,40.776596,25.375479,34.4,34.4,0.0,20.316889,46.8,662.82
2023-10-01,pa,para,reduto,-1.4558,-48.4902,27.967525,35.585003,22.635,32.070156,40.895626,26.360409,96.4,96.4,0.0,21.370783,49.68,682.86
2023-11-01,pa,para,reduto,-1.4558,-48.4902,27.726528,34.935,23.085,32.05991,40.06048,26.974806,63.300003,63.300003,0.0,19.483284,41.760002,605.96
2023-12-01,pa,para,reduto,-1.4558,-48.4902,27.063425,33.485,22.885,31.91757,38.904884,26.726173,172.7,172.7,0.0,17.917007,46.079998,573.59
2024-01-01,pa,para,reduto,-1.4558,-48.4902,26.32203,32.535,22.335,31.325634,39.569927,26.505724,365.30002,365.30002,0.0,18.161278,39.96,574.11
2024-02-01,pa,para,reduto,-1.4558,-48.4902,26.15267,32.185,22.135,31.074457,39.26645,26.006987,242.4,242.4,0.0,18.0,38.519997,512.13
2024-03-01,pa,para,reduto,-1.4558,-48.4902,25.956974,32.135002,23.285,31.205359,39.151604,27.109606,454.40002,454.40002,0.0,15.941944,34.92,489.38998
2024-04-01,pa,para,reduto,-1.4558,-48.4902,26.068958,32.085003,22.635,31.47897,39.588615,26.917807,420.69998,420.69998,0.0,14.24163,33.839996,499.53
2024-05-01,pa,para,reduto,-1.4558,-48.4902,26.53399,32.285,22.835,32.000046,39.353844,26.849808,291.2,291.2,0.0,15.273505,39.6,587.65
2024-06-01,pa,para,reduto,-1.4558,-48.4902,26.430693,32.035,22.335,31.339,38.890034,25.901846,172.6,172.6,0.0,20.532627,42.839996,602.81
