date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pa,para,santarenzinho,-2.4431,-54.7089,26.076002,30.709,22.659,30.575855,36.893887,26.357002,416.6,416.6,0.0,20.966715,50.76,554.96
2022-02-01,pa,para,santarenzinho,-2.4431,-54.7089,26.073881,30.259,22.759,30.620852,35.75003,26.205553,457.60004,457.60004,0.0,20.60823,45.0,503.25
2022-03-01,pa,para,santarenzinho,-2.4431,-54.7089,25.758463,30.609001,22.709,30.494421,36.527855,26.299105,569.7,569.7,0.0,19.211996,38.88,506.27
2022-04-01,pa,para,santarenzinho,-2.4431,-54.7089,25.97886,30.759,22.909,30.69303,36.340206,26.132566,521.10004,521.10004,0.0,18.733839,44.639996,524.02
2022-05-01,pa,para,santarenzinho,-2.4431,-54.7089,26.181313,30.159,22.159,30.76853,35.439884,26.325556,320.4,320.4,0.0,19.469976,44.28,540.12
2022-06-01,pa,para,santarenzinho,-2.4431,-54.7089,25.881222,30.109001,22.109001,30.518593,35.275967,25.133617,256.30002,256.30002,0.0,19.443333,45.36,537.29
2022-07-01,pa,para,santarenzinho,-2.4431,-54.7089,27.01068,30.709,22.759,31.683775,36.151047,25.331957,116.8,116.8,0.0,26.111792,56.16,593.5
2022-08-01,pa,para,santarenzinho,-2.4431,-54.7089,27.83998,31.859001,22.609001,32.49791,38.13839,27.040518,75.3,75.3,0.0,20.265795,46.079998,688.2
2022-09-01,pa,para,santarenzinho,-2.4431,-54.7089,28.678097,32.959,24.759,33.142117,38.397144,26.865583,9.7,9.7,0.0,21.758419,50.399998,712.72
2022-10-01,pa,para,santarenzinho,-2.4431,-54.7089,28.12721,32.759,23.009,32.938683,38.547966,26.88988,90.3,90.3,0.0,23.051247,49.32,667.05
2022-11-01,pa,para,santarenzinho,-2.4431,-54.7089,27.212124,31.559,22.759,31.89144,37.145107,27.090431,194.9,194.9,0.0,22.086521,47.519997,579.29
2022-12-01,pa,para,santarenzinho,-2.4431,-54.7089,26.589108,31.309,22.409,31.149332,36.54278,24.325191,333.4,333.4,0.0,26.576681,54.0,577.7
2023-01-01,pa,para,santarenzinho,-2.4431,-54.7089,25.619884,30.309,22.259,30.019865,36.56394,25.79002,483.7,483.7,0.0,20.65848,42.48,553.34
2023-02-01,pa,para,santarenzinho,-2.4431,-54.7089,26.032438,30.359001,22.209,30.477793,35.668198,25.974123,488.0,488.0,0.0,18.057508,42.839996,527.44
2023-03-01,pa,para,santarenzinho,-2.4431,-54.7089,26.071163,30.559,22.459,30.538742,36.543697,26.275599,376.40002,376.40002,0.0,22.751316,45.36,581.38
2023-04-01,pa,para,santarenzinho,-2.4431,-54.7089,26.496916,30.859001,22.909,31.23141,36.90542,26.522146,289.80002,289.80002,0.0,17.786331,39.239998,564.81
2023-05-01,pa,para,santarenzinho,-2.4431,-54.7089,26.736217,31.009,23.009,31.669662,36.936333,26.63908,315.1,315.1,0.0,20.345573,48.96,538.68
2023-06-01,pa,para,santarenzinho,-2.4431,-54.7089,27.079763,31.009,23.109001,31.963724,36.709232,26.272974,122.0,122.0,0.0,21.316135,41.399998,578.06
2023-07-01,pa,para,santarenzinho,-2.4431,-54.7089,27.576271,31.509,23.259,32.334866,37.20649,26.458279,97.799995,97.799995,0.0,24.863468,53.28,626.14
2023-08-01,pa,para,santarenzinho,-2.4431,-54.7089,28.84408,32.559002,23.659,33.549156,38.586338,27.733582,28.0,28.0,0.0,25.277023,54.719997,705.6
2023-09-01,pa,para,santarenzinho,-2.4431,-54.7089,29.271152,33.159,24.409,33.701523,38.83842,29.446358,26.400002,26.400002,0.0,21.602999,47.519997,710.15
2023-10-01,pa,para,santarenzinho,-2.4431,-54.7089,29.772509,33.309002,23.709,34.180523,38.778114,26.217518,18.6,18.6,0.0,24.122683,51.48,736.46
2023-11-01,pa,para,santarenzinho,-2.4431,-54.7089,29.25893,33.509,23.359001,33.47293,38.087677,27.595356,99.90001,99.90001,0.0,24.627787,53.28,651.67
2023-12-01,pa,para,santarenzinho,-2.4431,-54.7089,28.426538,32.509,23.909,33.141262,38.05458,28.036594,145.1,145.1,0.0,23.97989,50.399998,632.65
2024-01-01,pa,para,santarenzinho,-2.4431,-54.7089,27.388433,31.109001,23.059,32.08616,36.954212,26.75009,457.2,457.2,0.0,22.206486,47.88,618.69
2024-02-01,pa,para,santarenzinho,-2.4431,-54.7089,27.459574,31.659,23.609001,32.057064,37.491955,27.730839,334.3,334.3,0.0,23.749088,51.839996,617.41
2024-03-01,pa,para,santarenzinho,-2.4431,-54.7089,27.155973,31.609001,23.759,32.105072,37.552402,27.765873,368.0,368.0,0.0,22.027763,48.239998,593.78
2024-04-01,pa,para,santarenzinho,-2.4431,-54.7089,26.85497,30.809,23.709,32.160652,37.51015,28.053337,463.00003,463.00003,0.0,19.296133,39.6,529.39
2024-05-01,pa,para,santarenzinho,-2.4431,-54.7089,27.232119,31.059,23.559,32.554897,38.464092,27.645391,346.6,346.6,0.0,19.770523,43.199997,569.62
2024-06-01,pa,para,santarenzinho,-2.4431,-54.7089,27.583998,30.609001,23.859001,32.599445,36.934784,27.303791,131.0,131.0,0.0,22.45315,47.88,579.76
2024-07-01,pa,para,santarenzinho,-2.4431,-54.7089,28.279697,32.359,24.159,32.968773,37.429688,27.856537,55.5,55.5,0.0,20.06334,47.16,665.86
2024-08-01,pa,para,santarenzinho,-2.4431,-54.7089,28.577211,33.159,23.959,33.245632,39.08203,27.125963,48.0,48.0,0.0,21.273533,48.239998,703.42
2024-09-01,pa,para,santarenzinho,-2.4431,-54.7089,29.716084,33.359,25.259,33.989487,39.11683,28.34861,3.9,3.9,0.0,24.442911,54.0,721.39
2024-10-01,pa,para,santarenzinho,-2.4431,-54.7089,29.390116,33.609,23.059,33.93231,39.627594,26.740768,74.6,74.6,0.0,25.453934,54.36,725.14
2024-11-01,pa,para,santarenzinho,-2.4431,-54.7089,29.21657,33.609,23.709,33.481018,39.096928,27.237738,110.99999,110.99999,0.0,21.815674,51.12,679.2
2024-12-01,pa,para,santarenzinho,-2.4431,-54.7089,28.014578,32.959,23.759,32.525448,37.854786,27.140444,278.2,278.2,0.0,22.61419,46.44,639.5
2025-01-01,pa,para,santarenzinho,-2.4431,-54.7089,26.924658,31.509,23.109001,31.456398,36.75143,26.604483,424.30002,424.30002,0.0,19.803272,41.760002,613.0
2025-02-01,pa,para,santarenzinho,-2.4431,-54.7089,26.587421,30.459,23.709,31.100307,37.53505,26.528765,504.30002,504.30002,0.0,20.256996,43.92,537.98
2025-03-01,pa,para,santarenzinho,-2.4431,-54.7089,26.579294,30.609001,23.709,31.114326,37.19768,26.351585,544.0,544.0,0.0,20.228188,45.719997,601.05
2025-04-01,pa,para,santarenzinho,-2.4431,-54.7089,27.124971,31.059,23.459,31.885637,37.167732,27.310001,311.2,311.2,0.0,19.406637,42.48,606.14
2025-05-01,pa,para,santarenzinho,-2.4431,-54.7089,27.160076,31.259,23.509,31.858292,37.283295,26.625832,223.0,223.0,0.0,20.316889,47.16,590.83
2025-06-01,pa,para,santarenzinho,-2.4431,-54.7089,26.69379,30.059,22.809,31.041437,35.40967,25.379536,249.6,249.6,0.0,21.240763,50.039997,562.63
2025-07-01,pa,para,santarenzinho,-2.4431,-54.7089,27.262426,31.509,23.159,31.94741,37.20969,25.153988,145.6,145.6,0.0,26.815771,50.76,626.0
2025-08-01,pa,para,santarenzinho,-2.4431,-54.7089,27.71189,31.409,22.909,32.22087,37.00075,25.849594,135.09999,135.09999,0.0,30.77105,58.679996,667.73
2025-09-01,pa,para,santarenzinho,-2.4431,-54.7089,28.813026,32.709,24.709,33.15882,38.584644,27.65299,30.9,30.9,0.0,25.614449,62.279995,712.25
2025-10-01,pa,para,santarenzinho,-2.4431,-54.7089,28.545424,32.809002,23.159,32.725067,38.426987,26.544163,136.40001,136.40001,0.0,23.437353,56.88,704.18
2025-11-01,pa,para,santarenzinho,-2.4431,-54.7089,28.623028,32.959,23.959,32.80575,38.652836,27.147741,180.40001,180.40001,0.0,26.194176,57.96,639.51
2025-12-01,pa,para,santarenzinho,-2.4431,-54.7089,26.738161,29.509,24.459,32.066532,35.30097,29.464813,3.0,3.0,0.0,10.837435,24.48,15.85
