date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pb,paraiba,tambia,-7.1186,-34.8467,26.600075,30.4115,22.261501,30.038391,34.875584,25.412554,153.8,153.8,0.0,23.507751,45.36,726.36
2022-02-01,pb,paraiba,tambia,-7.1186,-34.8467,27.251604,30.261501,23.4615,30.60399,34.961704,27.05994,36.9,36.9,0.0,23.023117,46.44,713.56
2022-03-01,pb,paraiba,tambia,-7.1186,-34.8467,26.392683,30.261501,23.0615,30.141396,35.916702,26.550035,177.8,177.8,0.0,27.333935,51.48,702.89
2022-04-01,pb,paraiba,tambia,-7.1186,-34.8467,26.32893,29.7115,22.8115,29.976835,35.188786,26.327309,90.700005,90.700005,0.0,25.537172,49.68,653.64
2022-05-01,pb,paraiba,tambia,-7.1186,-34.8467,25.484282,29.261501,21.3115,28.74747,35.382423,23.442936,293.1,293.1,0.0,28.36471,51.12,516.7
2022-06-01,pb,paraiba,tambia,-7.1186,-34.8467,24.498653,27.8115,21.2115,27.273289,32.188942,22.503302,256.5,256.5,0.0,30.472675,55.44,501.57
2022-07-01,pb,paraiba,tambia,-7.1186,-34.8467,24.328772,27.6615,20.7115,25.968527,30.986626,22.031183,239.90001,239.90001,0.0,31.311722,58.32,510.96
2022-08-01,pb,paraiba,tambia,-7.1186,-34.8467,24.312641,27.9115,20.5615,25.593836,30.890049,21.574747,89.8,89.8,0.0,35.413826,63.72,632.92
2022-09-01,pb,paraiba,tambia,-7.1186,-34.8467,24.710667,28.4115,20.8115,26.358921,32.302563,21.071861,75.5,75.5,0.0,30.282827,55.8,665.56
2022-10-01,pb,paraiba,tambia,-7.1186,-34.8467,25.804644,29.261501,21.8115,27.7489,33.161804,24.250214,38.9,38.9,0.0,31.557035,58.679996,736.17
