date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pe,pernambuco,casa caiada,-7.9939,-34.8361,26.518167,30.4515,22.1015,30.465471,35.584946,25.282278,190.0,190.0,0.0,19.914215,41.760002,703.58
2022-02-01,pe,pernambuco,casa caiada,-7.9939,-34.8361,27.237438,30.3515,23.5015,31.032751,35.46349,27.383558,42.6,42.6,0.0,19.486609,40.32,708.96
2022-03-01,pe,pernambuco,casa caiada,-7.9939,-34.8361,26.36212,30.1015,22.9515,30.562878,36.276054,27.064018,213.3,213.3,0.0,22.565422,43.92,679.47
2022-04-01,pe,pernambuco,casa caiada,-7.9939,-34.8361,26.43039,30.3515,23.1515,30.406965,36.12193,26.460556,104.00001,104.00001,0.0,21.313093,42.12,637.15
2022-05-01,pe,pernambuco,casa caiada,-7.9939,-34.8361,25.547604,29.7015,20.5015,29.066298,34.983643,21.1326,429.40002,429.40002,0.0,26.282465,50.76,478.47
2022-06-01,pe,pernambuco,casa caiada,-7.9939,-34.8361,24.519487,28.8015,21.3515,27.516352,32.811546,22.86951,271.9,271.9,0.0,29.5551,56.16,479.35
2022-07-01,pe,pernambuco,casa caiada,-7.9939,-34.8361,24.446257,27.8015,20.7515,26.440434,31.919357,22.382742,215.3,215.3,0.0,28.241077,53.639996,496.93
2022-08-01,pe,pernambuco,casa caiada,-7.9939,-34.8361,24.285908,28.1015,20.4515,26.020512,31.432045,21.706516,172.0,172.0,0.0,31.259945,58.679996,594.13
2022-09-01,pe,pernambuco,casa caiada,-7.9939,-34.8361,24.826292,28.6015,21.1515,26.87831,33.04264,22.343939,68.7,68.7,0.0,27.276978,51.48,634.5
2022-10-01,pe,pernambuco,casa caiada,-7.9939,-34.8361,25.7681,29.0515,21.9015,28.276224,33.458195,24.844587,65.4,65.4,0.0,26.807312,51.839996,708.82
