date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pe,pernambuco,redencao,-8.06,-34.88,26.387575,30.186499,22.1365,30.331108,35.166843,25.145191,161.09999,161.09999,0.0,21.67487,40.68,704.15
2022-02-01,pe,pernambuco,redencao,-8.06,-34.88,27.141558,30.4865,23.286499,30.944748,35.27485,26.82812,41.6,41.6,0.0,19.95972,38.88,707.9
2022-03-01,pe,pernambuco,redencao,-8.06,-34.88,26.248058,30.0865,22.5865,30.421268,35.997704,26.334558,192.5,192.5,0.0,23.277834,42.12,672.78
2022-04-01,pe,pernambuco,redencao,-8.06,-34.88,26.271847,30.436499,22.936499,30.251347,35.870186,26.21643,119.4,119.4,0.0,22.104116,40.32,637.41
2022-05-01,pe,pernambuco,redencao,-8.06,-34.88,25.43791,29.8365,20.536499,28.941196,34.655994,20.847338,437.39996,437.39996,0.0,27.402597,48.96,475.81
2022-06-01,pe,pernambuco,redencao,-8.06,-34.88,24.40289,28.8865,21.286499,27.375132,32.566166,22.795637,254.20001,254.20001,0.0,30.735231,53.639996,478.13
2022-07-01,pe,pernambuco,redencao,-8.06,-34.88,24.32111,27.786499,20.536499,26.357986,31.577614,22.117758,214.3,214.3,0.0,28.58545,50.399998,497.21
2022-08-01,pe,pernambuco,redencao,-8.06,-34.88,24.134619,27.9865,20.286499,25.911663,31.244759,21.523846,183.6,183.6,0.0,31.311724,55.079998,590.7
2022-09-01,pe,pernambuco,redencao,-8.06,-34.88,24.723444,28.436499,20.8865,26.811014,32.964558,22.238806,59.0,59.0,0.0,27.748037,48.6,634.4
2022-10-01,pe,pernambuco,redencao,-8.06,-34.88,25.702963,29.0865,21.436499,28.198307,33.220833,24.6831,67.2,67.2,0.0,27.238941,50.399998,711.16003
2022-11-01,pe,pernambuco,redencao,-8.06,-34.88,26.332611,30.4865,22.786499,29.698387,33.9178,26.510555,63.7,63.7,0.0,23.686249,44.639996,702.95
2022-12-01,pe,pernambuco,redencao,-8.06,-34.88,26.60424,30.536499,22.2365,29.791967,34.71339,25.944845,64.8,64.8,0.0,21.485697,40.32,750.76
2023-01-01,pe,pernambuco,redencao,-8.06,-34.88,26.483341,30.186499,21.936499,30.012537,35.0661,25.209288,80.299995,80.299995,0.0,21.203358,40.32,747.5
2023-02-01,pe,pernambuco,redencao,-8.06,-34.88,26.757929,30.5865,22.686499,30.326767,34.77666,26.1762,99.5,99.5,0.0,22.493519,43.199997,650.74
2023-03-01,pe,pernambuco,redencao,-8.06,-34.88,26.53119,30.3865,22.4865,30.255062,35.149242,25.70507,115.3,115.3,0.0,24.29133,43.92,683.51
2023-04-01,pe,pernambuco,redencao,-8.06,-34.88,26.377611,30.1365,23.1365,30.509825,36.35173,25.65146,96.9,96.9,0.0,23.4,43.199997,623.82
2023-05-01,pe,pernambuco,redencao,-8.06,-34.88,26.121176,29.8865,22.786499,29.895144,34.445538,25.766556,125.5,125.5,0.0,23.83896,43.199997,568.08
2023-06-01,pe,pernambuco,redencao,-8.06,-34.88,25.000248,28.786499,22.436499,28.025667,33.46623,24.828005,277.8,277.8,0.0,25.076267,46.44,444.13
2023-07-01,pe,pernambuco,redencao,-8.06,-34.88,24.54658,27.9865,21.3365,27.01169,32.760765,23.338697,120.7,120.7,0.0,29.47826,50.76,542.96
2023-08-01,pe,pernambuco,redencao,-8.06,-34.88,24.747185,28.786499,20.8365,27.414669,34.711304,22.281237,117.9,117.9,0.0,24.703974,44.639996,607.17
2023-09-01,pe,pernambuco,redencao,-8.06,-34.88,25.104694,28.436499,21.4865,27.652447,34.02746,23.800985,108.4,108.4,0.0,25.959969,45.719997,629.09
2023-10-01,pe,pernambuco,redencao,-8.06,-34.88,25.964457,30.6365,21.286499,28.677906,34.57609,22.681486,60.8,60.8,0.0,27.511158,48.239998,752.95
2023-11-01,pe,pernambuco,redencao,-8.06,-34.88,26.949415,30.8865,23.6365,29.840239,34.64073,26.486748,58.4,58.4,0.0,24.962307,43.56,730.87
2023-12-01,pe,pernambuco,redencao,-8.06,-34.88,26.723932,30.286499,23.0865,30.366869,35.96462,26.92253,136.4,136.4,0.0,24.087738,43.56,709.54
2024-01-01,pe,pernambuco,redencao,-8.06,-34.88,27.505854,32.0365,23.1365,31.441021,36.292347,27.118668,41.899998,41.899998,0.0,23.507751,43.92,764.14
2024-02-01,pe,pernambuco,redencao,-8.06,-34.88,27.430103,32.6365,23.1365,31.747362,37.696514,27.011314,143.9,143.9,0.0,28.174456,50.399998,668.96
2024-03-01,pe,pernambuco,redencao,-8.06,-34.88,27.51755,31.4865,23.8865,32.354557,38.574203,27.68225,124.2,124.2,0.0,25.11758,42.839996,715.55
2024-04-01,pe,pernambuco,redencao,-8.06,-34.88,27.049765,30.9865,23.3365,31.840946,38.118065,27.363876,129.2,129.2,0.0,20.972897,40.68,620.09
2024-05-01,pe,pernambuco,redencao,-8.06,-34.88,26.241003,29.9865,22.786499,30.035507,35.09234,25.232548,120.1,120.1,0.0,25.277023,44.28,543.19
2024-06-01,pe,pernambuco,redencao,-8.06,-34.88,25.255249,29.0865,21.0865,28.172262,32.907074,22.929836,196.79999,196.79999,0.0,28.90107,49.32,503.96
2024-07-01,pe,pernambuco,redencao,-8.06,-34.88,24.537508,28.0865,20.186499,26.55735,31.496613,21.701782,154.40001,154.40001,0.0,28.90107,49.68,537.41003
2024-08-01,pe,pernambuco,redencao,-8.06,-34.88,24.467884,28.036499,19.5865,26.236649,32.847572,20.588453,89.299995,89.299995,0.0,28.00837,48.6,642.29
2024-09-01,pe,pernambuco,redencao,-8.06,-34.88,24.73136,27.8365,21.3865,26.542791,31.721115,23.499342,72.7,72.7,0.0,25.305208,45.0,653.12
2024-10-01,pe,pernambuco,redencao,-8.06,-34.88,26.031662,29.8365,20.8365,28.554895,34.122272,23.253284,34.800003,34.800003,0.0,21.978434,41.039997,742.89
2024-11-01,pe,pernambuco,redencao,-8.06,-34.88,26.681152,30.7365,23.286499,29.410427,34.74672,25.28614,46.800003,46.800003,0.0,24.091774,48.96,735.01
2024-12-01,pe,pernambuco,redencao,-8.06,-34.88,26.872925,30.3365,23.036499,30.308126,35.45252,26.71042,75.299995,75.299995,0.0,20.160803,47.16,746.53
2025-01-01,pe,pernambuco,redencao,-8.06,-34.88,26.873058,31.536499,22.8365,30.972893,36.61523,27.5195,110.2,110.2,0.0,19.152882,46.44,705.06
2025-02-01,pe,pernambuco,redencao,-8.06,-34.88,26.777496,30.9865,23.0865,30.622515,35.793514,26.94292,111.3,111.3,0.0,19.672773,48.239998,664.36
2025-03-01,pe,pernambuco,redencao,-8.06,-34.88,27.06627,31.686499,23.286499,30.94524,37.12123,27.399126,103.2,103.2,0.0,21.170479,50.76,730.07
2025-04-01,pe,pernambuco,redencao,-8.06,-34.88,27.511013,31.8365,23.1365,31.556183,37.336605,27.34074,63.3,63.3,0.0,21.82755,52.199997,672.78
2025-05-01,pe,pernambuco,redencao,-8.06,-34.88,26.191338,31.0865,22.686499,29.759472,35.260384,26.07199,272.69998,272.69998,0.0,20.454369,47.519997,568.93
2025-06-01,pe,pernambuco,redencao,-8.06,-34.88,25.05636,28.7365,21.686499,28.448303,33.543167,24.310196,195.7,195.7,0.0,21.733088,51.12,506.27
2025-07-01,pe,pernambuco,redencao,-8.06,-34.88,24.202763,28.4865,20.936499,26.637302,31.995327,22.021029,153.59999,153.59999,0.0,23.587555,55.079998,519.91003
2025-08-01,pe,pernambuco,redencao,-8.06,-34.88,24.266874,27.8865,20.536499,26.83803,32.997612,21.943258,175.2,175.2,0.0,22.075516,51.48,598.98
2025-09-01,pe,pernambuco,redencao,-8.06,-34.88,24.955318,28.286499,21.4865,26.981197,32.432728,23.732702,106.6,106.6,0.0,24.231236,56.88,662.66
2025-10-01,pe,pernambuco,redencao,-8.06,-34.88,25.38892,28.936499,21.8365,27.716732,33.814854,23.863333,89.0,89.0,0.0,25.471748,58.679996,749.89
2025-11-01,pe,pernambuco,redencao,-8.06,-34.88,26.704346,30.4865,22.686499,29.42685,35.052895,26.063465,29.6,29.6,0.0,19.862083,48.96,753.45
2025-12-01,pe,pernambuco,redencao,-8.06,-34.88,27.621916,30.8865,25.036499,29.496748,33.335957,27.22772,0.0,0.0,0.0,13.723745,37.44,23.37
