date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.41677,30.4995,22.1995,30.277697,35.30077,25.043772,113.5,113.5,0.0,21.980644,44.639996,703.33
2022-02-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,27.236032,30.6995,22.9995,30.874165,35.499313,26.457302,46.4,46.4,0.0,19.406637,41.760002,710.46
2022-03-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.234312,30.2995,22.3995,30.386938,36.120922,26.02567,202.0,202.0,0.0,22.392464,44.28,669.72
2022-04-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.252348,30.4995,22.9495,30.166277,35.718742,26.021675,130.7,130.7,0.0,20.746122,42.12,639.72003
2022-05-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,25.359379,29.8995,20.4495,28.885767,35.174355,20.77425,447.8,447.8,0.0,26.208395,50.399998,475.74
2022-06-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,24.327276,28.7995,21.1995,27.297455,32.7931,22.816956,242.4,242.4,0.0,29.381382,55.44,478.9
2022-07-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,24.228062,27.8495,20.4495,26.338774,31.926281,21.768324,263.69998,263.69998,0.0,27.026386,53.639996,500.45
2022-08-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,24.062738,27.7495,20.1495,25.873102,31.102253,21.377148,203.90001,203.90001,0.0,29.478264,57.239998,590.31
2022-09-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,24.65346,28.1995,20.7495,26.760027,32.729256,22.100956,55.7,55.7,0.0,26.61323,50.76,638.75
2022-10-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,25.66536,29.1995,21.3495,28.183191,33.139637,24.423925,64.399994,64.399994,0.0,26.161375,52.92,714.13
2022-11-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.325262,30.2495,22.7495,29.657593,34.148613,26.178019,67.1,67.1,0.0,23.424908,48.6,700.06
2022-12-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.552858,30.4495,22.1495,29.706247,34.768593,25.487856,77.4,77.4,0.0,21.325253,42.839996,749.88
2023-01-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.565762,30.3495,21.9495,29.976389,35.060413,25.337029,82.6,82.6,0.0,20.746122,43.56,747.55
2023-02-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.805378,30.6495,22.6495,30.285208,35.18347,26.130049,110.0,110.0,0.0,21.437386,45.719997,653.76
2023-03-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.505615,30.3995,22.4495,30.199755,34.96203,25.427631,125.299995,125.299995,0.0,22.608458,45.719997,685.88
2023-04-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.353876,30.1995,22.3995,30.418385,36.236423,25.627058,96.6,96.6,0.0,22.473343,46.8,623.63
2023-05-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.108236,29.9995,22.7995,29.805777,34.52717,25.764473,133.7,133.7,0.0,22.89611,46.079998,565.41003
2023-06-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,24.892902,29.1995,22.1995,27.972364,33.863632,24.524734,292.1,292.1,0.0,23.950148,48.96,444.34
2023-07-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,24.467443,27.9495,21.0495,26.966248,32.998455,22.814392,117.899994,117.899994,0.0,28.185955,54.0,542.28
2023-08-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,24.690762,28.4995,20.8495,27.382761,34.53146,21.932426,108.9,108.9,0.0,23.333443,48.6,609.21
2023-09-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,25.067486,28.2995,21.3995,27.633759,33.70312,23.846828,123.1,123.1,0.0,24.72495,49.32,628.15
2023-10-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,25.890495,30.3495,21.1495,28.633677,34.478752,22.501966,55.3,55.3,0.0,26.009844,51.12,751.85
2023-11-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.865473,30.6995,23.3995,29.774515,34.701187,26.24389,55.4,55.4,0.0,22.59699,46.44,731.38
2023-12-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,26.700508,29.9495,23.2995,30.313194,35.5149,27.12048,123.2,123.2,0.0,23.795427,47.16,710.48
2024-01-01,pe,pernambuco,vila da fabrica,-8.1049,-34.9109,27.384378,31.8495,23.1995,31.367746,36.248966,26.86883,43.4,43.4,0.0,23.166216,46.8,763.04
