date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pi,piaui,centro,-5.0892,-42.8016,25.664988,32.75,21.0,30.305597,38.66528,24.515383,396.19998,396.19998,0.0,19.586119,34.92,556.57
2022-02-01,pi,piaui,centro,-5.0892,-42.8016,26.195906,32.8,21.3,30.933702,39.53344,25.131365,331.5,331.5,0.0,21.749481,38.519997,599.01
2022-03-01,pi,piaui,centro,-5.0892,-42.8016,25.508402,32.25,21.65,30.282576,38.211704,25.719984,522.0,522.0,0.0,20.633371,34.92,562.27
2022-04-01,pi,piaui,centro,-5.0892,-42.8016,25.95,31.65,21.7,30.611471,38.909855,25.029806,222.0,222.0,0.0,21.288757,37.44,589.64
2022-05-01,pi,piaui,centro,-5.0892,-42.8016,26.436491,32.85,21.4,30.60064,38.19379,23.642143,150.8,150.8,0.0,25.133053,46.079998,594.13
2022-06-01,pi,piaui,centro,-5.0892,-42.8016,26.244722,33.5,20.05,29.099182,36.412712,20.88078,62.9,62.9,0.0,22.406927,41.760002,587.94
2022-07-01,pi,piaui,centro,-5.0892,-42.8016,28.022581,36.15,20.25,29.019598,37.559544,20.916769,3.1000001,3.1000001,0.0,25.140787,47.16,613.96
2022-08-01,pi,piaui,centro,-5.0892,-42.8016,29.313776,37.8,21.25,29.565674,38.39766,21.007923,0.8,0.8,0.0,22.768396,44.639996,728.78
2022-09-01,pi,piaui,centro,-5.0892,-42.8016,30.592222,38.4,21.25,31.734617,41.160748,22.190805,2.2,2.2,0.0,21.218632,41.039997,739.68
2022-10-01,pi,piaui,centro,-5.0892,-42.8016,30.877083,39.15,22.6,32.81386,42.173935,24.24241,44.100002,44.100002,0.0,23.587555,44.639996,746.23
2022-11-01,pi,piaui,centro,-5.0892,-42.8016,27.439583,37.6,21.7,31.709448,40.716175,24.762907,206.4,206.4,0.0,18.692286,41.760002,625.69
