date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pi,piaui,reis veloso,-2.8817,-41.7494,26.646975,30.3,22.75,30.39262,35.428818,26.11831,266.7,266.7,0.0,24.627787,46.8,604.18
2022-02-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.093527,30.6,23.15,30.65842,35.78248,26.781097,168.59999,168.59999,0.0,26.299719,49.32,633.27
2022-03-01,pi,piaui,reis veloso,-2.8817,-41.7494,26.02211,30.1,22.6,30.135778,35.834335,25.865337,581.3,581.3,0.0,23.34455,44.639996,561.29
2022-04-01,pi,piaui,reis veloso,-2.8817,-41.7494,26.354374,30.1,23.35,30.575794,36.349945,27.654177,257.0,257.0,0.0,26.61323,49.68,601.68
2022-05-01,pi,piaui,reis veloso,-2.8817,-41.7494,26.58246,30.6,22.5,30.81297,36.23962,25.994831,242.6,242.6,0.0,23.42491,46.8,597.51
2022-06-01,pi,piaui,reis veloso,-2.8817,-41.7494,26.725138,31.5,22.25,30.317707,35.09114,24.291666,56.4,56.4,0.0,23.14103,43.56,611.9
2022-07-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.273926,32.8,22.45,30.173763,35.656258,23.663057,33.9,33.9,0.0,26.987997,47.16,631.26
2022-08-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.741531,34.25,23.4,29.828054,37.068905,25.008821,5.6000004,5.6000004,0.0,29.024128,57.96,729.02
2022-09-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.706875,34.45,24.75,29.379152,36.17107,25.473694,2.6000001,2.6000001,0.0,33.985218,61.56,749.3
2022-10-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.996235,34.1,24.8,29.635036,37.230484,25.075413,3.3000002,3.3000002,0.0,36.457886,62.639996,778.53
2022-11-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.628473,33.05,24.35,30.225286,36.122116,26.403433,29.7,29.7,0.0,31.581665,58.32,706.77997
2022-12-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.610754,32.3,23.85,30.004154,35.51902,26.507797,43.8,43.8,0.0,33.50128,60.120003,690.69
2023-01-01,pi,piaui,reis veloso,-2.8817,-41.7494,26.639719,30.45,22.35,29.848688,34.593246,25.29537,171.5,171.5,0.0,26.405453,51.12,649.83997
2023-02-01,pi,piaui,reis veloso,-2.8817,-41.7494,26.407665,30.25,23.15,29.965832,35.1173,26.269049,223.4,223.4,0.0,29.09103,52.92,564.79
2023-03-01,pi,piaui,reis veloso,-2.8817,-41.7494,25.987366,30.15,22.4,30.138329,35.287693,25.600348,342.80002,342.80002,0.0,25.772078,48.6,572.59
2023-04-01,pi,piaui,reis veloso,-2.8817,-41.7494,26.387917,31.35,23.05,30.842287,37.025845,26.953892,308.1,308.1,0.0,22.206486,42.48,565.84
2023-05-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.562231,31.75,24.15,31.767315,36.266144,28.085003,112.100006,112.100006,0.0,24.590923,46.8,628.68
2023-06-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.42278,32.6,23.35,31.127485,35.96144,26.58976,74.1,74.1,0.0,23.4,47.16,592.89
2023-07-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.890793,33.95,23.25,30.45927,36.45543,25.870588,17.8,17.8,0.0,29.157776,52.92,683.26
2023-08-01,pi,piaui,reis veloso,-2.8817,-41.7494,27.74066,34.4,24.5,29.930138,36.84337,25.680273,6.1,6.1,0.0,35.68542,65.159996,730.85
