date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pr,parana,taruma,-25.4289,-49.2731,20.517096,29.872002,13.822,22.068308,33.703423,12.694408,212.3,212.3,0.0,30.928587,51.839996,656.61
2022-02-01,pr,parana,taruma,-25.4289,-49.2731,20.658459,29.422,14.272,22.240482,33.201378,14.686533,86.7,86.7,0.0,26.299719,46.44,651.12
2022-03-01,pr,parana,taruma,-25.4289,-49.2731,20.136986,28.372002,11.022,21.423864,33.69229,8.523047,193.4,193.4,0.0,34.778683,57.6,513.99
2022-04-01,pr,parana,taruma,-25.4289,-49.2731,17.327349,26.122002,8.372,17.535175,28.273083,6.845829,92.700005,92.700005,0.0,32.59939,52.56,428.04
2022-05-01,pr,parana,taruma,-25.4289,-49.2731,14.052579,23.472,3.0219998,12.6776085,23.480812,-1.7252045,109.59999,109.59999,0.0,40.609848,65.88,413.34
2022-06-01,pr,parana,taruma,-25.4289,-49.2731,13.18957,23.922,1.1220001,11.681684,22.59138,-2.8150377,83.6,83.6,0.0,31.394394,48.96,334.16
2022-07-01,pr,parana,taruma,-25.4289,-49.2731,15.431677,25.122002,2.872,13.9876795,23.56296,-0.02891779,26.099998,26.099998,0.0,36.57855,55.8,439.38
2022-08-01,pr,parana,taruma,-25.4289,-49.2731,13.607753,26.622002,2.472,11.965479,24.723747,-1.4385223,157.50002,157.50002,0.0,38.639256,59.039997,410.96
2022-09-01,pr,parana,taruma,-25.4289,-49.2731,13.435056,27.722,5.1219997,11.710746,26.606886,0.80255747,260.4,260.4,0.0,28.639803,47.519997,396.89
2022-10-01,pr,parana,taruma,-25.4289,-49.2731,17.079327,28.372002,8.172,16.889229,30.21273,6.715975,115.0,115.0,0.0,33.092594,52.56,551.96
2022-11-01,pr,parana,taruma,-25.4289,-49.2731,16.062973,25.522001,7.522,15.320046,27.787975,4.4969425,126.3,126.3,0.0,29.871325,46.8,628.15
2022-12-01,pr,parana,taruma,-25.4289,-49.2731,19.374218,28.272001,13.072,20.244255,33.935852,12.638111,184.70001,184.70001,0.0,29.671074,47.16,680.15
2023-01-01,pr,parana,taruma,-25.4289,-49.2731,20.012995,28.372002,13.672,21.29521,31.543316,12.983505,179.7,179.7,0.0,25.96995,41.039997,665.77997
2023-02-01,pr,parana,taruma,-25.4289,-49.2731,20.2188,27.822,12.922,21.305515,31.159039,10.543559,185.6,185.6,0.0,30.25928,54.36,540.82
2023-03-01,pr,parana,taruma,-25.4289,-49.2731,20.251772,27.922,15.022,21.58887,30.828018,15.5814495,129.0,129.0,0.0,24.633049,42.48,567.69
2023-04-01,pr,parana,taruma,-25.4289,-49.2731,16.995958,26.222,7.572,16.799244,26.747398,5.611024,86.5,86.5,0.0,35.010807,58.679996,457.39
2023-05-01,pr,parana,taruma,-25.4289,-49.2731,15.742027,25.122002,6.8719997,15.48417,27.275013,5.1574116,31.400002,31.400002,0.0,22.89611,38.519997,433.23
2023-06-01,pr,parana,taruma,-25.4289,-49.2731,14.098737,25.872002,4.6219997,12.764752,22.253366,2.3348393,108.100006,108.100006,0.0,30.633865,48.96,363.74
2023-07-01,pr,parana,taruma,-25.4289,-49.2731,13.8242855,23.022001,4.322,12.4780035,21.706696,0.47517776,77.0,77.0,0.0,44.554268,68.4,352.0
2023-08-01,pr,parana,taruma,-25.4289,-49.2731,14.932753,28.072,4.072,13.668117,26.702667,1.4098248,105.1,105.1,0.0,37.038036,57.96,425.3
2023-09-01,pr,parana,taruma,-25.4289,-49.2731,18.191097,31.422,9.422,17.924953,32.4898,7.1254654,121.5,121.5,0.0,33.161064,60.120003,512.62
2023-10-01,pr,parana,taruma,-25.4289,-49.2731,17.422606,28.172,10.772,17.466324,31.326298,8.1884365,321.1,321.1,0.0,34.025234,51.839996,443.27
2023-11-01,pr,parana,taruma,-25.4289,-49.2731,19.657764,32.622,7.172,20.245737,34.336872,5.2640686,112.5,112.5,0.0,34.847553,67.32,596.28
2023-12-01,pr,parana,taruma,-25.4289,-49.2731,21.481007,33.022,12.922,22.738018,35.84597,12.712952,65.9,65.9,0.0,28.820242,48.6,769.55
2024-01-01,pr,parana,taruma,-25.4289,-49.2731,20.787254,32.522,12.172,21.831964,35.65124,11.081024,156.59999,156.59999,0.0,29.157776,47.88,690.98
2024-02-01,pr,parana,taruma,-25.4289,-49.2731,21.280407,29.822,15.922,23.14364,33.942795,15.20549,124.7,124.7,0.0,28.162954,46.8,599.36
2024-03-01,pr,parana,taruma,-25.4289,-49.2731,20.816626,30.972,13.072,22.397535,33.66893,11.702918,105.200005,105.200005,0.0,32.688713,56.519997,572.81
2024-04-01,pr,parana,taruma,-25.4289,-49.2731,19.530611,28.422,9.572,20.376745,31.115437,7.613161,87.799995,87.799995,0.0,23.113008,38.16,441.5
2024-05-01,pr,parana,taruma,-25.4289,-49.2731,17.505535,28.172,5.1219997,16.848377,28.08479,2.2543206,169.3,169.3,0.0,37.705597,58.679996,394.24
2024-06-01,pr,parana,taruma,-25.4289,-49.2731,16.23179,25.672,1.922,15.037214,24.662336,-1.4540021,41.5,41.5,0.0,35.900864,59.399998,402.61
2024-07-01,pr,parana,taruma,-25.4289,-49.2731,13.382013,24.072,4.272,12.0857,24.033558,2.2113419,135.40001,135.40001,0.0,24.95452,38.88,354.56
2024-08-01,pr,parana,taruma,-25.4289,-49.2731,14.542093,28.622002,0.57199997,13.046406,28.53532,-3.2854414,61.2,61.2,0.0,27.41678,43.56,532.83
2024-09-01,pr,parana,taruma,-25.4289,-49.2731,18.467833,30.672,8.772,17.953936,31.35431,6.522338,111.200005,111.200005,0.0,29.46947,45.719997,555.44
2024-10-01,pr,parana,taruma,-25.4289,-49.2731,17.933628,31.322,10.472,17.759623,30.606773,8.18895,121.9,121.9,0.0,34.526703,54.36,586.81
2024-11-01,pr,parana,taruma,-25.4289,-49.2731,19.239155,31.922,11.222,19.998743,32.69067,10.673214,138.2,138.2,0.0,23.464987,46.079998,556.45
2024-12-01,pr,parana,taruma,-25.4289,-49.2731,19.562256,27.872002,13.722,20.649937,31.801208,13.666548,292.7,292.7,0.0,25.664364,62.639996,601.09
2025-01-01,pr,parana,taruma,-25.4289,-49.2731,20.70473,29.472,13.172,22.42041,34.640644,14.006153,227.90001,227.90001,0.0,24.660654,61.920002,667.66003
2025-02-01,pr,parana,taruma,-25.4289,-49.2731,21.976465,30.522001,15.922,24.490877,33.68008,17.728687,159.1,159.1,0.0,17.02404,47.16,587.47
2025-03-01,pr,parana,taruma,-25.4289,-49.2731,20.87489,32.072002,13.722,22.62452,35.174316,14.230955,111.2,111.2,0.0,16.394829,41.039997,627.77997
2025-04-01,pr,parana,taruma,-25.4289,-49.2731,17.693459,27.772001,9.572,18.346699,30.468391,8.72528,92.299995,92.299995,0.0,19.447498,47.519997,429.0
2025-05-01,pr,parana,taruma,-25.4289,-49.2731,16.17415,26.222,3.822,15.958568,26.930698,1.67869,47.399998,47.399998,0.0,24.069572,56.519997,410.56
2025-06-01,pr,parana,taruma,-25.4289,-49.2731,14.188389,22.922,0.422,13.211886,22.172527,-3.1377566,129.0,129.0,0.0,29.04756,73.079994,314.1
2025-07-01,pr,parana,taruma,-25.4289,-49.2731,12.207081,24.422,2.722,10.816468,23.695478,0.2956934,31.0,31.0,0.0,26.836306,65.520004,416.38
2025-08-01,pr,parana,taruma,-25.4289,-49.2731,13.924083,28.822,2.822,12.784727,26.445362,0.56314135,42.7,42.7,0.0,21.638964,52.92,450.13998
2025-09-01,pr,parana,taruma,-25.4289,-49.2731,15.629292,29.122002,7.672,15.044174,30.021557,5.6772184,86.600006,86.600006,0.0,28.236486,66.96,508.54
2025-10-01,pr,parana,taruma,-25.4289,-49.2731,16.270859,29.122002,8.622,15.908086,30.849659,6.349657,190.8,190.8,0.0,22.700705,51.48,492.27
2025-11-01,pr,parana,taruma,-25.4289,-49.2731,17.871305,30.172,10.022,18.224817,34.094585,8.654798,137.5,137.5,0.0,22.17217,55.44,644.25
2025-12-01,pr,parana,taruma,-25.4289,-49.2731,19.122,22.472,16.322,20.708918,24.839619,17.201832,12.799999,12.799999,0.0,10.24578,32.039997,12.39
