date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,pr,parana,zona iii,-23.31,-51.1614,23.727522,34.829,16.029,26.404217,39.54724,17.158478,200.8,200.8,0.0,21.30093,44.639996,631.52
2022-02-01,pr,parana,zona iii,-23.31,-51.1614,24.20958,33.829,16.729,26.675303,37.890182,17.285221,98.1,98.1,0.0,21.99538,42.48,643.8
2022-03-01,pr,parana,zona iii,-23.31,-51.1614,23.354538,34.679,16.479,26.215715,37.110336,16.121359,279.80002,279.80002,0.0,23.157824,43.92,560.25
2022-04-01,pr,parana,zona iii,-23.31,-51.1614,21.217125,29.828999,11.129001,22.601711,34.36749,9.701557,67.700005,67.700005,0.0,22.238562,45.719997,532.54
2022-05-01,pr,parana,zona iii,-23.31,-51.1614,17.121943,29.029,4.9789996,16.61771,30.335136,2.2555027,66.5,66.5,0.0,22.771244,46.079998,456.07
2022-06-01,pr,parana,zona iii,-23.31,-51.1614,16.533583,26.129,5.329,16.289,26.72682,1.9170341,128.29999,128.29999,0.0,20.907913,39.6,396.11
2022-07-01,pr,parana,zona iii,-23.31,-51.1614,19.4001,29.479,7.779,18.437904,28.258274,5.3314133,20.4,20.4,0.0,23.993399,46.8,476.69
2022-08-01,pr,parana,zona iii,-23.31,-51.1614,17.69002,32.329,6.179,16.619093,31.98251,1.9289641,133.1,133.1,0.0,21.897945,42.839996,474.41
2022-09-01,pr,parana,zona iii,-23.31,-51.1614,18.317263,31.979,8.729,18.023254,32.90279,5.6232586,256.0,256.0,0.0,21.288757,43.56,455.3
2022-10-01,pr,parana,zona iii,-23.31,-51.1614,20.910786,31.078999,10.079,22.199558,34.593475,8.981146,159.7,159.7,0.0,22.932877,48.239998,598.27
2022-11-01,pr,parana,zona iii,-23.31,-51.1614,21.061567,31.828999,9.429,21.196314,34.6287,7.3524456,58.600002,58.600002,0.0,21.096123,46.44,718.19
2022-12-01,pr,parana,zona iii,-23.31,-51.1614,22.733837,30.629,15.179,25.118973,36.635933,14.805914,220.0,220.0,0.0,17.373497,36.719997,667.61
