date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,26.71312,37.29,20.39,30.883156,42.09906,22.897547,194.2,194.2,0.0,23.333443,48.96,679.87
2022-02-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,25.655775,33.239998,20.24,30.09541,40.83008,21.88652,174.8,174.8,0.0,28.58545,56.88,610.01
2022-03-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,27.449274,36.89,20.59,30.773148,40.824688,21.779003,50.5,50.5,0.0,24.819122,50.039997,704.3
2022-04-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,24.257015,35.59,17.74,27.167896,38.28361,18.978617,137.90001,137.90001,0.0,28.410364,53.639996,547.54
2022-05-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,21.932608,32.64,14.490001,23.368044,36.556744,11.997004,36.4,36.4,0.0,36.115017,69.84,479.42
2022-06-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,20.150278,28.39,12.84,21.246359,31.469715,12.11194,72.1,72.1,0.0,28.257132,54.36,369.26
2022-07-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,21.420712,31.539999,14.59,22.599085,33.602566,14.364609,20.099998,20.099998,0.0,30.293522,66.24,483.21
2022-08-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,20.691748,33.54,12.79,21.420816,33.907482,12.190571,56.199997,56.199997,0.0,36.322556,70.2,461.08002
2022-09-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,20.722778,36.94,12.84,21.46548,38.235733,11.83054,125.8,125.8,0.0,32.33794,65.159996,490.15
2022-10-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,23.76016,33.94,18.539999,26.614529,39.45188,18.450132,89.0,89.0,0.0,27.890127,56.88,645.57
2022-11-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,22.962849,33.14,16.59,25.414797,37.873726,16.799313,156.5,156.5,0.0,29.162226,58.679996,633.28
2022-12-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,24.865807,34.04,18.439999,28.022812,41.206024,19.309639,185.6,185.6,0.0,34.651752,72.36,672.05
2023-01-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,25.921116,33.64,20.539999,30.40901,42.17238,22.714903,219.7,219.7,0.0,21.915691,48.6,711.63
2023-02-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,27.217234,36.39,22.24,32.142765,42.90293,26.199102,130.1,130.1,0.0,30.430117,57.96,654.23
2023-03-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,27.224205,36.19,20.89,31.167122,40.878277,23.981222,61.799995,61.799995,0.0,21.533897,45.0,684.39
2023-04-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,24.04375,31.59,17.539999,26.720448,35.98865,18.820341,96.50001,96.50001,0.0,26.661882,53.639996,506.24
2023-05-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,21.987984,29.689999,14.940001,23.998062,33.400185,15.278107,58.9,58.9,0.0,23.708124,47.519997,458.61
2023-06-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,20.909168,29.89,14.29,22.04984,30.562775,13.875666,32.399998,32.399998,0.0,24.482647,49.68,424.56
2023-07-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,20.817755,34.69,12.89,21.666504,33.324635,12.162056,45.0,45.0,0.0,31.581665,63.0,424.92
2023-08-01,rj,rio de janeiro,taquara,-22.9068,-43.1729,21.9275,35.69,14.84,23.382055,37.492813,14.972437,108.79999,108.79999,0.0,31.178993,61.199997,457.65
