date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,26.822691,30.877998,21.578,30.176659,35.280327,25.340683,146.5,146.5,0.0,25.284714,52.56,719.02
2022-02-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,27.502554,31.278,23.278,30.698664,35.83498,26.818697,32.0,32.0,0.0,24.192429,49.68,704.51
2022-03-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,26.527529,31.328,22.977999,30.283064,36.24782,26.055576,197.0,197.0,0.0,27.459293,54.0,667.56
2022-04-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,26.353209,30.227999,22.778,30.067839,36.51065,26.428963,122.0,122.0,0.0,23.838959,48.6,641.66
2022-05-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,25.580217,29.828,21.627998,29.007608,36.02067,23.28411,226.20001,226.20001,0.0,25.488914,50.399998,530.78
2022-06-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,24.713764,28.778,21.227999,27.579346,33.478497,23.01649,146.00002,146.00002,0.0,29.74306,60.120003,523.93
2022-07-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,24.326454,28.278,20.678,26.259172,31.607307,21.56446,270.8,270.8,0.0,31.072817,63.72,529.33997
2022-08-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,24.491575,29.127998,20.678,25.824541,31.64981,20.866982,47.5,47.5,0.0,31.178993,60.479996,649.19
2022-09-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,25.272306,29.278,20.928,26.770136,32.88827,21.376541,30.1,30.1,0.0,29.055367,57.6,684.34
2022-10-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,26.27081,30.278,21.627998,28.032953,33.811306,23.950418,27.8,27.8,0.0,32.090523,64.079994,739.28
2022-11-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,26.840984,30.377998,22.328,29.49479,34.422886,25.653692,29.2,29.2,0.0,23.565569,48.6,739.16
2022-12-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,26.895338,30.678,22.977999,29.56375,34.631382,25.348366,50.699997,50.699997,0.0,25.567604,52.199997,755.94
2023-01-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,26.803204,30.877998,22.227999,29.638418,34.803265,25.576395,51.4,51.4,0.0,26.415268,54.719997,747.76
2023-02-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,27.344296,31.227999,23.028,30.134882,35.954193,24.9617,48.399998,48.399998,0.0,28.515089,56.88,663.51
2023-03-01,rn,rio grande do norte,tirol,-5.7793,-35.2009,26.303942,31.227999,22.028,29.97119,36.58778,25.332079,277.9,277.9,0.0,26.28,54.719997,670.16
