date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.787634,32.754498,22.404501,31.060352,39.887646,26.431387,250.90001,250.90001,0.0,14.81259,34.2,575.64
2022-02-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.195944,32.004498,21.8045,30.426245,39.561172,25.983738,367.5,367.5,0.0,13.661038,31.319998,445.13
2022-03-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.261692,31.6045,22.2545,30.687433,39.127342,26.40707,396.40002,396.40002,0.0,12.522619,28.44,494.24
2022-04-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.495543,32.504498,20.8045,30.930334,38.475113,23.079082,255.3,255.3,0.0,12.475961,30.960001,495.99
2022-05-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.697847,32.054497,17.6045,30.316029,38.195267,17.554337,107.7,107.7,0.0,16.862455,35.28,574.44
2022-06-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.420473,32.7045,19.154501,29.544605,36.959736,20.223034,61.8,61.8,0.0,15.941944,35.28,534.57
2022-07-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,27.178225,34.8545,19.8545,30.630327,38.086784,22.163368,1.8,1.8,0.0,13.339445,33.48,606.92
2022-08-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.288372,35.3545,18.3545,29.804123,39.86789,16.671978,84.9,84.9,0.0,22.9724,48.239998,531.9
2022-09-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,27.688599,36.4045,21.2045,31.839773,41.486725,22.63211,35.9,35.9,0.0,19.48661,42.48,553.9
2022-10-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.840254,36.304497,22.3545,32.056686,41.294495,25.277786,206.0,206.0,0.0,18.671474,44.639996,573.22003
2022-11-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.252766,35.3545,16.3545,30.752996,41.245792,16.091637,182.00002,182.00002,0.0,20.780453,42.839996,615.24
2022-12-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.951073,32.8545,22.3545,31.02085,39.621082,26.16019,225.0,225.0,0.0,16.676977,38.519997,589.44
2023-01-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.041193,31.654501,21.654501,29.92592,38.50873,25.443878,319.9,319.9,0.0,13.039754,37.8,511.65
2023-02-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.466778,32.004498,22.154501,30.807095,40.00066,25.708643,269.3,269.3,0.0,14.277983,31.68,495.33002
2023-03-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.21075,31.0545,22.154501,30.533014,38.80659,26.024017,403.6,403.6,0.0,14.205182,34.92,492.15
2023-04-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.675055,31.7545,22.2545,31.26283,39.36162,26.871607,185.5,185.5,0.0,16.327497,34.2,506.44
2023-05-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.172981,32.254498,22.654501,31.692457,38.28629,26.643166,168.6,168.6,0.0,14.277983,35.64,532.72
2023-06-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,25.49575,32.7045,15.554501,29.798471,37.650276,13.70562,37.6,37.6,0.0,18.0036,38.16,523.19
2023-07-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.775064,34.6045,20.0045,30.589281,38.247036,22.350069,6.4999995,6.4999995,0.0,14.618837,29.88,615.13
2023-08-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,27.864985,36.1545,21.3545,32.707584,40.7942,24.456491,53.100002,53.100002,0.0,18.472595,48.6,538.43
2023-09-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,28.607277,37.2045,22.904501,33.441685,42.704514,26.44066,68.1,68.1,0.0,24.482647,47.519997,548.14
2023-10-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,29.20282,37.054497,23.8045,34.549747,42.686832,28.93369,59.7,59.7,0.0,19.107151,50.76,637.75
2023-11-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,28.424013,36.8545,23.3545,33.911438,43.342426,27.854008,95.700005,95.700005,0.0,17.709658,40.68,587.91
2023-12-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,27.393345,34.6045,23.3545,33.16146,41.869076,26.743662,175.1,175.1,0.0,17.057314,36.719997,615.21
2024-01-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.689379,34.1545,22.7545,32.515327,41.257626,27.01984,248.70001,248.70001,0.0,13.910169,32.760002,573.66003
2024-02-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.625404,33.804497,22.904501,32.45435,41.413517,27.414808,248.50002,248.50002,0.0,15.617529,36.36,537.3
2024-03-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.910616,33.7045,23.2545,32.96267,42.211266,27.835194,206.7,206.7,0.0,13.979871,33.12,568.27
2024-04-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.842833,32.6545,23.6045,32.935925,40.61048,28.389565,232.8,232.8,0.0,14.973577,32.039997,548.22
2024-05-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.50813,33.504498,19.7545,31.638712,40.37056,21.798248,64.5,64.5,0.0,15.827721,38.519997,532.03
2024-06-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,27.225195,33.6045,20.5045,31.493692,38.092766,23.194447,3.6000001,3.6000001,0.0,20.111729,41.760002,588.83997
2024-07-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.752214,35.254498,19.154501,29.97913,38.855125,19.762808,4.7000003,4.7000003,0.0,15.463246,30.239998,615.93
2024-08-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,27.855642,36.804497,19.1045,31.019503,39.984528,18.090034,18.4,18.4,0.0,16.485485,45.719997,571.04
2024-09-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,29.207346,37.9545,22.8045,33.774765,42.203903,26.164394,52.4,52.4,0.0,21.349546,46.8,531.94
2024-10-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,28.44032,37.4545,22.7045,33.630375,43.849926,26.784204,102.8,102.8,0.0,20.87379,43.92,606.78
2024-11-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,27.151793,35.1545,23.4545,32.733517,41.991947,27.508774,180.2,180.2,0.0,16.179985,38.88,557.3
2024-12-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.747578,34.9045,23.4545,32.16688,41.303364,27.970894,249.8,249.8,0.0,16.019999,36.36,564.61
2025-01-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.170427,33.9545,22.5045,31.397394,41.63892,26.521252,299.2,299.2,0.0,13.321216,31.68,543.85
2025-02-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.027342,32.7045,22.904501,31.185743,40.039856,27.053282,285.1,285.1,0.0,16.56489,35.28,465.96
2025-03-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.264915,33.2045,22.8045,31.61365,40.00318,26.650812,242.90001,242.90001,0.0,14.970331,31.319998,554.86
2025-04-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.656237,33.4545,22.904501,32.134514,40.5919,26.583233,200.3,200.3,0.0,16.165964,33.48,540.89
2025-05-01,ro,rondonia,flodoaldo pontes pinto,-8.7619,-63.9039,26.703426,32.754498,19.5045,31.714933,39.048748,20.100948,98.7,98.7,0.0,17.604149,36.719997,557.96
