date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,rr,roraima,cacari,2.8208,-60.6718,27.176395,33.8895,22.3395,30.061754,37.026466,24.187065,58.8,58.8,0.0,25.02971,46.44,633.3
2022-02-01,rr,roraima,cacari,2.8208,-60.6718,27.437788,34.6395,22.7895,30.455801,38.192425,24.551569,156.2,156.2,0.0,23.871555,46.8,573.46
2022-03-01,rr,roraima,cacari,2.8208,-60.6718,26.432644,33.0395,21.9895,30.087029,37.59652,25.147192,175.4,175.4,0.0,24.766848,46.079998,613.06
2022-04-01,rr,roraima,cacari,2.8208,-60.6718,26.25228,34.8895,22.2395,30.353746,39.390686,25.240417,332.9,332.9,0.0,26.882141,50.039997,553.39
2022-05-01,rr,roraima,cacari,2.8208,-60.6718,25.351059,31.0395,22.0895,29.809303,36.695457,26.02434,427.30002,427.30002,0.0,20.972897,42.12,484.7
2022-06-01,rr,roraima,cacari,2.8208,-60.6718,24.744223,30.2895,21.2395,29.2402,35.94465,25.01793,440.1,440.1,0.0,16.24394,32.399998,469.52
2022-07-01,rr,roraima,cacari,2.8208,-60.6718,25.058989,31.5895,21.0395,29.757732,37.150978,24.393087,381.1,381.1,0.0,17.727943,32.760002,509.21
2022-08-01,rr,roraima,cacari,2.8208,-60.6718,25.953613,32.5395,21.939499,30.819868,38.92485,25.226923,209.20001,209.20001,0.0,18.391735,33.12,633.17
2022-09-01,rr,roraima,cacari,2.8208,-60.6718,26.626165,33.4895,22.2395,31.756994,39.654007,25.311064,165.9,165.9,0.0,20.87379,38.88,660.83
2022-10-01,rr,roraima,cacari,2.8208,-60.6718,27.028343,33.6895,22.2395,31.860144,39.427296,26.20612,139.9,139.9,0.0,22.238562,38.88,657.6
2022-11-01,rr,roraima,cacari,2.8208,-60.6718,26.239986,32.4395,21.189499,30.854406,38.891468,24.828152,215.40001,215.40001,0.0,16.92383,34.2,565.17
2022-12-01,rr,roraima,cacari,2.8208,-60.6718,26.040306,31.1395,21.8895,29.524815,36.476997,22.963535,151.0,151.0,0.0,22.66857,43.92,606.23
2023-01-01,rr,roraima,cacari,2.8208,-60.6718,25.579622,32.2395,21.3895,28.758001,35.22158,22.755144,208.0,208.0,0.0,24.063513,43.92,612.58
2023-02-01,rr,roraima,cacari,2.8208,-60.6718,26.449022,32.7895,22.439499,29.402342,37.820244,24.418129,93.9,93.9,0.0,21.868332,47.519997,563.47
2023-03-01,rr,roraima,cacari,2.8208,-60.6718,28.527538,35.7895,23.0895,30.513908,39.11453,23.677528,26.700003,26.700003,0.0,25.661207,49.32,709.56
2023-04-01,rr,roraima,cacari,2.8208,-60.6718,27.836723,35.6895,21.5395,31.032808,40.54037,25.102964,211.3,211.3,0.0,26.61323,50.399998,595.14
2023-05-01,rr,roraima,cacari,2.8208,-60.6718,26.434057,32.9395,22.8395,31.071264,37.833397,25.455181,376.30002,376.30002,0.0,24.344624,45.36,551.66
2023-06-01,rr,roraima,cacari,2.8208,-60.6718,25.805681,31.8895,20.7395,30.659323,38.193325,24.380692,322.19998,322.19998,0.0,18.837322,39.6,541.04
2023-07-01,rr,roraima,cacari,2.8208,-60.6718,26.098707,31.8895,22.439499,30.996517,37.806053,26.532108,227.40001,227.40001,0.0,19.559633,38.16,606.13
2023-08-01,rr,roraima,cacari,2.8208,-60.6718,27.973167,35.3395,22.6395,32.67596,40.518036,25.554594,47.899998,47.899998,0.0,20.721119,37.44,717.08
2023-09-01,rr,roraima,cacari,2.8208,-60.6718,30.144222,37.2895,23.5395,33.73203,43.451164,26.504974,26.5,26.5,0.0,21.603,44.639996,714.25
2023-10-01,rr,roraima,cacari,2.8208,-60.6718,30.051596,38.4895,23.0895,33.763714,41.988808,26.948288,58.200005,58.200005,0.0,19.33639,38.519997,723.38
2023-11-01,rr,roraima,cacari,2.8208,-60.6718,30.210264,36.6395,23.8895,33.49073,41.255917,26.552668,14.3,14.3,0.0,22.238562,45.36,673.84
2023-12-01,rr,roraima,cacari,2.8208,-60.6718,29.632915,36.2395,22.7395,32.703957,40.468674,26.020222,56.6,56.6,0.0,20.746122,42.48,654.95
2024-01-01,rr,roraima,cacari,2.8208,-60.6718,30.213022,37.5395,23.5895,31.622976,39.748188,25.719873,39.0,39.0,0.0,26.434887,50.399998,672.77
2024-02-01,rr,roraima,cacari,2.8208,-60.6718,30.828436,37.9895,24.0395,32.500885,41.162178,25.44891,10.8,10.8,0.0,26.178707,51.839996,674.59
2024-03-01,rr,roraima,cacari,2.8208,-60.6718,31.545214,39.1895,24.0895,33.65816,42.48645,27.136166,26.300001,26.300001,0.0,26.282463,49.32,725.75
2024-04-01,rr,roraima,cacari,2.8208,-60.6718,28.82721,38.2395,22.3895,32.346687,40.970985,26.722843,120.200005,120.200005,0.0,22.915916,48.239998,614.81
2024-05-01,rr,roraima,cacari,2.8208,-60.6718,26.284662,32.6395,22.8395,31.534338,38.690117,27.298765,604.9,604.9,0.0,22.553936,41.039997,477.05
2024-06-01,rr,roraima,cacari,2.8208,-60.6718,25.85304,31.8395,21.939499,30.966593,38.182518,25.992453,411.7,411.7,0.0,16.676977,36.0,520.66
2024-07-01,rr,roraima,cacari,2.8208,-60.6718,25.851395,31.439499,21.7395,30.984516,38.830875,25.52898,326.2,326.2,0.0,17.388409,41.039997,571.08997
2024-08-01,rr,roraima,cacari,2.8208,-60.6718,27.082108,33.6895,22.5895,32.08887,39.70879,25.817282,121.0,121.0,0.0,17.068707,37.8,684.32
2024-09-01,rr,roraima,cacari,2.8208,-60.6718,29.463667,36.1395,23.5395,33.69137,40.86114,27.047926,36.4,36.4,0.0,19.083395,41.039997,699.15
2024-10-01,rr,roraima,cacari,2.8208,-60.6718,30.109997,36.1895,23.8395,33.644432,40.797676,26.228796,6.4,6.4,0.0,20.871464,42.48,734.62
2024-11-01,rr,roraima,cacari,2.8208,-60.6718,29.966515,36.3395,23.3395,33.49682,41.172394,26.359064,30.8,30.8,0.0,22.180935,43.199997,645.02
2024-12-01,rr,roraima,cacari,2.8208,-60.6718,29.241247,35.2895,23.0895,31.944412,39.422157,26.188723,48.7,48.7,0.0,24.66197,49.68,624.66
2025-01-01,rr,roraima,cacari,2.8208,-60.6718,28.44266,35.7895,22.439499,30.58097,38.78551,25.388584,56.600006,56.600006,0.0,24.162947,51.839996,644.26
2025-02-01,rr,roraima,cacari,2.8208,-60.6718,27.618073,35.1895,22.9895,30.306364,38.21735,24.992327,80.2,80.2,0.0,24.48,52.199997,572.45
2025-03-01,rr,roraima,cacari,2.8208,-60.6718,27.79091,36.2395,22.3395,30.833694,40.211033,25.188005,125.90001,125.90001,0.0,24.31333,51.839996,662.5
2025-04-01,rr,roraima,cacari,2.8208,-60.6718,26.850264,32.8895,22.8895,31.134853,38.47068,26.502035,254.5,254.5,0.0,22.998478,49.32,556.76
2025-05-01,rr,roraima,cacari,2.8208,-60.6718,26.030159,32.3395,22.689499,30.790348,38.68863,26.278841,379.2,379.2,0.0,17.714231,39.96,498.43
2025-06-01,rr,roraima,cacari,2.8208,-60.6718,25.975471,32.0395,21.5395,30.480114,37.513596,25.560514,286.30002,286.30002,0.0,21.72638,45.0,520.48
2025-07-01,rr,roraima,cacari,2.8208,-60.6718,25.565979,31.7395,21.2395,30.102018,37.999725,25.09295,326.2,326.2,0.0,16.188995,37.079998,542.77
2025-08-01,rr,roraima,cacari,2.8208,-60.6718,26.819273,33.0395,22.0395,31.321156,39.40818,25.352098,106.700005,106.700005,0.0,21.840164,49.32,648.47003
2025-09-01,rr,roraima,cacari,2.8208,-60.6718,28.859919,37.2395,22.939499,32.90088,41.157726,26.584938,62.3,62.3,0.0,17.441433,38.88,671.33
2025-10-01,rr,roraima,cacari,2.8208,-60.6718,27.775522,35.4895,22.3895,32.26557,40.425472,26.10676,172.3,172.3,0.0,18.678415,46.079998,648.82
2025-11-01,rr,roraima,cacari,2.8208,-60.6718,28.023806,34.5895,22.3895,31.87633,39.15508,25.892874,122.200005,122.200005,0.0,20.868359,44.639996,613.11
2025-12-01,rr,roraima,cacari,2.8208,-60.6718,26.127,30.6395,22.939499,31.260317,36.933872,27.962872,8.4,8.4,0.0,13.060857,30.239998,16.39
