date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,26.97133,39.1675,18.417501,29.549221,44.03438,19.073223,93.00001,93.00001,0.0,35.747112,65.520004,788.67
2022-02-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,24.877842,36.567497,14.617499,27.294586,40.97238,14.55839,118.600006,118.600006,0.0,29.301876,60.120003,673.65
2022-03-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,22.574959,34.317497,10.5175,24.306519,40.43966,7.935087,166.69998,166.69998,0.0,32.136932,59.039997,543.74
2022-04-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,19.414236,32.567497,11.117499,20.251612,36.27435,9.814333,111.6,111.6,0.0,34.268143,65.159996,420.87
2022-05-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,15.282957,26.6175,3.5674999,14.64496,28.0518,0.8739958,173.7,173.7,0.0,47.82583,81.72,307.16
2022-06-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,12.533818,21.9675,2.5175,11.165953,23.866667,-0.7392354,136.2,136.2,0.0,28.174456,49.32,255.57
2022-07-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,16.008762,27.417501,6.2175,15.696053,29.475704,3.6467476,169.8,169.8,0.0,36.233242,66.24,302.3
2022-08-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,14.499691,29.817501,3.7175,13.41202,31.327106,0.8171568,99.200005,99.200005,0.0,34.247337,64.799995,373.46
2022-09-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,15.9375,29.417501,5.4175,14.877103,31.216,3.2900925,86.200005,86.200005,0.0,39.205303,68.03999,497.74
2022-10-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,18.46481,32.9675,10.0175,18.180843,35.515884,8.190551,142.5,142.5,0.0,35.821354,61.56,571.02
2022-11-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,20.907846,32.4675,8.6675,21.005207,34.687374,5.4170322,56.2,56.2,0.0,32.19938,55.44,755.47
2022-12-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,23.985376,36.017498,16.317501,25.240768,40.44892,16.408436,106.2,106.2,0.0,31.212229,54.0,826.12
2023-01-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,26.094181,36.9175,19.0175,28.46652,40.750893,20.66795,77.9,77.9,0.0,29.01743,50.399998,822.12
2023-02-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,24.953066,37.767498,14.2175,26.978271,39.312702,11.092915,75.1,75.1,0.0,26.552288,48.96,647.74
2023-03-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,25.1923,34.6675,16.6175,27.986767,38.826065,17.458118,108.5,108.5,0.0,27.416782,48.96,607.03
2023-04-01,rs,rio grande do sul,passo da areia,-30.0346,-51.2177,20.601736,32.517498,10.1675,20.761278,32.911114,7.9766064,23.8,23.8,0.0,38.243114,66.24,453.3
