date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,sc,santa catarina,centro,-26.9046,-49.0679,25.529314,35.1525,16.4525,29.717932,43.248917,17.595705,175.8,175.8,0.0,19.296133,39.96,695.1
2022-02-01,sc,santa catarina,centro,-26.9046,-49.0679,24.993942,34.0525,17.0525,29.050192,40.67386,18.324186,99.3,99.3,0.0,19.201874,48.6,651.79
2022-03-01,sc,santa catarina,centro,-26.9046,-49.0679,24.0234,33.452503,16.2525,27.996471,41.815536,16.942028,201.3,201.3,0.0,19.296133,44.28,499.9
2022-04-01,sc,santa catarina,centro,-26.9046,-49.0679,21.034582,32.3025,11.6025,23.58957,37.075584,10.007927,100.8,100.8,0.0,19.809813,38.88,390.18
2022-05-01,sc,santa catarina,centro,-26.9046,-49.0679,17.746922,26.0525,7.6025,18.444695,30.901608,5.657156,185.5,185.5,0.0,34.56187,68.76,354.09
2022-06-01,sc,santa catarina,centro,-26.9046,-49.0679,15.953818,24.5525,7.3025,16.285997,27.980446,3.2320375,118.0,118.0,0.0,25.809765,51.839996,273.76
2022-07-01,sc,santa catarina,centro,-26.9046,-49.0679,18.335026,28.602499,7.1525,19.43201,31.140194,5.2553005,26.600002,26.600002,0.0,23.510508,47.519997,351.15
2022-08-01,sc,santa catarina,centro,-26.9046,-49.0679,16.921047,26.4025,4.1025,17.52689,30.421768,1.7643647,215.50002,215.50002,0.0,20.532627,41.039997,348.72
2022-09-01,sc,santa catarina,centro,-26.9046,-49.0679,17.45007,33.6525,8.0025,18.017254,38.52051,5.631851,136.5,136.5,0.0,24.86868,49.68,387.36002
2022-10-01,sc,santa catarina,centro,-26.9046,-49.0679,20.620174,30.602499,11.1525,22.594944,34.86865,10.149988,203.40001,203.40001,0.0,24.819122,50.039997,503.38
2022-11-01,sc,santa catarina,centro,-26.9046,-49.0679,20.579166,30.7525,9.8525,22.245626,35.92317,8.891815,158.3,158.3,0.0,22.805367,43.92,614.44
2022-12-01,sc,santa catarina,centro,-26.9046,-49.0679,23.5275,34.8525,15.702499,26.960913,41.59358,15.961763,274.4,274.4,0.0,22.33161,43.92,674.52
2023-01-01,sc,santa catarina,centro,-26.9046,-49.0679,24.407001,32.6525,15.7525,28.649973,40.705544,16.608852,309.30002,309.30002,0.0,19.914217,39.6,697.31
2023-02-01,sc,santa catarina,centro,-26.9046,-49.0679,24.366339,33.002502,14.202499,28.42274,40.052483,13.670969,263.6,263.6,0.0,20.240196,42.12,566.72
2023-03-01,sc,santa catarina,centro,-26.9046,-49.0679,24.356464,33.452503,17.9525,28.539644,39.079437,20.024895,206.5,206.5,0.0,19.483284,42.48,556.02997
2023-04-01,sc,santa catarina,centro,-26.9046,-49.0679,20.885693,30.2025,10.4025,23.118511,34.44056,9.5263,122.5,122.5,0.0,27.238941,52.92,441.66998
2023-05-01,sc,santa catarina,centro,-26.9046,-49.0679,19.505255,28.4525,9.8025,21.217798,33.000843,8.229336,33.800003,33.800003,0.0,14.565548,28.44,390.29
2023-06-01,sc,santa catarina,centro,-26.9046,-49.0679,17.175346,29.0025,5.8525,17.720087,31.36023,3.6070423,170.0,170.0,0.0,23.266697,46.44,324.03
2023-07-01,sc,santa catarina,centro,-26.9046,-49.0679,17.268965,27.7525,9.202499,18.213337,31.382061,7.9808044,114.9,114.9,0.0,41.12517,82.439995,291.67
2023-08-01,sc,santa catarina,centro,-26.9046,-49.0679,18.431665,32.752502,8.702499,19.676271,38.004086,7.430361,91.9,91.9,0.0,21.611996,50.399998,387.63
