date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,sc,santa catarina,saco grande,-27.5957,-48.548,25.394062,33.6155,19.9655,28.485056,41.124725,20.42087,91.4,91.4,0.0,34.292713,69.84,739.79
2022-02-01,sc,santa catarina,saco grande,-27.5957,-48.548,25.025396,33.0155,18.3155,28.181044,39.7809,20.367455,96.0,96.0,0.0,25.282152,51.48,661.82
2022-03-01,sc,santa catarina,saco grande,-27.5957,-48.548,24.255823,32.9655,17.2155,26.908588,38.445103,14.180384,173.1,173.1,0.0,31.68818,63.36,526.01
2022-04-01,sc,santa catarina,saco grande,-27.5957,-48.548,21.31203,32.315502,13.315499,22.765617,35.02728,12.894619,82.299995,82.299995,0.0,28.623962,58.32,399.41998
2022-05-01,sc,santa catarina,saco grande,-27.5957,-48.548,18.041374,24.8155,10.1154995,18.015451,27.451,7.481513,273.2,273.2,0.0,31.569351,61.56,362.67
2022-06-01,sc,santa catarina,saco grande,-27.5957,-48.548,15.885986,24.115501,8.4155,15.482551,26.914173,4.970042,106.1,106.1,0.0,31.353085,60.839996,273.41
2022-07-01,sc,santa catarina,saco grande,-27.5957,-48.548,17.751522,28.515501,9.2655,17.92265,29.494179,8.009966,22.6,22.6,0.0,28.04305,59.039997,349.75
2022-08-01,sc,santa catarina,saco grande,-27.5957,-48.548,16.687206,23.6655,8.6655,16.197721,25.150665,5.8405704,230.2,230.2,0.0,39.12754,76.67999,377.08
2022-09-01,sc,santa catarina,saco grande,-27.5957,-48.548,17.258833,30.5655,7.8655,16.783587,33.094566,5.818239,90.200005,90.200005,0.0,33.1845,65.88,462.94
2022-10-01,sc,santa catarina,saco grande,-27.5957,-48.548,19.83647,32.8655,12.1655,20.622051,35.51578,11.658035,194.6,194.6,0.0,40.321606,87.12,544.35
2022-11-01,sc,santa catarina,saco grande,-27.5957,-48.548,20.469044,28.4155,12.7655,21.071768,31.622837,11.387354,221.3,221.3,0.0,31.328272,63.36,621.21
2022-12-01,sc,santa catarina,saco grande,-27.5957,-48.548,23.329346,36.0155,16.265501,25.46401,42.530136,17.287033,301.19998,301.19998,0.0,37.022285,73.799995,696.32
2023-01-01,sc,santa catarina,saco grande,-27.5957,-48.548,24.776455,32.1155,18.4155,28.09223,38.11654,20.613718,152.0,152.0,0.0,29.522196,58.32,725.01
2023-02-01,sc,santa catarina,saco grande,-27.5957,-48.548,24.565502,33.565502,17.6655,27.914965,36.847927,16.826023,258.1,258.1,0.0,33.790176,68.4,582.02
2023-03-01,sc,santa catarina,saco grande,-27.5957,-48.548,24.728807,32.2655,19.4155,28.21074,38.258694,21.57947,115.9,115.9,0.0,27.288855,53.639996,605.25
2023-04-01,sc,santa catarina,saco grande,-27.5957,-48.548,21.345848,30.0655,13.9655,22.77373,33.26674,12.477182,88.8,88.8,0.0,33.26252,66.24,449.64
2023-05-01,sc,santa catarina,saco grande,-27.5957,-48.548,19.968727,28.515501,13.2155,21.015175,32.165665,12.722342,34.3,34.3,0.0,25.982424,52.199997,399.5
2023-06-01,sc,santa catarina,saco grande,-27.5957,-48.548,18.023695,28.9155,10.6154995,17.90345,30.017536,9.631541,121.100006,121.100006,0.0,30.608469,56.88,321.85
2023-07-01,sc,santa catarina,saco grande,-27.5957,-48.548,17.166508,27.3155,9.8654995,16.996181,28.394524,8.121669,93.8,93.8,0.0,37.731365,75.6,315.57
2023-08-01,sc,santa catarina,saco grande,-27.5957,-48.548,17.804277,29.865501,8.5155,17.482296,31.732353,6.565464,75.2,75.2,0.0,41.442238,77.76,400.31
2023-09-01,sc,santa catarina,saco grande,-27.5957,-48.548,20.09675,31.7155,10.1655,20.904879,36.894054,8.771389,110.299995,110.299995,0.0,36.061146,68.4,440.5
2023-10-01,sc,santa catarina,saco grande,-27.5957,-48.548,19.599573,28.8155,13.6655,20.204422,34.830536,13.106279,365.69998,365.69998,0.0,33.81126,62.279995,372.94
2023-11-01,sc,santa catarina,saco grande,-27.5957,-48.548,21.984806,31.6655,12.1655,23.662336,36.4671,11.423944,254.3,254.3,0.0,35.105072,65.88,572.7
2023-12-01,sc,santa catarina,saco grande,-27.5957,-48.548,24.698698,35.315502,18.8155,27.117428,39.00907,18.727427,62.1,62.1,0.0,37.99322,70.56,711.28
2024-01-01,sc,santa catarina,saco grande,-27.5957,-48.548,24.217785,35.3655,18.5655,26.887278,42.878967,18.77976,216.5,216.5,0.0,31.956972,59.76,647.76
2024-02-01,sc,santa catarina,saco grande,-27.5957,-48.548,25.40602,35.1155,20.015501,29.22892,41.097385,21.26464,146.5,146.5,0.0,24.216522,47.519997,619.25
2024-03-01,sc,santa catarina,saco grande,-27.5957,-48.548,24.609385,33.5155,19.4155,27.54257,39.498596,19.967838,141.20001,141.20001,0.0,33.709534,64.439995,590.84
2024-04-01,sc,santa catarina,saco grande,-27.5957,-48.548,23.138834,32.565502,14.6154995,25.280293,35.815662,13.43051,262.40002,262.40002,0.0,29.68636,55.079998,393.8
2024-05-01,sc,santa catarina,saco grande,-27.5957,-48.548,19.626926,31.7155,10.2155,20.547472,34.594944,8.810621,167.90001,167.90001,0.0,30.54701,56.16,319.91
2024-06-01,sc,santa catarina,saco grande,-27.5957,-48.548,18.543417,30.765501,8.5155,19.139683,32.074524,6.0558567,71.2,71.2,0.0,36.57855,67.32,318.13
2024-07-01,sc,santa catarina,saco grande,-27.5957,-48.548,15.431697,27.0655,7.2155004,14.774794,29.469902,4.802784,183.3,183.3,0.0,32.072342,60.839996,306.81
2024-08-01,sc,santa catarina,saco grande,-27.5957,-48.548,16.575312,28.6655,6.0155,16.23139,32.188175,3.0199714,28.199999,28.199999,0.0,31.367552,58.32,431.7
2024-09-01,sc,santa catarina,saco grande,-27.5957,-48.548,19.548973,33.815502,8.9155,20.09405,36.785347,7.46439,68.4,68.4,0.0,34.926025,63.36,478.77
2024-10-01,sc,santa catarina,saco grande,-27.5957,-48.548,20.973162,30.0655,14.0155,21.995838,35.49773,13.01688,152.40001,152.40001,0.0,39.640884,74.520004,564.0
2024-11-01,sc,santa catarina,saco grande,-27.5957,-48.548,22.434528,30.5655,14.1154995,24.282997,35.74567,13.816591,171.6,171.6,0.0,35.137363,72.0,552.1
2024-12-01,sc,santa catarina,saco grande,-27.5957,-48.548,22.5487,33.0155,17.4655,24.598423,36.413788,17.492756,180.8,180.8,0.0,34.571716,84.24,630.52
2025-01-01,sc,santa catarina,saco grande,-27.5957,-48.548,24.509386,34.2155,18.7155,27.798279,40.87112,20.413748,104.7,104.7,0.0,23.933908,54.719997,679.19
2025-02-01,sc,santa catarina,saco grande,-27.5957,-48.548,26.19385,36.7655,21.365501,30.5088,43.544834,24.270748,105.0,105.0,0.0,27.790623,64.079994,608.83
2025-03-01,sc,santa catarina,saco grande,-27.5957,-48.548,25.074036,33.3655,17.4155,28.066395,38.71546,18.399496,77.1,77.1,0.0,25.837994,57.6,620.08
2025-04-01,sc,santa catarina,saco grande,-27.5957,-48.548,21.466959,30.765501,13.565499,22.983187,34.66972,12.808762,121.7,121.7,0.0,32.800034,71.64,446.03
2025-05-01,sc,santa catarina,saco grande,-27.5957,-48.548,19.930555,30.5655,10.9655,20.971453,32.097492,8.968928,41.9,41.9,0.0,24.482647,54.719997,372.32
2025-06-01,sc,santa catarina,saco grande,-27.5957,-48.548,16.64814,24.4655,5.4155,16.505758,26.95327,2.1995163,110.5,110.5,0.0,28.357857,61.920002,282.77
2025-07-01,sc,santa catarina,saco grande,-27.5957,-48.548,15.054748,23.6655,5.3155003,14.570976,24.108383,3.0038586,25.400002,25.400002,0.0,25.344229,57.239998,390.19
2025-08-01,sc,santa catarina,saco grande,-27.5957,-48.548,16.22202,30.115501,8.065499,16.027132,34.020863,5.5470486,115.90001,115.90001,0.0,31.615503,67.67999,363.86
2025-09-01,sc,santa catarina,saco grande,-27.5957,-48.548,18.013834,28.5655,11.1154995,18.272772,32.655113,9.403083,142.90001,142.90001,0.0,27.887802,61.920002,439.57
2025-10-01,sc,santa catarina,saco grande,-27.5957,-48.548,19.466911,27.515501,13.2655,19.978203,31.266045,12.205503,191.09999,191.09999,0.0,36.943874,84.6,495.29
2025-11-01,sc,santa catarina,saco grande,-27.5957,-48.548,20.350569,31.015501,12.565499,21.382935,36.716274,11.713348,106.6,106.6,0.0,36.48143,79.56,614.32
2025-12-01,sc,santa catarina,saco grande,-27.5957,-48.548,21.036333,22.765501,19.6655,23.638994,24.867655,22.416006,11.2,11.2,0.0,15.655861,35.28,9.18
