date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,se,sergipe,dis,-10.9179,-37.0731,26.609282,30.074001,21.674002,30.197481,35.633747,25.069813,116.700005,116.700005,0.0,24.693481,46.44,736.88
2022-02-01,se,sergipe,dis,-10.9179,-37.0731,27.451082,31.524,23.424002,30.940563,35.4532,25.67597,37.899998,37.899998,0.0,25.56,47.519997,728.14
2022-03-01,se,sergipe,dis,-10.9179,-37.0731,26.73623,30.024,22.574001,30.560377,35.6573,26.226404,176.90001,176.90001,0.0,22.86496,42.12,700.96
2022-04-01,se,sergipe,dis,-10.9179,-37.0731,26.765806,33.573997,22.274,30.372643,39.088314,25.420942,149.2,149.2,0.0,24.18707,45.0,640.08
2022-05-01,se,sergipe,dis,-10.9179,-37.0731,25.896782,33.974,22.174002,28.916384,36.628246,24.757235,216.1,216.1,0.0,26.044699,46.8,527.92
2022-06-01,se,sergipe,dis,-10.9179,-37.0731,24.331501,27.474,20.174002,26.823128,32.736523,22.247068,191.59999,191.59999,0.0,29.44307,51.48,425.06
2022-07-01,se,sergipe,dis,-10.9179,-37.0731,23.951015,27.074001,20.374,25.818958,30.861488,22.446703,160.6,160.6,0.0,27.103003,49.68,479.65
2022-08-01,se,sergipe,dis,-10.9179,-37.0731,23.881393,27.574001,19.624,25.431194,31.806744,21.342579,121.700005,121.700005,0.0,28.664682,50.76,570.15
2022-09-01,se,sergipe,dis,-10.9179,-37.0731,24.20004,28.274,20.374,26.457863,32.000916,22.093632,80.6,80.6,0.0,25.959969,48.239998,656.55
2022-10-01,se,sergipe,dis,-10.9179,-37.0731,25.638046,28.674002,19.974,28.025845,32.962883,22.433117,74.6,74.6,0.0,25.509243,46.44,752.62
2022-11-01,se,sergipe,dis,-10.9179,-37.0731,25.806152,29.724,22.074001,29.03562,34.55119,23.498617,188.6,188.6,0.0,27.112564,50.399998,665.4
2022-12-01,se,sergipe,dis,-10.9179,-37.0731,26.205854,31.474,22.574001,29.364037,36.151276,25.69008,63.3,63.3,0.0,28.174456,51.12,762.7
2023-01-01,se,sergipe,dis,-10.9179,-37.0731,26.630116,30.374,22.874,29.799404,34.86866,25.98684,60.5,60.5,0.0,23.933907,43.92,780.95
2023-02-01,se,sergipe,dis,-10.9179,-37.0731,26.954432,30.474,23.074001,30.399273,35.486,26.481987,73.9,73.9,0.0,22.3229,42.48,682.89
2023-03-01,se,sergipe,dis,-10.9179,-37.0731,26.52447,30.924002,22.424002,30.21247,35.37811,25.757032,140.0,140.0,0.0,24.248613,45.36,706.72
2023-04-01,se,sergipe,dis,-10.9179,-37.0731,26.311985,32.073997,22.624,30.416044,38.066727,25.725344,125.4,125.4,0.0,23.377836,42.48,615.17
2023-05-01,se,sergipe,dis,-10.9179,-37.0731,25.700008,29.424002,22.824001,29.440226,34.85371,25.692411,217.6,217.6,0.0,23.051247,41.760002,506.6
2023-06-01,se,sergipe,dis,-10.9179,-37.0731,24.70511,27.574001,21.174002,27.541456,32.522774,23.920233,235.0,235.0,0.0,24.567198,45.36,421.51
2023-07-01,se,sergipe,dis,-10.9179,-37.0731,24.34208,27.424002,20.374,26.61176,32.129696,22.86149,106.700005,106.700005,0.0,26.368616,50.76,533.95
2023-08-01,se,sergipe,dis,-10.9179,-37.0731,24.568018,28.724,20.474,27.111565,34.292435,22.818527,102.5,102.5,0.0,22.565422,42.48,601.35
2023-09-01,se,sergipe,dis,-10.9179,-37.0731,25.216917,29.424002,21.074001,27.504663,33.31253,23.640106,59.3,59.3,0.0,26.6327,50.76,665.22
2023-10-01,se,sergipe,dis,-10.9179,-37.0731,26.026419,30.824001,21.074001,28.503178,34.664524,23.65944,46.100002,46.100002,0.0,31.367552,59.76,765.31
2023-11-01,se,sergipe,dis,-10.9179,-37.0731,26.831501,30.474,22.124,29.608187,34.620434,25.048025,37.6,37.6,0.0,29.69727,55.44,774.79
2023-12-01,se,sergipe,dis,-10.9179,-37.0731,26.965734,31.674002,22.824001,30.237156,36.460983,26.557152,74.8,74.8,0.0,27.852928,52.199997,765.46
2024-01-01,se,sergipe,dis,-10.9179,-37.0731,27.405787,34.323997,22.324001,31.219946,40.225193,26.144434,80.5,80.5,0.0,27.466372,50.039997,780.91
2024-02-01,se,sergipe,dis,-10.9179,-37.0731,27.674501,32.424,23.674002,31.726517,38.39354,25.864212,116.3,116.3,0.0,26.009844,51.12,695.63
2024-03-01,se,sergipe,dis,-10.9179,-37.0731,28.351688,32.774,23.574001,32.61404,39.971226,28.086655,117.2,117.2,0.0,23.4,45.719997,750.59
2024-04-01,se,sergipe,dis,-10.9179,-37.0731,27.292196,31.674002,23.574001,31.8706,37.552498,27.46042,111.1,111.1,0.0,21.252197,40.32,619.64
2024-05-01,se,sergipe,dis,-10.9179,-37.0731,26.07326,29.974,22.024,29.796604,36.180065,24.918205,223.7,223.7,0.0,26.242987,45.36,525.83
2024-06-01,se,sergipe,dis,-10.9179,-37.0731,24.81018,28.274,18.224,27.53541,33.04167,19.439253,172.6,172.6,0.0,25.7041,48.239998,481.71
2024-07-01,se,sergipe,dis,-10.9179,-37.0731,24.513113,27.324001,20.574001,26.527088,31.337914,23.658957,96.6,96.6,0.0,25.603062,47.16,558.11
2024-08-01,se,sergipe,dis,-10.9179,-37.0731,24.472118,28.374,18.974,26.303074,31.812092,20.639658,57.0,57.0,0.0,28.03612,51.12,636.51
2024-09-01,se,sergipe,dis,-10.9179,-37.0731,25.042542,28.424002,20.424002,26.805225,31.87363,22.925676,42.699997,42.699997,0.0,25.603062,48.239998,695.67
2024-10-01,se,sergipe,dis,-10.9179,-37.0731,26.087238,30.174002,20.774,28.471348,33.329926,23.093578,27.300001,27.300001,0.0,30.215347,57.6,768.72003
2024-11-01,se,sergipe,dis,-10.9179,-37.0731,26.683445,30.924002,23.174002,29.221373,36.4006,25.739918,36.9,36.9,0.0,29.83931,57.6,748.38
2024-12-01,se,sergipe,dis,-10.9179,-37.0731,27.245642,30.324001,23.974,30.104673,35.40236,27.024736,28.7,28.7,0.0,24.310663,55.079998,805.15
2025-01-01,se,sergipe,dis,-10.9179,-37.0731,27.162373,30.974,23.124,30.867859,37.01591,27.284016,117.7,117.7,0.0,23.365358,54.36,753.29
