date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,21.8754,31.5045,16.404501,23.914331,35.684765,16.547665,276.4,276.4,0.0,31.079075,49.32,636.71
2022-02-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,21.558071,30.6045,15.0045,23.365246,34.079193,15.237894,96.7,96.7,0.0,27.381308,45.36,654.58
2022-03-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,22.401745,31.4545,14.3545,24.320538,34.443123,13.114216,154.7,154.7,0.0,35.66908,56.519997,616.7
2022-04-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,19.76957,30.154501,12.0045,20.334126,30.900696,11.226761,53.6,53.6,0.0,48.824814,77.76,506.36
2022-05-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,16.706783,28.6045,6.3045,15.534819,28.551086,-0.2747593,31.399998,31.399998,0.0,45.91235,73.079994,447.21
2022-06-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,15.753249,25.5545,7.8045,14.966796,24.794634,4.7407,46.4,46.4,0.0,38.439167,61.56,368.14
2022-07-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,17.556448,27.904501,7.3545003,16.323462,26.82156,5.556054,6.3,6.3,0.0,30.911821,50.399998,470.45
2022-08-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,16.07493,28.654501,8.804501,14.423117,27.338816,3.7654667,39.8,39.8,0.0,43.79589,73.079994,443.46
2022-09-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,16.147278,31.3045,7.6545,14.927714,30.388733,5.5106583,116.7,116.7,0.0,28.410364,47.16,453.88
2022-10-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,19.503223,31.8545,12.1045,20.082037,32.15592,11.317569,123.0,123.0,0.0,40.199284,64.079994,602.4
2022-11-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,18.091166,29.9545,10.0045,17.971128,32.061615,8.201256,126.3,126.3,0.0,32.744175,56.16,686.3
2022-12-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,20.468813,30.5045,13.554501,21.54573,34.030262,12.861141,228.1,228.1,0.0,33.971867,55.44,658.62
2023-01-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,21.17204,29.3045,15.054501,22.672935,33.828583,14.784201,230.6,230.6,0.0,33.84766,52.199997,650.95
2023-02-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,21.940289,28.6045,16.2045,23.690039,33.200245,15.63826,249.1,249.1,0.0,39.24,62.639996,539.13
2023-03-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,21.659807,29.8545,15.4545,23.663052,32.72119,15.811377,184.3,184.3,0.0,29.46287,50.76,647.29
2023-04-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,18.714083,27.5045,9.9045,19.189676,29.456745,8.723396,92.4,92.4,0.0,33.933697,60.479996,486.75
2023-05-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,17.360548,26.654501,8.9045,17.373926,28.976395,7.341551,43.999996,43.999996,0.0,27.288855,42.48,457.31
2023-06-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,15.793805,26.3045,7.7045,15.004253,25.4021,5.3950195,25.4,25.4,0.0,31.255795,50.399998,402.34
2023-07-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,16.258398,27.0045,7.2545004,15.179039,26.129595,5.3261585,23.800001,23.800001,0.0,49.670868,77.03999,420.98
2023-08-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,18.006111,31.3045,10.054501,17.160133,28.920067,8.167671,42.899998,42.899998,0.0,35.413826,59.399998,462.97
2023-09-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,21.277348,35.9045,7.7045,21.338062,36.428104,6.3138933,69.0,69.0,0.0,35.188046,63.0,548.82
2023-10-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,20.596167,31.8045,14.304501,21.586468,33.891525,12.45586,174.20001,174.20001,0.0,36.217144,62.279995,520.48
2023-11-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,22.427555,36.3545,12.4545,23.364887,37.85343,11.283438,139.0,139.0,0.0,34.44167,64.439995,675.68
2023-12-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,22.805172,34.1545,14.7045,24.513342,37.487663,15.00654,84.200005,84.200005,0.0,29.76484,50.039997,800.05
2024-01-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,22.362026,32.504498,14.9545,23.969162,37.06537,14.949717,204.6,204.6,0.0,30.351225,49.68,693.67
2024-02-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,22.348753,32.504498,15.7545,24.69184,34.479885,16.762226,204.3,204.3,0.0,26.712873,52.199997,619.58997
2024-03-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,22.088707,31.5545,15.4545,24.243172,34.593365,15.937904,112.3,112.3,0.0,32.886345,54.36,618.81
2024-04-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,21.05832,30.0045,12.054501,22.456312,33.6733,11.391134,54.899998,54.899998,0.0,23.617756,41.039997,530.64
2024-05-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,20.234337,30.8545,7.3545003,19.949657,31.515038,5.732563,38.3,38.3,0.0,35.64182,58.32,454.0
2024-06-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,18.062624,27.5545,9.054501,17.039383,25.919952,7.3605022,6.5,6.5,0.0,31.160282,52.199997,428.12
2024-07-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,16.082792,27.154501,7.4545,15.383904,26.805546,5.97313,41.6,41.6,0.0,24.27265,46.8,409.93
2024-08-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,16.856987,31.8545,2.7045,15.650996,29.66571,-0.709815,55.4,55.4,0.0,31.559086,52.56,540.52
2024-09-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,21.265125,35.554497,11.9045,20.847303,34.695595,11.066578,15.200003,15.200003,0.0,27.672037,50.039997,596.92
2024-10-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,19.947847,36.1045,13.304501,20.137074,34.85911,12.637583,96.4,96.4,0.0,42.620865,69.12,592.84
2024-11-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,21.373457,34.254498,12.9045,22.559605,36.183125,12.853142,203.3,203.3,0.0,29.18943,48.6,594.52
2024-12-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,22.30309,32.004498,15.9545,24.35054,35.1217,16.698921,236.90001,236.90001,0.0,22.621351,57.239998,654.95
2025-01-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,22.85282,33.8545,16.0545,25.141119,36.294838,16.709377,297.30002,297.30002,0.0,20.256998,53.639996,696.27
2025-02-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,24.794977,34.754498,19.3045,27.523376,36.670338,21.75726,145.6,145.6,0.0,19.091883,47.519997,650.14
2025-03-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,22.83595,34.554497,16.1045,25.112062,36.15323,17.19914,112.0,112.0,0.0,17.555307,48.96,647.89
2025-04-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,20.139082,29.654501,14.6545,21.608145,32.72604,14.73638,124.6,124.6,0.0,18.783066,45.36,473.51
2025-05-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,19.164848,29.404501,9.4045,19.381922,29.191181,8.201171,25.2,25.2,0.0,29.363731,69.84,470.16998
2025-06-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,17.047138,26.0545,5.9045,16.797934,26.156363,3.4388623,61.6,61.6,0.0,23.264608,54.719997,358.06
2025-07-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,15.618747,26.6045,7.9045,14.719597,24.99535,5.7403936,8.5,8.5,0.0,29.808346,75.6,438.27
2025-08-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,17.478693,31.5045,7.8045,16.8265,31.042458,6.755556,20.2,20.2,0.0,19.0783,48.239998,500.11
2025-09-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,19.438944,33.554497,10.5045,19.12975,33.443314,8.762747,14.499999,14.499999,0.0,27.265692,72.72,551.34
2025-10-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,19.35786,33.8545,10.0045,19.62865,34.50599,8.081083,137.1,137.1,0.0,22.553934,55.8,559.48
2025-11-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,20.226444,33.304497,12.6045,21.015095,34.8312,11.393586,131.7,131.7,0.0,25.35637,64.079994,650.12
2025-12-01,sp,sao paulo,chacara das flores,-23.5505,-46.6333,23.794083,33.2045,19.3545,25.682474,34.5741,21.171967,0.2,0.2,0.0,13.202726,37.44,24.81
