date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.17607,33.4135,18.5135,27.173992,39.23701,19.176125,216.4,216.4,0.0,21.129883,48.96,630.96
2022-02-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.774586,34.1635,18.0635,27.752424,38.38331,19.61439,100.200005,100.200005,0.0,17.076298,36.719997,608.86
2022-03-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,25.729427,34.3635,19.0135,28.084042,37.945034,18.359613,95.0,95.0,0.0,19.652176,44.28,667.71
2022-04-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.37871,33.2135,12.4135,25.41239,36.83022,10.657839,39.6,39.6,0.0,24.590923,50.399998,583.06
2022-05-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,19.484737,31.4135,6.3635,19.112509,31.07838,4.4345093,34.100002,34.100002,0.0,22.862125,46.8,502.94
2022-06-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,19.5801,29.4135,9.113501,19.240938,30.946228,6.349697,7.3,7.3,0.0,18.25026,34.2,453.37
2022-07-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,21.424454,31.463501,12.2135,19.9874,31.213123,10.197928,0.0,0.0,0.0,25.699057,52.56,530.12
2022-08-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,21.615852,33.0635,9.5635,19.9754,32.895557,7.57168,16.4,16.4,0.0,27.56058,55.8,514.47
2022-09-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,23.156487,36.5635,13.0135,22.6883,35.633366,10.794672,152.3,152.3,0.0,21.868332,45.0,545.25
2022-10-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.533258,34.5635,16.4635,25.64277,36.07731,17.2882,92.0,92.0,0.0,27.155552,52.199997,656.12
2022-11-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,23.782665,34.3635,12.8135,24.430994,36.228436,10.814741,75.4,75.4,0.0,23.006226,61.56,703.79
2022-12-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,23.69186,32.6635,16.713501,26.082088,37.09922,16.529678,294.6,294.6,0.0,20.972897,48.6,672.38
2023-01-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,23.282854,30.463501,17.4135,26.19996,37.177635,17.435856,310.9,310.9,0.0,22.539564,43.92,632.93
2023-02-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.22868,32.3135,19.5135,27.5148,38.887047,20.500675,145.5,145.5,0.0,21.603,47.88,589.37
2023-03-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.554361,32.3635,19.0135,27.40581,36.911533,19.745468,114.0,114.0,0.0,17.873556,47.16,672.05
2023-04-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,22.099543,30.7635,12.613501,23.791994,33.78904,11.375368,95.3,95.3,0.0,24.627789,52.92,542.72
2023-05-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,20.186888,29.7635,11.0635,19.960314,31.648659,9.503612,71.799995,71.799995,0.0,19.917469,41.399998,537.2
2023-06-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,18.00343,28.213501,8.1135,17.623936,28.612782,6.3569384,36.300003,36.300003,0.0,15.188415,30.599998,442.38
2023-07-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,19.620155,29.463501,8.4635,19.05088,30.608555,5.7197227,8.0,8.0,0.0,19.272614,40.32,513.28
2023-08-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,22.282923,33.8135,13.3135,21.985332,34.12579,12.0698395,12.299999,12.299999,0.0,27.682571,57.96,545.29
2023-09-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,26.064888,38.5135,14.9635,26.536566,40.349533,14.5948105,12.9,12.9,0.0,24.387177,47.519997,594.02
2023-10-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,25.724522,34.9135,17.5135,28.502787,38.089394,18.12563,161.1,161.1,0.0,20.188908,51.12,643.07
2023-11-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,26.698431,38.3135,13.7135,28.882668,41.36402,12.9910965,69.6,69.6,0.0,22.691423,52.56,765.1
2023-12-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,27.000463,36.0135,19.9135,29.758995,39.708958,20.970716,87.4,87.4,0.0,20.674158,45.0,809.64
2024-01-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,25.396902,34.7635,16.9135,28.397562,39.949265,17.044903,137.4,137.4,0.0,20.326454,45.719997,735.57
2024-02-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,25.320827,33.6635,18.6635,28.55379,39.9035,20.769676,86.4,86.4,0.0,20.63023,42.839996,643.58
2024-03-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,25.730772,34.8135,19.8635,29.090178,40.594864,19.81295,183.8,183.8,0.0,24.023088,64.799995,612.37
2024-04-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.534473,31.9135,16.4635,26.469015,35.98583,16.43964,16.099998,16.099998,0.0,15.484185,34.2,574.73
2024-05-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,22.998447,32.2135,10.113501,23.348438,33.68145,8.090093,10.5,10.5,0.0,22.065973,46.079998,528.8
2024-06-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,21.45482,30.3635,13.0635,20.61167,30.630657,11.2639475,0.2,0.2,0.0,20.26899,42.12,482.92
2024-07-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,21.26061,31.9135,12.7135,20.151306,30.372108,11.346785,1.4,1.4,0.0,18.844202,40.32,512.34
2024-08-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,22.348043,35.2635,7.2635,20.664028,34.17482,5.5239334,16.900002,16.900002,0.0,36.658184,74.520004,570.88
2024-09-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,27.56621,38.8635,14.4635,26.415945,38.99129,12.50617,7.2,7.2,0.0,23.893261,55.079998,636.34
2024-10-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,26.41155,40.6135,18.713501,27.71102,40.306206,17.828417,144.0,144.0,0.0,27.455753,59.399998,644.88
2024-11-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.93628,35.1135,18.5135,27.293995,38.081375,19.017128,188.19998,188.19998,0.0,21.611996,47.88,623.27997
2024-12-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.71088,33.5635,18.9135,27.958584,38.32595,20.670616,275.0,275.0,0.0,22.392464,54.36,692.08997
2025-01-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,25.288298,35.6635,19.6635,28.479733,39.302094,21.164633,231.70001,231.70001,0.0,22.5,54.0,752.85
2025-02-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,26.66804,35.8635,19.6135,29.313726,39.367817,20.98463,90.200005,90.200005,0.0,16.833609,41.399998,662.18
2025-03-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,26.273783,36.4635,18.4135,28.44678,39.758095,19.526697,105.3,105.3,0.0,20.28976,47.88,668.31
2025-04-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,23.28725,33.8135,17.0135,25.735565,36.901447,16.87917,111.4,111.4,0.0,21.416975,51.12,518.95
2025-05-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,21.546228,31.0635,9.5135,21.716536,32.42197,8.022819,4.5,4.5,0.0,23.287577,53.28,526.93
2025-06-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,19.800028,28.713501,6.3635,19.833652,29.758701,3.6871014,21.999998,21.999998,0.0,30.027645,67.32,450.37
2025-07-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,19.885206,31.5635,9.8135,18.76066,29.886627,6.9784966,5.2,5.2,0.0,17.429354,39.6,495.54
2025-08-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,22.260677,34.1635,9.0135,20.7863,33.89963,6.2140017,10.299999,10.299999,0.0,20.850496,50.039997,566.42
2025-09-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,25.157183,36.2135,15.2135,24.313484,36.414536,13.233067,63.600002,63.600002,0.0,26.368616,62.639996,621.02
2025-10-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.309267,37.6635,12.363501,24.682665,38.728527,9.95677,137.8,137.8,0.0,25.20257,55.8,679.73
2025-11-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,24.567112,36.5135,14.8135,25.865744,39.622513,13.794474,103.40001,103.40001,0.0,26.720757,66.6,721.33997
2025-12-01,sp,sao paulo,ribeirania,-21.1775,-47.8103,30.123919,36.1635,21.8635,30.308977,37.03552,22.228426,0.0,0.0,0.0,14.440443,33.12,27.44
