date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,21.893793,31.278,16.828,24.211819,36.94731,17.107906,251.9,251.9,0.0,27.553524,48.96,627.65
2022-02-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,21.722418,30.678,15.778,23.907969,35.102448,16.895021,96.299995,96.299995,0.0,23.598541,44.639996,650.05
2022-03-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,22.283981,30.528,15.278,24.570705,34.727177,15.100449,177.40001,177.40001,0.0,32.058193,56.88,601.54
2022-04-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,19.636332,28.678,12.128,20.623085,30.818241,11.607155,52.300003,52.300003,0.0,40.482,70.2,499.65
2022-05-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,16.31476,27.328,6.728,15.645918,28.368526,1.3099566,31.900003,31.900003,0.0,38.344646,67.67999,439.87
2022-06-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,15.45543,25.227999,6.278,14.926477,24.760141,3.637206,40.4,40.4,0.0,35.9153,62.639996,357.11002
2022-07-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,17.071817,26.928,8.228,16.270248,26.869637,6.4169903,6.9999995,6.9999995,0.0,28.576382,50.76,462.72
2022-08-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,15.695137,28.078,8.628,14.532328,28.109493,4.0606537,34.0,34.0,0.0,38.16849,69.84,436.98
2022-09-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,15.816194,30.678,8.128,14.915801,29.704285,6.622591,103.100006,103.100006,0.0,23.47741,41.760002,433.11002
2022-10-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,19.371212,30.877998,11.428,20.27525,31.879852,10.767058,110.3,110.3,0.0,34.897724,60.839996,585.97003
2022-11-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,18.071611,29.377998,10.028,18.2578,33.135273,8.808916,99.0,99.0,0.0,28.691795,55.079998,670.0
2022-12-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,20.532839,30.377998,14.778,21.886015,33.73605,14.528,137.2,137.2,0.0,30.29566,56.519997,640.2
2023-01-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,21.264694,29.178,16.178,23.071253,34.740353,15.274836,174.79999,174.79999,0.0,29.354902,56.519997,641.75
2023-02-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,21.941467,28.377998,16.028,23.937622,33.3694,15.497032,244.3,244.3,0.0,36.982006,65.159996,525.09
2023-03-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,21.779814,29.678,15.978,24.10899,33.19641,16.791521,172.20001,172.20001,0.0,25.96995,50.039997,633.24
2023-04-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,18.832724,27.477999,10.878,19.617981,30.116055,10.271532,72.700005,72.700005,0.0,29.460672,51.48,476.98
2023-05-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,17.212004,26.028,9.878,17.637379,28.904358,8.869129,32.800003,32.800003,0.0,27.553524,46.44,449.19998
2023-06-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,15.606334,26.127998,8.028,15.140161,26.144896,6.5076714,27.300001,27.300001,0.0,27.155552,48.239998,398.41998
2023-07-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,16.095472,26.227999,6.928,15.428,26.310896,5.3210316,20.1,20.1,0.0,41.266743,75.96,418.4
2023-08-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,17.831293,31.078,10.278,17.404137,29.224754,8.592991,35.500004,35.500004,0.0,33.033802,63.36,448.71
2023-09-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,20.79425,35.278,8.828,21.362635,37.066986,8.075682,43.9,43.9,0.0,29.784426,58.32,535.66003
2023-10-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,20.43761,31.227999,14.728,21.670801,34.17604,13.335508,166.09999,166.09999,0.0,31.608328,60.479996,496.15
2023-11-01,sp,sao paulo,vila areiao,-23.7125,-46.7428,22.233624,34.878,12.728,23.684496,37.62583,12.225418,117.50001,117.50001,0.0,31.205997,66.24,661.31
