date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,22.916922,31.9975,16.2475,25.056726,37.118034,15.609121,362.5,362.5,0.0,28.449112,52.199997,632.69
2022-02-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,23.311785,33.0475,16.6975,25.091639,36.134804,16.223276,125.0,125.0,0.0,23.893261,41.399998,648.99
2022-03-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,24.089838,33.0975,16.0975,25.711699,35.922436,13.786861,138.4,138.4,0.0,30.05515,52.199997,649.24
2022-04-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,22.156109,32.1975,11.7975,22.233324,33.973976,10.162899,36.399998,36.399998,0.0,32.33193,60.479996,574.16
2022-05-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,18.27465,29.9975,5.4975,16.968306,29.002537,2.4061332,27.6,27.6,0.0,30.631746,55.8,470.61
2022-06-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,17.6225,27.5975,8.497499,16.657993,27.263947,4.3894043,20.3,20.3,0.0,27.811018,51.12,415.13
2022-07-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,19.774313,29.4975,9.247499,18.09011,29.528954,6.8527393,2.1999998,2.1999998,0.0,26.712873,50.039997,503.04
2022-08-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,18.593199,30.6975,9.3475,16.512163,29.000248,3.8330956,35.8,35.8,0.0,35.538033,63.0,489.62
2022-09-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,19.158333,33.9475,10.0475,17.68503,32.387047,6.0469513,125.600006,125.600006,0.0,31.67386,56.16,523.58
2022-10-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,21.77492,33.0475,14.1975,22.230265,33.169933,12.591108,128.5,128.5,0.0,34.875435,61.56,653.82
2022-11-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,20.7225,31.9975,10.6975,20.26991,34.477715,7.4725847,113.4,113.4,0.0,31.037344,56.88,718.37
2022-12-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,22.15812,31.6975,15.2975,23.385918,34.578278,13.262949,254.3,254.3,0.0,29.05983,50.399998,668.44
2023-01-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,21.963362,29.4475,16.0475,23.722862,34.992443,13.856878,271.0,271.0,0.0,26.552288,48.239998,631.04
2023-02-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,22.543407,29.8475,17.6475,24.9142,34.23358,17.102196,268.6,268.6,0.0,26.552288,47.519997,591.6
2023-03-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,22.950726,30.6975,17.3475,25.098042,33.83425,17.5485,142.7,142.7,0.0,22.493519,40.32,678.58
2023-04-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,20.423748,28.7975,12.2975,20.889627,31.166374,9.486954,162.8,162.8,0.0,31.394394,61.56,527.17
2023-05-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,19.241787,28.7975,10.1975,18.607708,31.384403,8.240248,27.4,27.4,0.0,26.932714,48.6,502.6
2023-06-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,17.067568,27.4975,5.9474998,16.030806,25.857994,4.5874844,33.500004,33.500004,0.0,23.333443,42.48,429.0
2023-07-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,18.234125,27.9475,8.247499,16.880901,27.858498,5.2651577,11.400001,11.400001,0.0,29.515608,51.48,481.23
2023-08-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,20.314302,31.9475,12.0975,19.104809,30.535961,8.6470995,26.699999,26.699999,0.0,29.275326,51.839996,527.2
2023-09-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,23.678123,36.3475,12.5475,23.439226,37.27292,11.110628,72.5,72.5,0.0,30.993471,54.0,595.55
2023-10-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,22.799448,34.0975,15.6475,24.219893,35.25687,13.748299,186.0,186.0,0.0,28.576382,54.0,610.39
2023-11-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,24.126667,36.7975,12.8475,25.242762,38.701187,9.351673,105.0,105.0,0.0,28.963785,56.519997,742.12
2023-12-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,24.895618,34.2975,15.8975,26.476677,37.92101,15.441732,85.9,85.9,0.0,30.45566,54.0,843.97
2024-01-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,23.856571,33.6475,16.1475,25.599422,37.837337,14.423458,184.90001,184.90001,0.0,31.262014,53.639996,747.34
2024-02-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,24.137657,34.6475,17.7975,26.4503,36.738403,18.311886,157.1,157.1,0.0,22.218153,40.32,642.57
2024-03-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,23.87055,32.8475,16.7475,25.984015,36.45088,16.125328,134.3,134.3,0.0,34.37387,59.76,634.09
2024-04-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,23.710833,31.7475,14.3475,24.220854,35.139793,11.690622,23.1,23.1,0.0,26.496098,46.079998,548.87
2024-05-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,22.153145,32.1475,8.3475,21.444942,31.631218,7.2370186,52.500004,52.500004,0.0,28.496904,54.36,485.69
2024-06-01,sp,sao paulo,vila brandina,-22.9083,-47.0603,20.05118,29.2975,11.0975,18.622313,26.957264,9.030127,5.3,5.3,0.0,26.596178,47.88,454.85
