date,state,city,district,latitude,longitude,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum
2022-01-01,to,tocantins,centro,-10.2129,-48.36,25.175797,32.818,20.368,29.454712,39.859863,23.665554,341.90002,341.90002,0.0,17.057314,38.88,569.03
2022-02-01,to,tocantins,centro,-10.2129,-48.36,25.735783,33.818,21.268002,30.386595,39.093662,24.706938,181.6,181.6,0.0,14.440443,34.2,546.81
2022-03-01,to,tocantins,centro,-10.2129,-48.36,25.429224,32.018,20.918001,30.06531,38.441086,24.362547,327.5,327.5,0.0,14.332341,33.839996,570.32
2022-04-01,to,tocantins,centro,-10.2129,-48.36,26.26203,34.268,20.768002,30.51343,39.189705,22.452206,84.9,84.9,0.0,18.014393,37.44,604.27997
2022-05-01,to,tocantins,centro,-10.2129,-48.36,26.432518,34.068,17.318,28.84893,38.39819,17.99804,8.8,8.8,0.0,19.959719,41.760002,615.05
2022-06-01,to,tocantins,centro,-10.2129,-48.36,25.816404,34.568,17.568,27.488777,38.743267,18.047392,1.9000001,1.9000001,0.0,17.015474,36.0,594.1
2022-07-01,to,tocantins,centro,-10.2129,-48.36,26.627075,37.018,17.768002,26.706942,37.727882,17.815596,0.0,0.0,0.0,22.725668,46.8,638.94
2022-08-01,to,tocantins,centro,-10.2129,-48.36,28.787424,36.868,20.368,28.198446,38.75902,19.642021,0.1,0.1,0.0,28.174456,56.88,667.77997
2022-09-01,to,tocantins,centro,-10.2129,-48.36,29.398489,38.968002,20.018002,30.026337,44.46047,20.740818,47.899998,47.899998,0.0,29.024128,56.88,635.67
2022-10-01,to,tocantins,centro,-10.2129,-48.36,28.493069,38.018,21.518002,31.453285,40.75758,22.58803,113.1,113.1,0.0,19.881649,43.199997,629.88
2022-11-01,to,tocantins,centro,-10.2129,-48.36,25.623627,33.218002,20.668001,29.717327,38.75557,23.94459,277.1,277.1,0.0,18.72346,41.399998,532.76
2022-12-01,to,tocantins,centro,-10.2129,-48.36,25.34468,32.618,21.118,29.67695,38.27372,24.561972,217.70001,217.70001,0.0,15.463246,34.56,556.45
2023-01-01,to,tocantins,centro,-10.2129,-48.36,25.308256,32.218002,20.218,29.767605,38.66208,23.669313,176.3,176.3,0.0,14.386494,32.039997,608.68
2023-02-01,to,tocantins,centro,-10.2129,-48.36,25.930426,33.868,21.418001,30.57762,40.602337,25.43745,174.70001,174.70001,0.0,18.057508,37.8,577.93
2023-03-01,to,tocantins,centro,-10.2129,-48.36,25.468336,32.868,20.418001,30.035017,39.128246,23.99634,297.9,297.9,0.0,17.373497,37.8,560.49
2023-04-01,to,tocantins,centro,-10.2129,-48.36,26.20675,33.618,21.068,30.627447,39.094925,22.915133,132.1,132.1,0.0,16.343367,36.0,607.46
2023-05-01,to,tocantins,centro,-10.2129,-48.36,26.760878,33.418,20.918001,30.236874,37.954247,21.85571,19.199999,19.199999,0.0,18.03237,37.8,591.67
2023-06-01,to,tocantins,centro,-10.2129,-48.36,26.509668,33.868,18.668001,28.429657,37.054752,18.763277,0.6,0.6,0.0,18.775301,39.239998,581.43
2023-07-01,to,tocantins,centro,-10.2129,-48.36,26.533325,35.368,19.068,28.086401,37.10736,19.598516,0.0,0.0,0.0,27.021591,49.68,644.61
2023-08-01,to,tocantins,centro,-10.2129,-48.36,28.02143,37.018,20.018002,29.98992,39.264732,21.42803,17.3,17.3,0.0,27.381308,50.039997,632.45
2023-09-01,to,tocantins,centro,-10.2129,-48.36,29.211962,37.968002,21.168001,32.00018,40.97164,23.538548,20.2,20.2,0.0,25.071096,45.0,656.17
2023-10-01,to,tocantins,centro,-10.2129,-48.36,29.155233,36.718002,23.318,33.807262,41.210835,27.258896,28.700003,28.700003,0.0,27.698952,51.48,704.91
2023-11-01,to,tocantins,centro,-10.2129,-48.36,28.434946,35.568,23.418001,33.44763,40.803635,27.288574,74.2,74.2,0.0,21.67487,40.68,656.77
2023-12-01,to,tocantins,centro,-10.2129,-48.36,28.510206,35.168,23.268002,33.499306,40.620758,27.226383,45.0,45.0,0.0,19.523155,42.48,721.01
2024-01-01,to,tocantins,centro,-10.2129,-48.36,26.603483,32.618,23.018002,31.561178,38.87152,27.143263,293.1,293.1,0.0,16.311613,45.719997,611.71
2024-02-01,to,tocantins,centro,-10.2129,-48.36,27.01563,34.018,22.668001,31.949965,40.25243,26.858103,167.8,167.8,0.0,16.171976,34.2,585.85
2024-03-01,to,tocantins,centro,-10.2129,-48.36,27.682787,33.018,22.968,33.20354,40.412457,27.21463,167.7,167.7,0.0,14.044615,37.8,674.7
2024-04-01,to,tocantins,centro,-10.2129,-48.36,27.190084,32.818,23.568,32.49796,38.898884,27.789902,177.7,177.7,0.0,16.039202,34.2,571.34
2024-05-01,to,tocantins,centro,-10.2129,-48.36,27.437492,33.968002,21.168001,30.994429,37.896774,23.799456,2.3000002,2.3000002,0.0,18.161278,34.56,639.39
2024-06-01,to,tocantins,centro,-10.2129,-48.36,26.936892,34.768,19.918001,28.797756,36.5093,21.131128,0.0,0.0,0.0,17.81909,33.839996,606.05
2024-07-01,to,tocantins,centro,-10.2129,-48.36,27.059334,35.468002,19.568,28.180122,36.998085,19.742168,0.1,0.1,0.0,25.570139,46.8,652.54
2024-08-01,to,tocantins,centro,-10.2129,-48.36,28.658325,38.068,19.668001,29.170864,39.355583,20.04892,0.0,0.0,0.0,29.01743,55.44,691.22
2024-09-01,to,tocantins,centro,-10.2129,-48.36,30.492239,39.168,20.818,30.848967,40.783062,21.709776,1.2,1.2,0.0,27.397867,49.32,688.47003
2024-10-01,to,tocantins,centro,-10.2129,-48.36,28.922235,38.918,23.368,33.13268,40.875355,26.78773,83.9,83.9,0.0,23.635584,43.199997,634.33997
2024-11-01,to,tocantins,centro,-10.2129,-48.36,27.131613,34.768,23.118,32.122627,39.246677,27.04256,126.6,126.6,0.0,23.487068,45.0,646.15
2024-12-01,to,tocantins,centro,-10.2129,-48.36,26.893202,32.118,23.468,32.06453,38.48659,27.691217,128.7,128.7,0.0,19.172323,46.079998,662.87
