model,smape,mape,nd,notes
LGBMRegressor,0.2850201889987616,0.9084354044456927,0.7700229921726786,backtest_evaluation
LGBMRegressor/TopDown_method-forecast_proportions,0.2500446011780944,0.8842105495133109,0.648090445505804,backtest_evaluation
LGBMRegressor/MiddleOut_middle_level-total/produto/centro_distribuicao_top_down_method-forecast_proportions,0.34252180136933114,1.2072986636197194,1.0468830961523465,backtest_evaluation
LGBMRegressor/MinTrace_method-wls_var,0.28284500215105074,0.8927029830435477,0.7572940333978403,backtest_evaluation
LGBMRegressor/MinTrace_method-wls_struct,0.5558278282569648,2.2392331111657517,1.7092976304573935,backtest_evaluation
LGBMRegressor/MinTrace_method-mint_shrink,0.3278977761287874,1.0095837378561618,0.8179934613288754,backtest_evaluation
XGBRegressor,0.31765468372528816,0.9027368739620444,0.7951112118809387,backtest_evaluation
XGBRegressor/TopDown_method-forecast_proportions,0.25430504286100886,0.8922571783606288,0.6849198464577719,backtest_evaluation
XGBRegressor/MiddleOut_middle_level-total/produto/centro_distribuicao_top_down_method-forecast_proportions,0.3387980691099913,1.1400784170438074,1.0050996510865249,backtest_evaluation
XGBRegressor/MinTrace_method-wls_var,0.31180585408160266,0.8705984148394581,0.7686209547086101,backtest_evaluation
XGBRegressor/MinTrace_method-wls_struct,0.5507403001755021,1.747026298396121,1.4253628296497152,backtest_evaluation
XGBRegressor/MinTrace_method-mint_shrink,0.3987983561018046,1.1310576557185774,0.9379544384502885,backtest_evaluation
AutoARIMA,0.25179589613053466,0.7731502254511404,0.6009402699111637,backtest_evaluation
AutoARIMA/TopDown_method-forecast_proportions,0.2767489320323699,0.9180250156547181,0.7134091578902851,backtest_evaluation
AutoARIMA/MiddleOut_middle_level-total/produto/centro_distribuicao_top_down_method-forecast_proportions,0.2805958095463018,0.9291294624493671,0.7259184377563983,backtest_evaluation
AutoARIMA/MinTrace_method-wls_var,0.2522126697514797,0.7757476159334842,0.6028861509657443,backtest_evaluation
AutoARIMA/MinTrace_method-wls_struct,0.28433642858391484,0.9890034239432989,0.7404193954332292,backtest_evaluation
AutoARIMA/MinTrace_method-mint_shrink,0.2880263927756548,1.0170054348256243,0.7764699599091269,backtest_evaluation
AutoETS,0.1954261879123755,0.6364673825354024,0.44243488828217903,backtest_evaluation
AutoETS/TopDown_method-forecast_proportions,0.17068134816802893,0.48596273752682084,0.34284746444662934,backtest_evaluation
AutoETS/MiddleOut_middle_level-total/produto/centro_distribuicao_top_down_method-forecast_proportions,0.1900785315586406,0.5438645994123368,0.399316351303464,backtest_evaluation
AutoETS/MinTrace_method-wls_var,0.19526284293493545,0.6339899291472426,0.44102364036769875,backtest_evaluation
AutoETS/MinTrace_method-wls_struct,0.31585909761927244,0.6310430848105335,0.5372169018786986,backtest_evaluation
AutoETS/MinTrace_method-mint_shrink,0.19040290458621886,0.6100090912234107,0.4242489044217319,backtest_evaluation
SeasonalNaive,0.3544151142274812,0.5103677033127605,0.4997176153561699,backtest_evaluation
SeasonalNaive/TopDown_method-forecast_proportions,0.3544151142274812,0.5103677033127605,0.4997176153561699,backtest_evaluation
SeasonalNaive/MiddleOut_middle_level-total/produto/centro_distribuicao_top_down_method-forecast_proportions,0.3544151142274812,0.5103677033127605,0.4997176153561699,backtest_evaluation
SeasonalNaive/MinTrace_method-wls_var,0.35525404040197783,0.5103677033127605,0.4997176153561699,backtest_evaluation
SeasonalNaive/MinTrace_method-wls_struct,0.3552540404019776,0.5103677033127605,0.4997176153561699,backtest_evaluation
SeasonalNaive/MinTrace_method-mint_shrink,0.35525404040197783,0.5103677033127605,0.4997176153561699,backtest_evaluation
